Date,Open,High,Low,Close,Volume
2024-06-04,2.58,2.64,2.55,2.6,80927.0
2024-06-05,2.6,2.75,2.58,2.73,149713.0
2024-06-06,2.77,2.77,2.56,2.63,116014.0
2024-06-07,2.64,2.64,2.51,2.54,113598.0
2024-06-10,2.5,2.57,2.47,2.55,104391.0
2024-06-11,2.53,2.58,2.5,2.54,113505.0
2024-06-12,2.54,2.8,2.54,2.68,205721.0
2024-06-13,2.64,2.71,2.57,2.64,159560.0
2024-06-14,2.54,2.7,2.54,2.67,114269.0
2024-06-17,2.63,2.78,2.63,2.75,164250.0
2024-06-18,2.71,2.76,2.63,2.67,157603.0
2024-06-20,2.64,2.79,2.5704,2.75,183691.0
2024-06-21,2.68,2.78,2.68,2.73,125693.0
2024-06-24,2.73,2.7499,2.6,2.65,120580.0
2024-06-25,2.66,2.66,2.54,2.55,68771.0
2024-06-26,2.55,2.66,2.49,2.56,137531.0
2024-06-27,2.57,2.61,2.53,2.61,82111.0
2024-06-28,2.58,2.68,2.58,2.65,150489.0
2024-07-01,2.65,2.72,2.6,2.69,81377.0
2024-07-02,2.73,2.7499,2.6153,2.67,92562.0
2024-07-03,2.67,2.73,2.67,2.67,25477.0
2024-07-05,2.64,2.77,2.64,2.77,61534.0
2024-07-08,2.78,2.9317,2.7,2.7,175070.0
2024-07-09,2.7,2.73,2.64,2.67,74309.0
2024-07-10,2.69,2.748,2.65,2.71,50650.0
2024-07-11,2.74,2.92,2.7237,2.85,87144.0
2024-07-12,2.92,3.17,2.91,2.97,236330.0
2024-07-15,3.02,3.12,2.92,3.02,100841.0
2024-07-16,3.02,3.18,3.0,3.12,91466.0
2024-07-17,3.07,3.145,2.83,2.92,153141.0
2024-07-18,2.89,2.97,2.74,2.8,72822.0
2024-07-19,2.8,2.82,2.6901,2.72,33817.0
2024-07-22,2.78,3.0695,2.75,3.0,110424.0
2024-07-23,3.04,3.04,2.91,2.97,54489.0
2024-07-24,2.87,3.38,2.8229,3.32,506539.0
2024-07-25,3.35,3.35,2.81,2.84,563065.0
2024-07-26,2.84,2.9439,2.77,2.85,123715.0
2024-07-29,2.84,3.1299,2.8,2.94,216719.0
2024-07-30,2.92,2.99,2.77,2.77,76269.0
2024-07-31,2.82,2.87,2.73,2.8,97605.0
2024-08-01,2.8,2.8315,2.6,2.66,173002.0
2024-08-02,2.59,2.6656,2.51,2.56,125183.0
2024-08-05,2.32,2.425,2.3,2.37,134668.0
2024-08-06,2.38,2.43,2.33,2.345,85647.0
2024-08-07,2.38,2.41,2.22,2.22,101810.0
2024-08-08,2.24,2.3,2.15,2.25,110980.0
2024-08-09,2.18,2.26,2.16,2.25,73992.0
2024-08-12,2.27,2.27,2.01,2.1,244241.0
2024-08-13,2.17,2.31,2.1312,2.31,72276.0
2024-08-14,2.35,2.35,2.18,2.2,61841.0
2024-08-15,2.3,2.4499,2.3,2.42,92516.0
2024-08-16,2.42,2.5,2.37,2.39,52487.0
2024-08-19,2.4,2.58,2.3362,2.58,95651.0
2024-08-20,2.6,2.6,2.45,2.47,57857.0
2024-08-21,2.45,2.6,2.45,2.6,65128.0
2024-08-22,2.62,2.68,2.51,2.59,61499.0
2024-08-23,2.59,2.64,2.51,2.64,37844.0
2024-08-26,2.67,2.72,2.5601,2.62,49929.0
2024-08-27,2.7,2.72,2.45,2.55,186193.0
2024-08-28,2.63,2.75,2.57,2.75,172104.0
2024-08-29,2.86,2.95,2.5901,2.64,120176.0
2024-08-30,2.68,2.74,2.58,2.64,79359.0
2024-09-03,2.75,2.78,2.57,2.63,111105.0
2024-09-04,2.61,2.65,2.52,2.54,74316.0
2024-09-05,2.55,2.59,2.45,2.51,63457.0
2024-09-06,2.53,2.66,2.4,2.59,117396.0
2024-09-09,2.7,3.12,2.59,3.06,373365.0
2024-09-10,3.06,3.09,2.91,3.0,114378.0
2024-09-11,3.0,3.15,2.93,3.14,80613.0
2024-09-12,3.05,3.14,2.96,2.97,178384.0
2024-09-13,2.98,3.0,2.75,2.87,85480.0
2024-09-16,2.91,3.0,2.825,2.96,110750.0
2024-09-17,2.99,3.05,2.82,2.87,79509.0
2024-09-18,2.87,2.9395,2.78,2.78,63767.0
2024-09-19,2.89,2.96,2.84,2.92,88035.0
2024-09-20,2.91,2.99,2.84,2.85,123345.0
2024-09-23,2.88,2.98,2.85,2.88,70444.0
2024-09-24,2.92,2.95,2.79,2.91,78476.0
