Date,Equity
2016-03-31,5000.0
2016-04-01,5000.0
2016-04-04,5000.0
2016-04-05,5000.0
2016-04-06,4596.54
2016-04-07,4610.95
2016-04-08,4610.95
2016-04-11,5216.14
2016-04-12,5576.37
2016-04-13,5749.28
2016-04-14,6080.69
2016-04-15,6037.46
2016-04-18,5749.28
2016-04-19,5504.32
2016-04-20,5634.01
2016-04-21,5778.1
2016-04-22,6023.05
2016-04-25,5706.05
2016-04-26,5576.37
2016-04-27,5504.32
2016-04-28,5417.87
2016-04-29,5129.68
2016-05-02,5288.18
2016-05-03,5014.41
2016-05-04,4812.68
2016-05-05,4639.77
2016-05-06,4466.86
2016-05-09,4654.18
2016-05-10,4524.5
2016-05-11,4337.18
2016-05-12,4121.04
2016-05-13,4193.08
2016-05-16,4409.22
2016-05-17,4538.9
2016-05-18,4466.86
2016-05-19,4337.18
2016-05-20,4538.9
2016-05-23,4639.77
2016-05-24,4798.27
2016-05-25,4755.04
2016-05-26,4625.36
2016-05-27,4654.18
2016-05-31,4769.45
2016-06-01,5014.41
2016-06-02,5129.68
2016-06-03,5000.0
2016-06-06,5028.82
2016-06-07,4726.22
2016-06-08,4639.77
2016-06-09,4510.09
2016-06-10,4423.63
2016-06-13,4466.86
2016-06-14,4337.18
2016-06-15,4337.18
2016-06-16,4207.49
2016-06-17,4034.58
2016-06-20,3948.13
2016-06-21,4005.76
2016-06-22,4034.58
2016-06-23,4236.31
2016-06-24,4121.04
2016-06-27,3688.76
2016-06-28,3645.53
2016-06-29,3890.49
2016-06-30,4005.76
2016-07-01,4236.31
2016-07-05,4048.99
2016-07-06,4048.99
2016-07-07,3948.13
2016-07-08,4106.63
2016-07-11,3933.72
2016-07-12,3948.13
2016-07-13,3861.67
2016-07-14,3847.26
2016-07-15,3890.49
2016-07-18,3919.31
2016-07-19,3775.22
2016-07-20,4409.22
2016-07-21,4265.13
2016-07-22,4178.67
2016-07-25,4149.86
2016-07-26,4149.86
2016-07-27,4466.86
2016-07-28,4466.86
2016-07-29,4466.86
2016-08-01,4466.86
2016-08-02,4466.86
2016-08-03,4504.08
2016-08-04,4305.56
2016-08-05,4342.78
2016-08-08,4702.61
2016-08-09,4677.79
2016-08-10,4603.35
2016-08-11,4665.39
2016-08-12,4715.02
2016-08-15,4702.61
2016-08-16,4690.2
2016-08-17,4652.98
2016-08-18,4715.02
2016-08-19,4690.2
2016-08-22,4702.61
2016-08-23,4727.43
2016-08-24,4702.61
2016-08-25,4715.02
2016-08-26,4715.02
2016-08-29,4727.43
2016-08-30,4764.65
2016-08-31,4715.02
2016-09-01,4665.39
2016-09-02,4690.2
2016-09-06,4677.79
2016-09-07,4764.65
2016-09-08,4863.91
2016-09-09,4851.5
2016-09-12,5136.89
2016-09-13,5023.13
2016-09-14,5058.13
2016-09-15,5145.64
2016-09-16,5093.13
2016-09-19,5040.63
2016-09-20,5040.63
2016-09-21,5215.65
2016-09-22,5373.17
2016-09-23,5373.17
2016-09-26,5451.93
2016-09-27,5381.92
2016-09-28,5495.68
2016-09-29,5241.9
2016-09-30,5206.9
2016-10-03,5311.91
2016-10-04,5171.89
2016-10-05,5066.88
2016-10-06,5040.63
2016-10-07,4996.87
2016-10-10,5066.88
2016-10-11,4961.87
2016-10-12,5023.13
2016-10-13,5206.9
2016-10-14,5180.64
