Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
124,26,65.3,20.0,10222.95,5222.95,104.46,39995.93,94.54,0.13,0.1,16,5,16,21,26,1.5,0.2,7.1
108,8,67.6,23.1,17391.66,12391.66,247.83,36162.83,83.43,0.34,0.8,16,5,16,21,26,1.5,0.3,12.7
108,5,69.4,23.1,35664.82,30664.82,613.3,51888.8,82.44,0.59,3.6,16,5,16,21,26,1.5,0.4,20.8
105,2,68.6,23.8,25844.77,20844.77,416.9,40004.88,81.87,0.52,2.2,16,5,16,21,26,1.5,0.5,17.1
102,0,67.6,24.5,20766.28,15766.28,315.33,32636.44,82.1,0.48,1.5,16,5,16,21,26,1.5,0.6,14.7
111,26,59.5,22.1,695.63,-4304.37,-86.09,13915.95,95.94,-0.31,0.3,16,5,16,21,26,1.6,0.2,-17.3
98,8,64.3,25.1,3985.94,-1014.06,-20.28,12615.02,83.14,-0.08,0.0,16,5,16,21,26,1.6,0.3,-2.2
95,5,63.2,26.1,4403.55,-596.45,-11.93,13299.48,79.67,-0.04,0.0,16,5,16,21,26,1.6,0.4,-1.2
93,4,63.4,26.8,2832.56,-2167.44,-43.35,12990.4,85.61,-0.17,0.1,16,5,16,21,26,1.6,0.5,-5.3
90,1,62.2,27.7,2954.26,-2045.74,-40.91,12896.63,85.0,-0.16,0.1,16,5,16,21,26,1.6,0.6,-4.9
101,18,62.4,24.0,7705.04,2705.04,54.1,15285.45,70.32,0.18,0.1,16,5,16,21,26,1.7,0.2,4.2
87,7,58.6,28.2,2413.74,-2586.26,-51.73,20963.72,90.77,-0.12,0.1,16,5,16,21,26,1.7,0.3,-6.8
85,3,62.4,28.8,5980.73,980.73,19.61,21024.21,79.92,0.05,0.0,16,5,16,21,26,1.7,0.4,1.7
85,2,62.4,28.9,5164.28,164.28,3.29,18534.92,80.25,0.01,0.0,16,5,16,21,26,1.7,0.5,0.3
83,0,61.4,29.6,5386.15,386.15,7.72,18339.0,79.41,0.02,0.0,16,5,16,21,26,1.7,0.6,0.7
101,24,57.4,23.7,1803.99,-3196.01,-63.92,15750.89,91.27,-0.2,0.1,16,5,16,21,26,1.8,0.2,-9.3
86,10,58.1,28.0,1370.0,-3630.0,-72.6,18136.13,93.75,-0.2,0.1,16,5,16,21,26,1.8,0.3,-11.7
86,6,66.3,27.9,2538.86,-2461.14,-49.22,18346.61,94.83,-0.13,0.1,16,5,16,21,26,1.8,0.4,-6.3
81,2,64.2,29.6,3816.06,-1183.94,-23.68,15976.19,82.58,-0.07,0.0,16,5,16,21,26,1.8,0.5,-2.6
80,1,63.7,30.0,3816.06,-1183.94,-23.68,15976.19,82.58,-0.07,0.0,16,5,16,21,26,1.8,0.6,-2.6
93,21,59.1,25.9,4179.94,-820.06,-16.4,17038.06,84.55,-0.05,0.0,16,5,16,21,26,1.9,0.2,-1.7
80,9,60.0,30.4,3798.1,-1201.9,-24.04,19480.91,86.84,-0.06,0.0,16,5,16,21,26,1.9,0.3,-2.6
74,6,62.2,32.8,2561.39,-2438.61,-48.77,20533.91,91.54,-0.12,0.1,16,5,16,21,26,1.9,0.4,-6.2
72,3,62.5,33.7,2380.17,-2619.83,-52.4,20582.65,91.76,-0.13,0.1,16,5,16,21,26,1.9,0.5,-6.9
70,2,64.3,34.6,2230.34,-2769.66,-55.39,20699.07,92.27,-0.13,0.1,16,5,16,21,26,1.9,0.6,-7.5
78,17,60.3,31.0,7497.23,2497.23,49.94,12344.65,82.41,0.2,0.1,16,5,16,21,26,2.0,0.2,4.0
74,10,56.8,32.8,2073.65,-2926.35,-58.53,16539.4,93.35,-0.18,0.1,16,5,16,21,26,2.0,0.3,-8.1
71,4,66.2,34.0,11501.59,6501.59,130.03,15916.05,75.66,0.41,0.5,16,5,16,21,26,2.0,0.4,8.3
68,3,63.2,35.6,2763.6,-2236.4,-44.73,15570.97,87.88,-0.14,0.1,16,5,16,21,26,2.0,0.5,-5.5
67,2,61.2,36.2,2184.19,-2815.81,-56.32,16120.36,90.98,-0.17,0.1,16,5,16,21,26,2.0,0.6,-7.6
72,15,61.1,33.0,27177.41,22177.41,443.55,10491.25,38.6,2.11,9.4,16,5,16,21,26,2.1,0.2,17.7
