Ticker,Entry Date,Exit Date,Entry $,Exit $,Return %,Hold Days,Reason
ATYR,2016-04-05,2016-07-27,48.58,43.4,-10.66,79,tp
III,2016-08-02,2016-09-12,3.02,3.47,15.0,28,tp
CSR,2016-09-12,2016-10-20,37.87,40.52,6.98,28,tp
DY,2016-10-26,2016-11-14,72.5,89.6,23.59,13,tp
CDE,2016-11-14,2017-01-05,9.22,11.23,21.78,35,tp
SD,2017-01-09,2017-05-11,14.82,14.11,-4.78,85,tp
ELMD,2017-05-11,2017-06-07,4.23,5.06,19.62,18,tp
PCRX,2017-06-12,2017-07-05,42.2,49.1,16.35,16,tp
RMBS,2017-07-05,2017-07-07,11.43,12.45,8.92,2,tp
CDE,2017-07-07,2017-07-26,7.82,8.97,14.69,13,tp
PCRX,2017-07-26,2017-09-27,41.63,39.35,-5.48,44,tp
SBH,2017-10-12,2017-12-18,17.6,17.96,2.05,46,tp
CSR,2018-01-04,2018-03-22,38.04,35.8,-5.89,53,tp
DY,2018-03-23,2018-05-08,103.97,108.95,4.79,31,tp
SBH,2018-05-08,2018-06-20,14.97,16.15,7.88,30,tp
GSIT,2018-06-22,2018-09-04,7.13,7.24,1.54,50,tp
MOD,2018-09-04,2018-12-17,16.0,10.89,-31.94,72,sl
ILPT,2018-12-17,2019-01-25,14.57,15.66,7.51,26,tp
DY,2019-02-27,2019-04-24,43.33,51.2,18.16,39,tp
CVLT,2019-04-30,2019-06-28,52.6,49.62,-5.67,42,tp
BDN,2019-06-28,2019-09-10,7.32,7.75,5.91,50,tp
CNNE,2019-09-10,2019-10-31,25.03,27.43,9.61,37,tp
PRSU,2019-10-31,2019-12-05,60.73,64.89,6.85,24,tp
EGHT,2019-12-11,2020-01-15,17.28,20.1,16.32,23,tp
SBH,2020-01-17,2020-03-12,15.28,9.63,-36.98,37,sl
EGHT,2020-03-12,2020-05-11,11.05,19.87,79.82,41,tp
III,2020-05-22,2020-07-15,1.46,1.82,24.71,36,tp
GSIT,2020-07-24,2020-10-15,6.3,6.96,10.48,58,tp
CTEV,2020-10-19,2020-12-17,352.4,374.4,6.24,42,tp
CNNE,2021-01-29,2021-03-15,35.69,38.91,9.03,30,tp
EGHT,2021-03-18,2021-04-26,32.0,34.84,8.88,26,tp
CDE,2021-04-29,2021-05-17,8.22,10.38,26.25,12,tp
EGHT,2021-05-17,2021-06-22,23.95,26.88,12.23,25,tp
SANM,2021-06-22,2021-08-27,38.26,39.87,4.21,47,tp
SBH,2021-09-08,2021-11-05,16.56,18.42,11.23,42,tp
CTEV,2021-11-05,2022-02-15,158.4,174.0,9.85,69,tp
ELMD,2022-02-17,2022-03-22,11.92,12.95,8.64,22,tp
SBH,2022-03-23,2022-05-03,15.85,16.58,4.61,28,tp
JJSF,2022-05-03,2022-06-17,121.14,121.55,0.34,32,tp
AFRI,2022-06-17,2022-09-08,6.47,11.75,81.61,56,tp
SMTC,2022-09-08,2022-11-11,33.9,30.78,-9.2,46,tp
CTEV,2022-11-11,2022-12-22,78.8,48.4,-38.58,28,sl
NTB,2022-12-22,2023-01-31,25.06,27.08,8.05,25,tp
JJSF,2023-02-01,2023-03-21,128.76,135.16,4.97,33,tp
CSR,2023-03-21,2023-05-05,44.59,51.28,15.0,32,tp
AVNW,2023-05-05,2023-06-13,28.03,33.33,18.91,26,tp
ABX,2023-06-26,2023-06-28,9.63,10.67,10.78,2,tp
ABX,2023-06-29,2023-07-03,9.42,10.53,11.74,2,tp
ABX,2023-07-05,2023-07-18,9.22,6.41,-30.42,9,sl
ABX,2023-07-18,2023-08-28,6.41,8.93,39.18,29,tp
AIP,2023-08-28,2024-01-24,6.15,6.21,0.98,102,tp
GSIT,2024-01-26,2024-02-27,1.88,3.42,81.91,21,tp
NB,2024-02-27,2024-04-08,2.37,2.85,20.25,28,tp
SBH,2024-04-08,2024-05-14,10.75,11.42,6.23,26,tp
ABX,2024-05-21,2024-08-20,10.91,10.65,-2.4,62,tp
AI,2024-09-05,2024-10-09,21.12,26.1,23.58,24,tp
ILPT,2024-10-09,2025-01-24,4.22,3.72,-11.79,72,tp
AFRI,2025-01-24,2025-08-12,9.68,7.86,-18.8,137,tp
AI,2025-08-12,2025-10-03,16.91,19.16,13.31,37,tp
NTB,2025-10-03,2025-10-30,41.5,44.52,7.29,19,tp
CVLT,2025-10-30,2025-12-26,137.62,128.4,-6.7,39,tp
MOD,2026-01-07,2026-01-29,119.68,176.72,47.66,15,tp
CVLT,2026-01-29,2026-04-10,87.5,88.87,1.57,49,tp
SD,2026-04-14,2026-05-19,14.48,15.54,7.3,25,tp
