Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
42,1,71.4,19.9,11254.32,6254.32,125.09,3181.23,24.88,1.97,2.5,ABM,16,5,16,21,26,1.5,0.2,8.1
42,1,71.4,19.9,8194.7,3194.7,63.89,4739.85,50.91,0.67,0.4,ABM,16,5,16,21,26,1.5,0.3,4.9
42,1,71.4,19.9,9520.5,4520.5,90.41,4064.47,37.58,1.11,1.0,ABM,16,5,16,21,26,1.5,0.4,6.4
41,0,70.7,20.4,9249.13,4249.13,84.98,4202.71,40.0,1.01,0.9,ABM,16,5,16,21,26,1.5,0.5,6.1
41,0,70.7,20.4,9249.13,4249.13,84.98,4202.71,40.0,1.01,0.9,ABM,16,5,16,21,26,1.5,0.6,6.1
42,1,73.8,19.7,13988.58,8988.58,179.77,3594.49,22.62,2.5,4.5,ABM,16,5,16,21,26,1.6,0.2,10.4
42,1,73.8,19.7,10185.62,5185.62,103.71,5355.58,46.28,0.97,1.0,ABM,16,5,16,21,26,1.6,0.3,7.1
42,1,73.8,19.7,11833.52,6833.52,136.67,4592.46,34.16,1.49,2.0,ABM,16,5,16,21,26,1.6,0.4,8.6
41,0,73.2,20.2,11496.23,6496.23,129.92,4748.66,36.36,1.37,1.8,ABM,16,5,16,21,26,1.6,0.5,8.3
41,0,73.2,20.2,11496.23,6496.23,129.92,4748.66,36.36,1.37,1.8,ABM,16,5,16,21,26,1.6,0.6,8.3
38,1,73.7,21.3,12203.55,7203.55,144.07,3239.92,26.03,2.22,3.2,ABM,16,5,16,21,26,1.7,0.2,8.9
38,1,73.7,21.2,11515.76,6515.76,130.32,3569.0,30.39,1.83,2.4,ABM,16,5,16,21,26,1.7,0.3,8.3
38,1,73.7,21.3,10323.49,5323.49,106.47,4139.46,39.31,1.29,1.4,ABM,16,5,16,21,26,1.7,0.4,7.2
37,0,73.0,21.9,10029.23,5029.23,100.58,4280.25,41.84,1.17,1.2,ABM,16,5,16,21,26,1.7,0.5,6.9
37,0,73.0,21.9,10029.23,5029.23,100.58,4280.25,41.84,1.17,1.2,ABM,16,5,16,21,26,1.7,0.6,6.9
36,1,75.0,22.4,14427.04,9427.04,188.54,3142.78,21.36,3.0,5.7,ABM,16,5,16,21,26,1.8,0.2,10.7
36,1,75.0,22.2,13613.93,8613.93,172.28,3462.0,24.93,2.49,4.3,ABM,16,5,16,21,26,1.8,0.3,10.1
35,1,74.3,22.7,8893.54,3893.54,77.87,4615.44,50.88,0.84,0.7,ABM,16,5,16,21,26,1.8,0.4,5.7
35,0,74.3,23.1,11856.56,6856.56,137.13,4151.91,34.33,1.65,2.3,ABM,16,5,16,21,26,1.8,0.5,8.6
35,0,74.3,23.1,11856.56,6856.56,137.13,4151.91,34.33,1.65,2.3,ABM,16,5,16,21,26,1.8,0.6,8.6
35,1,82.9,23.7,19210.56,14210.56,284.21,3382.26,17.26,4.2,11.9,ABM,16,5,16,21,26,1.9,0.2,13.8
35,1,82.9,23.6,18127.86,13127.86,262.56,3747.15,20.27,3.5,9.2,ABM,16,5,16,21,26,1.9,0.3,13.2
34,1,82.4,24.1,11842.34,6842.34,136.85,5065.65,41.94,1.35,1.8,ABM,16,5,16,21,26,1.9,0.4,8.6
34,0,82.4,24.5,15787.8,10787.8,215.76,4535.79,28.17,2.38,5.1,ABM,16,5,16,21,26,1.9,0.5,11.7
34,0,82.4,24.5,15787.8,10787.8,215.76,4535.79,28.17,2.38,5.1,ABM,16,5,16,21,26,1.9,0.6,11.7
31,1,80.6,24.6,19588.73,14588.73,291.77,3270.55,16.54,4.46,13.0,ABM,16,5,16,21,26,2.0,0.2,14.0
30,1,80.0,24.8,13865.28,8865.28,177.31,4211.68,30.09,2.1,3.7,ABM,16,5,16,21,26,2.0,0.3,10.3
