Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
23,5,69.6,20.2,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.5,0.2,
20,2,75.0,23.2,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.5,0.3,
19,1,73.7,24.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.5,0.4,
18,0,72.2,26.2,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.5,0.5,
18,0,72.2,26.2,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.5,0.6,
21,5,66.7,21.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.6,0.2,
19,2,73.7,24.5,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.6,0.3,
18,1,72.2,25.6,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.6,0.4,
17,0,70.6,27.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.6,0.5,
17,0,70.6,27.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.6,0.6,
20,4,70.0,23.8,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.7,0.2,
17,2,70.6,26.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.7,0.3,
16,1,68.8,28.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.7,0.4,
16,0,68.8,30.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.7,0.5,
16,0,68.8,30.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.7,0.6,
18,4,72.2,26.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.8,0.2,
15,2,66.7,29.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.8,0.3,
14,1,64.3,32.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.8,0.4,
14,0,64.3,34.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.8,0.5,
14,0,64.3,34.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.8,0.6,
13,4,61.5,30.6,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.9,0.2,
10,2,50.0,40.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.9,0.3,
9,1,44.4,46.2,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.9,0.4,
9,0,44.4,48.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.9,0.5,
9,0,44.4,48.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,1.9,0.6,
10,4,50.0,37.8,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.0,0.2,
9,1,44.4,50.9,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.0,0.3,
9,1,44.4,51.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.0,0.4,
9,0,44.4,53.0,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.0,0.5,
9,0,44.4,53.0,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.0,0.6,
9,4,44.4,42.0,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.1,0.2,
8,1,50.0,57.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.1,0.3,
8,0,50.0,59.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.1,0.4,
8,0,50.0,59.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.1,0.5,
8,0,50.0,59.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.1,0.6,
8,4,37.5,49.1,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.2,0.2,
7,1,42.9,67.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.2,0.3,
7,0,42.9,70.0,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.2,0.4,
7,0,42.9,70.0,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.2,0.5,
7,0,42.9,70.0,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.2,0.6,
8,4,37.5,53.4,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.3,0.2,
7,1,42.9,72.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.3,0.3,
7,0,42.9,74.9,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.3,0.4,
7,0,42.9,74.9,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.3,0.5,
7,0,42.9,74.9,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.3,0.6,
7,4,28.6,53.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.4,0.2,
6,1,33.3,75.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.4,0.3,
6,0,33.3,78.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.4,0.4,
6,0,33.3,78.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.4,0.5,
6,0,33.3,78.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.4,0.6,
7,4,28.6,53.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.5,0.2,
6,1,33.3,75.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.5,0.3,
6,0,33.3,78.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.5,0.4,
6,0,33.3,78.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.5,0.5,
6,0,33.3,78.3,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.5,0.6,
6,3,33.3,80.5,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.6,0.2,
6,1,33.3,88.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.6,0.3,
6,0,33.3,91.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.6,0.4,
6,0,33.3,91.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.6,0.5,
6,0,33.3,91.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.6,0.6,
6,3,33.3,80.5,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.7,0.2,
6,1,33.3,88.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.7,0.3,
6,0,33.3,91.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.7,0.4,
6,0,33.3,91.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.7,0.5,
6,0,33.3,91.7,,,,,0.0,999.0,,ABX,16,5,16,21,26,2.7,0.6,
21,5,66.7,18.7,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.5,0.2,
18,2,72.2,21.8,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.5,0.3,
16,1,68.8,23.3,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.5,0.4,
16,0,68.8,24.9,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.5,0.5,
16,0,68.8,24.9,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.5,0.6,
18,5,61.1,21.4,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.6,0.2,
16,2,68.8,25.2,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.6,0.3,
14,0,64.3,29.1,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.6,0.4,
14,0,64.3,29.1,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.6,0.5,
14,0,64.3,29.1,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.6,0.6,
17,4,70.6,24.3,,,,,0.0,999.0,,ABX,16,8,16,24,32,1.7,0.2,
