Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
40,4,67.5,19.1,12792.13,7792.13,155.84,3147.75,22.92,2.48,3.9,AEIS,16,5,16,21,26,1.5,0.2,9.4
37,1,67.6,20.9,9126.91,4126.91,82.54,4093.6,41.78,1.01,0.8,AEIS,16,5,16,21,26,1.5,0.3,5.9
37,1,67.6,20.9,11060.01,6060.01,121.2,3283.35,27.66,1.85,2.2,AEIS,16,5,16,21,26,1.5,0.4,7.9
36,0,66.7,21.5,9679.55,4679.55,93.59,3861.96,37.17,1.21,1.1,AEIS,16,5,16,21,26,1.5,0.5,6.5
36,0,66.7,21.5,9679.55,4679.55,93.59,3861.96,37.17,1.21,1.1,AEIS,16,5,16,21,26,1.5,0.6,6.5
34,2,73.5,22.2,11441.32,6441.32,128.83,3070.73,24.33,2.1,2.7,AEIS,16,5,16,21,26,1.6,0.2,8.3
33,1,72.7,23.0,8770.88,3770.88,75.42,3700.21,38.24,1.02,0.8,AEIS,16,5,16,21,26,1.6,0.3,5.5
32,1,71.9,22.8,5547.47,547.47,10.95,4162.39,56.01,0.13,0.0,AEIS,16,5,16,21,26,1.6,0.4,1.0
32,0,71.9,23.7,9301.96,4301.96,86.04,3474.27,33.86,1.24,1.1,AEIS,16,5,16,21,26,1.6,0.5,6.1
32,0,71.9,23.7,9301.96,4301.96,86.04,3474.27,33.86,1.24,1.1,AEIS,16,5,16,21,26,1.6,0.6,6.1
31,2,71.0,23.3,9927.32,4927.32,98.55,2673.28,24.44,1.84,1.8,AEIS,16,5,16,21,26,1.7,0.2,6.8
30,1,70.0,24.2,7610.25,2610.25,52.21,3498.03,41.72,0.75,0.4,AEIS,16,5,16,21,26,1.7,0.3,4.1
29,1,69.0,24.1,4813.39,-186.61,-3.73,3934.95,56.01,-0.05,0.0,AEIS,16,5,16,21,26,1.7,0.4,-0.4
29,0,69.0,25.1,8071.06,3071.06,61.42,3284.43,36.93,0.94,0.6,AEIS,16,5,16,21,26,1.7,0.5,4.7
29,0,69.0,25.1,8071.06,3071.06,61.42,3284.43,36.93,0.94,0.6,AEIS,16,5,16,21,26,1.7,0.6,4.7
31,2,74.2,23.1,13260.56,8260.56,165.21,2950.59,20.73,2.8,4.6,AEIS,16,5,16,21,26,1.8,0.2,9.8
30,1,73.3,24.0,11571.96,6571.96,131.44,3261.45,26.26,2.02,2.7,AEIS,16,5,16,21,26,1.8,0.3,8.4
29,1,72.4,23.9,6429.55,1429.55,28.59,4219.8,55.43,0.34,0.1,AEIS,16,5,16,21,26,1.8,0.4,2.4
29,0,72.4,24.9,10781.03,5781.03,115.62,3558.84,30.75,1.62,1.9,AEIS,16,5,16,21,26,1.8,0.5,7.7
29,0,72.4,24.9,10781.03,5781.03,115.62,3558.84,30.75,1.62,1.9,AEIS,16,5,16,21,26,1.8,0.6,7.7
27,2,70.4,25.4,13595.24,8595.24,171.9,2831.44,19.68,3.04,5.2,AEIS,16,5,16,21,26,1.9,0.2,10.1
26,1,69.2,26.5,11864.02,6864.02,137.28,3188.05,25.39,2.15,3.0,AEIS,16,5,16,21,26,1.9,0.3,8.7
25,1,68.0,26.4,6591.82,1591.82,31.84,4124.83,55.43,0.39,0.1,AEIS,16,5,16,21,26,1.9,0.4,2.7
25,0,68.0,27.6,11053.13,6053.13,121.06,3478.75,29.74,1.74,2.1,AEIS,16,5,16,21,26,1.9,0.5,7.9
25,0,68.0,27.6,11053.13,6053.13,121.06,3478.75,29.74,1.74,2.1,AEIS,16,5,16,21,26,1.9,0.6,7.9
25,2,68.0,28.6,13101.61,8101.61,162.03,2601.81,18.76,3.11,5.0,AEIS,16,5,16,21,26,2.0,0.2,9.7
25,1,68.0,29.6,12942.78,7942.78,158.86,3243.51,23.68,2.45,3.9,AEIS,16,5,16,21,26,2.0,0.3,9.6
24,1,66.7,29.7,7191.2,2191.2,43.82,4196.6,55.14,0.52,0.2,AEIS,16,5,16,21,26,2.0,0.4,3.6
24,0,66.7,30.9,12058.16,7058.16,141.16,3539.27,27.73,1.99,2.8,AEIS,16,5,16,21,26,2.0,0.5,8.8
24,0,66.7,30.9,12058.16,7058.16,141.16,3539.27,27.73,1.99,2.8,AEIS,16,5,16,21,26,2.0,0.6,8.8
23,2,69.6,31.6,13658.59,8658.59,173.17,2729.53,18.88,3.17,5.5,AEIS,16,5,16,21,26,2.1,0.2,10.1
23,1,69.6,32.7,14932.13,9932.13,198.64,2777.26,17.57,3.58,7.1,AEIS,16,5,16,21,26,2.1,0.3,11.1
22,1,68.2,32.9,8296.51,3296.51,65.93,3714.59,42.3,0.89,0.6,AEIS,16,5,16,21,26,2.1,0.4,5.0
22,0,68.2,34.2,13911.53,8911.53,178.23,3068.13,20.84,2.9,5.2,AEIS,16,5,16,21,26,2.1,0.5,10.3
22,0,68.2,34.2,13911.53,8911.53,178.23,3068.13,20.84,2.9,5.2,AEIS,16,5,16,21,26,2.1,0.6,10.3
19,2,68.4,32.5,9565.3,4565.3,91.31,2756.57,28.82,1.66,1.5,AEIS,16,5,16,21,26,2.2,0.2,6.4
19,1,68.4,33.7,10457.17,5457.17,109.14,2884.18,27.58,1.89,2.1,AEIS,16,5,16,21,26,2.2,0.3,7.3
19,1,68.4,33.9,8526.43,3526.43,70.53,3615.56,42.4,0.98,0.7,AEIS,16,5,16,21,26,2.2,0.4,5.3
19,0,68.4,35.5,14297.07,9297.07,185.94,2986.33,20.89,3.11,5.8,AEIS,16,5,16,21,26,2.2,0.5,10.6
19,0,68.4,35.5,14297.07,9297.07,185.94,2986.33,20.89,3.11,5.8,AEIS,16,5,16,21,26,2.2,0.6,10.6
15,2,66.7,35.2,8191.59,3191.59,63.83,3138.4,38.31,1.02,0.7,AEIS,16,5,16,21,26,2.3,0.2,4.9
15,1,66.7,39.3,9738.25,4738.25,94.76,3730.97,38.31,1.27,1.2,AEIS,16,5,16,21,26,2.3,0.3,6.6
15,1,66.7,39.6,7940.24,2940.24,58.8,4480.33,56.43,0.66,0.4,AEIS,16,5,16,21,26,2.3,0.4,4.5
15,0,66.7,41.5,13314.15,8314.15,166.28,3398.23,25.52,2.45,4.1,AEIS,16,5,16,21,26,2.3,0.5,9.9
15,0,66.7,41.5,13314.15,8314.15,166.28,3398.23,25.52,2.45,4.1,AEIS,16,5,16,21,26,2.3,0.6,9.9
13,2,69.2,38.8,8008.01,3008.01,60.16,2237.18,27.94,1.34,0.8,AEIS,16,5,16,21,26,2.4,0.2,4.6
13,1,69.2,43.6,9520.01,4520.01,90.4,1746.1,18.34,2.59,2.3,AEIS,16,5,16,21,26,2.4,0.3,6.4
13,1,69.2,43.9,7762.3,2762.3,55.25,2411.39,31.07,1.15,0.6,AEIS,16,5,16,21,26,2.4,0.4,4.3
13,0,69.2,46.2,13015.78,8015.78,160.32,2333.68,17.93,3.43,5.5,AEIS,16,5,16,21,26,2.4,0.5,9.6
