Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
50,7,64.0,20.3,8985.04,3985.04,79.7,6072.38,53.94,0.66,0.5,AEO,16,5,16,21,26,1.5,0.2,5.8
47,2,63.8,22.4,10162.43,5162.43,103.25,8511.74,60.41,0.61,0.6,AEO,16,5,16,21,26,1.5,0.3,7.0
46,2,63.0,22.5,7831.67,2831.67,56.63,6597.79,60.55,0.43,0.2,AEO,16,5,16,21,26,1.5,0.4,4.4
45,2,64.4,23.2,6078.05,1078.05,21.56,6113.0,64.7,0.18,0.0,AEO,16,5,16,21,26,1.5,0.5,1.9
45,0,64.4,23.4,9358.11,4358.11,87.16,7903.06,60.61,0.55,0.5,AEO,16,5,16,21,26,1.5,0.6,6.2
46,7,63.0,21.9,7668.86,2668.86,53.38,5680.25,51.9,0.47,0.3,AEO,16,5,16,21,26,1.6,0.2,4.2
45,3,64.4,23.6,9947.41,4947.41,98.95,7870.66,57.46,0.63,0.6,AEO,16,5,16,21,26,1.6,0.3,6.8
43,2,65.1,24.3,8459.64,3459.64,69.19,5594.63,52.81,0.62,0.4,AEO,16,5,16,21,26,1.6,0.4,5.2
42,2,64.3,25.2,5898.16,898.16,17.96,5701.18,62.06,0.16,0.0,AEO,16,5,16,21,26,1.6,0.5,1.6
42,0,64.3,25.5,9081.14,4081.14,81.62,7310.91,57.67,0.56,0.5,AEO,16,5,16,21,26,1.6,0.6,5.9
42,7,69.0,22.4,6915.49,1915.49,38.31,4631.82,56.32,0.41,0.2,AEO,16,5,16,21,26,1.7,0.2,3.2
41,3,68.3,24.3,9920.6,4920.6,98.41,4183.53,38.83,1.18,1.2,AEO,16,5,16,21,26,1.7,0.3,6.8
39,2,71.8,25.0,7628.59,2628.59,52.57,4908.98,59.25,0.54,0.3,AEO,16,5,16,21,26,1.7,0.4,4.1
38,2,71.1,26.0,5318.74,318.74,6.37,5746.87,69.87,0.06,0.0,AEO,16,5,16,21,26,1.7,0.5,0.6
38,0,71.1,27.0,7655.92,2655.92,53.12,4897.1,58.9,0.54,0.3,AEO,16,5,16,21,26,1.7,0.6,4.2
37,7,64.9,24.2,4524.34,-475.66,-9.51,5964.7,67.8,-0.08,0.0,AEO,16,5,16,21,26,1.8,0.2,-1.0
36,3,66.7,26.7,6879.51,1879.51,37.59,4931.08,56.05,0.38,0.1,AEO,16,5,16,21,26,1.8,0.3,3.1
34,2,67.6,27.9,4745.42,-254.58,-5.09,6107.41,69.42,-0.04,0.0,AEO,16,5,16,21,26,1.8,0.4,-0.5
34,2,67.6,27.6,3829.29,-1170.71,-23.41,6626.82,75.32,-0.18,0.0,AEO,16,5,16,21,26,1.8,0.5,-2.5
33,0,66.7,30.3,4762.41,-237.59,-4.75,6097.77,69.31,-0.04,0.0,AEO,16,5,16,21,26,1.8,0.6,-0.5
36,6,63.9,25.9,6614.93,1614.93,32.3,6365.35,66.68,0.25,0.1,AEO,16,5,16,21,26,1.9,0.2,2.7
35,3,65.7,27.9,8384.72,3384.72,67.69,5327.19,51.7,0.64,0.4,AEO,16,5,16,21,26,1.9,0.3,5.1
