Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
20,1,70.0,22.9,,,,,0.0,999.0,,AFRI,16,5,16,21,26,1.5,0.2,
20,1,70.0,22.9,,,,,0.0,999.0,,AFRI,16,5,16,21,26,1.5,0.3,
19,0,73.7,24.2,,,,,0.0,999.0,,AFRI,16,5,16,21,26,1.5,0.4,
19,0,73.7,24.2,,,,,0.0,999.0,,AFRI,16,5,16,21,26,1.5,0.5,
19,0,73.7,24.2,,,,,0.0,999.0,,AFRI,16,5,16,21,26,1.5,0.6,
17,1,64.7,27.8,6815.25,1815.25,36.3,1879.08,22.46,0.97,0.4,AFRI,16,5,16,21,26,1.6,0.2,6.0
17,1,64.7,27.8,6260.74,1260.74,25.21,2041.11,26.56,0.62,0.2,AFRI,16,5,16,21,26,1.6,0.3,4.3
16,0,68.8,29.6,6212.36,1212.36,24.25,2064.68,27.07,0.59,0.1,AFRI,16,5,16,21,26,1.6,0.4,4.2
16,0,68.8,29.6,6212.36,1212.36,24.25,2064.68,27.07,0.59,0.1,AFRI,16,5,16,21,26,1.6,0.5,4.2
16,0,68.8,29.6,6212.36,1212.36,24.25,2064.68,27.07,0.59,0.1,AFRI,16,5,16,21,26,1.6,0.6,4.2
17,2,70.6,28.4,6772.45,1772.45,35.45,2327.93,26.53,0.76,0.3,AFRI,16,5,16,21,26,1.7,0.2,5.9
16,1,68.8,30.2,6213.43,1213.43,24.27,2146.14,26.62,0.57,0.1,AFRI,16,5,16,21,26,1.7,0.3,4.2
15,0,73.3,32.3,6165.42,1165.42,23.31,2129.55,26.62,0.55,0.1,AFRI,16,5,16,21,26,1.7,0.4,4.0
15,0,73.3,32.3,6165.42,1165.42,23.31,2129.55,26.62,0.55,0.1,AFRI,16,5,16,21,26,1.7,0.5,4.0
15,0,73.3,32.3,6165.42,1165.42,23.31,2129.55,26.62,0.55,0.1,AFRI,16,5,16,21,26,1.7,0.6,4.0
14,2,64.3,37.0,5694.2,694.2,13.88,2019.3,27.28,0.34,0.0,AFRI,16,5,16,21,26,1.8,0.2,2.5
13,1,61.5,39.9,5224.18,224.18,4.48,2041.11,30.02,0.11,0.0,AFRI,16,5,16,21,26,1.8,0.3,0.8
12,0,66.7,43.3,5183.81,183.81,3.68,2064.68,30.6,0.09,0.0,AFRI,16,5,16,21,26,1.8,0.4,0.7
12,0,66.7,43.3,5183.81,183.81,3.68,2064.68,30.6,0.09,0.0,AFRI,16,5,16,21,26,1.8,0.5,0.7
12,0,66.7,43.3,5183.81,183.81,3.68,2064.68,30.6,0.09,0.0,AFRI,16,5,16,21,26,1.8,0.6,0.7
12,2,58.3,42.6,5253.23,253.23,5.06,2269.63,31.37,0.11,0.0,AFRI,16,5,16,21,26,1.9,0.2,0.9
12,1,58.3,48.2,4875.44,-124.56,-2.49,2041.11,30.71,-0.06,0.0,AFRI,16,5,16,21,26,1.9,0.3,-0.5
11,0,63.6,52.6,4837.76,-162.24,-3.24,2064.68,31.31,-0.08,0.0,AFRI,16,5,16,21,26,1.9,0.4,-0.6
11,0,63.6,52.6,4837.76,-162.24,-3.24,2064.68,31.31,-0.08,0.0,AFRI,16,5,16,21,26,1.9,0.5,-0.6
11,0,63.6,52.6,4837.76,-162.24,-3.24,2064.68,31.31,-0.08,0.0,AFRI,16,5,16,21,26,1.9,0.6,-0.6
10,2,50.0,44.3,5040.72,40.72,0.81,2151.6,31.37,0.02,0.0,AFRI,16,5,16,21,26,2.0,0.2,0.2
9,1,44.4,55.4,2991.45,-2008.55,-40.17,2261.86,44.74,-0.89,0.4,AFRI,16,5,16,21,26,2.0,0.3,-9.2
9,0,55.6,56.8,4642.06,-357.94,-7.16,2050.25,32.79,-0.17,0.0,AFRI,16,5,16,21,26,2.0,0.4,-1.4
9,0,55.6,56.8,4642.06,-357.94,-7.16,2050.25,32.79,-0.17,0.0,AFRI,16,5,16,21,26,2.0,0.5,-1.4
9,0,55.6,56.8,4642.06,-357.94,-7.16,2050.25,32.79,-0.17,0.0,AFRI,16,5,16,21,26,2.0,0.6,-1.4
10,1,60.0,49.3,6646.35,1646.35,32.93,1860.53,23.06,0.88,0.3,AFRI,16,5,16,21,26,2.1,0.2,5.5
9,1,55.6,48.7,3335.99,-1664.01,-33.28,1940.12,38.38,-0.86,0.3,AFRI,16,5,16,21,26,2.1,0.3,-7.3
9,0,66.7,54.9,6058.4,1058.4,21.17,2050.25,27.88,0.52,0.1,AFRI,16,5,16,21,26,2.1,0.4,3.7
9,0,66.7,54.9,6058.4,1058.4,21.17,2050.25,27.88,0.52,0.1,AFRI,16,5,16,21,26,2.1,0.5,3.7
9,0,66.7,54.9,6058.4,1058.4,21.17,2050.25,27.88,0.52,0.1,AFRI,16,5,16,21,26,2.1,0.6,3.7
9,1,77.8,52.9,7507.75,2507.75,50.16,1758.62,20.67,1.43,0.7,AFRI,16,5,16,21,26,2.2,0.2,7.9
8,1,75.0,52.6,3768.35,-1231.65,-24.63,1830.42,36.21,-0.67,0.2,AFRI,16,5,16,21,26,2.2,0.3,-5.2
8,0,87.5,59.6,6843.6,1843.6,36.87,2050.25,26.43,0.9,0.3,AFRI,16,5,16,21,26,2.2,0.4,6.1
8,0,87.5,59.6,6843.6,1843.6,36.87,2050.25,26.43,0.9,0.3,AFRI,16,5,16,21,26,2.2,0.5,6.1
8,0,87.5,59.6,6843.6,1843.6,36.87,2050.25,26.43,0.9,0.3,AFRI,16,5,16,21,26,2.2,0.6,6.1
7,1,71.4,52.4,7024.33,2024.33,40.49,1758.62,21.74,1.15,0.5,AFRI,16,5,16,21,26,2.3,0.2,6.6
6,1,66.7,52.0,3525.71,-1474.29,-29.49,1998.8,39.54,-0.74,0.2,AFRI,16,5,16,21,26,2.3,0.3,-6.3
6,0,83.3,61.3,6402.95,1402.95,28.06,2050.25,27.81,0.68,0.2,AFRI,16,5,16,21,26,2.3,0.4,4.8
6,0,83.3,61.3,6402.95,1402.95,28.06,2050.25,27.81,0.68,0.2,AFRI,16,5,16,21,26,2.3,0.5,4.8
6,0,83.3,61.3,6402.95,1402.95,28.06,2050.25,27.81,0.68,0.2,AFRI,16,5,16,21,26,2.3,0.6,4.8
6,1,66.7,61.7,6575.62,1575.62,31.51,1758.62,23.23,0.9,0.3,AFRI,16,5,16,21,26,2.4,0.2,5.3
