Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
44,2,75.0,18.6,11303.09,6303.09,126.06,4796.23,38.47,1.31,1.7,AGM,16,5,16,21,26,1.5,0.2,8.1
43,1,76.7,19.1,11507.41,6507.41,130.15,4703.07,37.06,1.38,1.8,AGM,16,5,16,21,26,1.5,0.3,8.3
43,0,76.7,19.4,16878.6,11878.6,237.57,4505.0,24.2,2.64,6.3,AGM,16,5,16,21,26,1.5,0.4,12.4
43,0,76.7,19.4,16878.6,11878.6,237.57,4505.0,24.2,2.64,6.3,AGM,16,5,16,21,26,1.5,0.5,12.4
43,0,76.7,19.4,16878.6,11878.6,237.57,4505.0,24.2,2.64,6.3,AGM,16,5,16,21,26,1.5,0.6,12.4
40,2,77.5,20.9,9814.11,4814.11,96.28,5202.8,48.07,0.93,0.9,AGM,16,5,16,21,26,1.6,0.2,6.7
40,1,80.0,21.2,14394.94,9394.94,187.9,5013.27,31.58,1.87,3.5,AGM,16,5,16,21,26,1.6,0.3,10.7
39,1,79.5,21.5,9991.51,4991.51,99.83,5112.04,46.39,0.98,1.0,AGM,16,5,16,21,26,1.6,0.4,6.9
39,0,79.5,21.8,14655.15,9655.15,193.1,4919.09,30.43,1.96,3.8,AGM,16,5,16,21,26,1.6,0.5,10.9
39,0,79.5,21.8,14655.15,9655.15,193.1,4919.09,30.43,1.96,3.8,AGM,16,5,16,21,26,1.6,0.6,10.9
36,2,75.0,24.0,9482.28,4482.28,89.65,5274.17,52.69,0.85,0.8,AGM,16,5,16,21,26,1.7,0.2,6.3
36,1,77.8,24.4,13908.23,8908.23,178.16,5095.43,34.98,1.75,3.1,AGM,16,5,16,21,26,1.7,0.3,10.3
35,1,77.1,24.7,9653.69,4653.69,93.07,5188.58,51.32,0.9,0.8,AGM,16,5,16,21,26,1.7,0.4,6.5
35,0,77.1,25.1,14159.64,9159.64,183.19,5006.61,33.76,1.83,3.4,AGM,16,5,16,21,26,1.7,0.5,10.5
35,0,77.1,25.1,14159.64,9159.64,183.19,5006.61,33.76,1.83,3.4,AGM,16,5,16,21,26,1.7,0.6,10.5
34,2,79.4,23.1,11060.02,6060.02,121.2,4915.97,43.17,1.23,1.5,AGM,16,5,16,21,26,1.8,0.2,7.9
34,1,82.4,23.4,16857.22,11857.22,237.14,4524.17,26.07,2.62,6.2,AGM,16,5,16,21,26,1.8,0.3,12.4
