Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
42,4,73.8,19.7,7149.83,2149.83,43.0,4371.99,40.95,0.49,0.2,AHRT,16,5,16,21,26,1.5,0.2,3.5
41,3,75.6,20.2,5739.07,739.07,14.78,4879.06,58.65,0.15,0.0,AHRT,16,5,16,21,26,1.5,0.3,1.3
39,1,76.9,21.3,6195.27,1195.27,23.91,4616.52,50.89,0.26,0.1,AHRT,16,5,16,21,26,1.5,0.4,2.1
39,1,76.9,21.3,6195.27,1195.27,23.91,4616.52,50.89,0.26,0.1,AHRT,16,5,16,21,26,1.5,0.5,2.1
38,0,76.3,21.8,6891.95,1891.95,37.84,4260.85,42.22,0.44,0.2,AHRT,16,5,16,21,26,1.5,0.6,3.1
38,4,71.1,22.2,7330.43,2330.43,46.61,4208.01,40.66,0.55,0.3,AHRT,16,5,16,21,26,1.6,0.2,3.7
37,3,73.0,22.9,5592.86,592.86,11.86,5041.21,63.65,0.12,0.0,AHRT,16,5,16,21,26,1.6,0.3,1.1
35,1,74.3,24.2,6037.43,1037.43,20.75,4785.89,55.41,0.22,0.0,AHRT,16,5,16,21,26,1.6,0.4,1.8
35,1,74.3,24.2,6037.43,1037.43,20.75,4785.89,55.41,0.22,0.0,AHRT,16,5,16,21,26,1.6,0.5,1.8
34,0,73.5,25.0,6716.37,1716.37,34.33,4439.99,46.21,0.39,0.1,AHRT,16,5,16,21,26,1.6,0.6,2.9
34,4,70.6,25.1,6320.04,1320.04,26.4,4137.73,42.73,0.32,0.1,AHRT,16,5,16,21,26,1.7,0.2,2.3
33,3,72.7,25.9,5027.46,27.46,0.55,4694.04,63.09,0.01,0.0,AHRT,16,5,16,21,26,1.7,0.3,0.1
31,1,74.2,27.7,5205.26,205.26,4.11,4456.3,54.93,0.05,0.0,AHRT,16,5,16,21,26,1.7,0.4,0.4
31,1,74.2,27.7,5205.26,205.26,4.11,4456.3,54.93,0.05,0.0,AHRT,16,5,16,21,26,1.7,0.5,0.4
30,0,73.3,28.6,5790.61,790.61,15.81,4134.23,45.8,0.19,0.0,AHRT,16,5,16,21,26,1.7,0.6,1.4
31,4,67.7,27.3,5667.25,667.25,13.34,4009.43,48.17,0.17,0.0,AHRT,16,5,16,21,26,1.8,0.2,1.2
30,3,70.0,28.2,4508.18,-491.82,-9.84,4803.32,64.12,-0.1,0.0,AHRT,16,5,16,21,26,1.8,0.3,-1.0
28,1,71.4,30.4,4667.61,-332.39,-6.65,4560.04,60.88,-0.07,0.0,AHRT,16,5,16,21,26,1.8,0.4,-0.7
28,1,71.4,30.4,4667.61,-332.39,-6.65,4560.04,60.88,-0.07,0.0,AHRT,16,5,16,21,26,1.8,0.5,-0.7
27,0,70.4,31.5,5192.51,192.51,3.85,4230.47,54.27,0.05,0.0,AHRT,16,5,16,21,26,1.8,0.6,0.4
29,4,65.5,30.0,6467.35,1467.35,29.35,4742.78,47.35,0.31,0.1,AHRT,16,5,16,21,26,1.9,0.2,2.5
28,2,71.4,31.6,9965.44,4965.44,99.31,5156.25,38.82,0.96,1.0,AHRT,16,5,16,21,26,1.9,0.3,6.8
27,1,70.4,32.9,5823.67,823.67,16.47,5196.55,60.88,0.16,0.0,AHRT,16,5,16,21,26,1.9,0.4,1.5
27,1,70.4,32.9,5823.67,823.67,16.47,5196.55,60.88,0.16,0.0,AHRT,16,5,16,21,26,1.9,0.5,1.5
26,0,69.2,34.2,6478.56,1478.56,29.57,4820.97,51.39,0.31,0.1,AHRT,16,5,16,21,26,1.9,0.6,2.5
24,3,62.5,35.5,5038.25,38.25,0.77,3569.19,48.05,0.01,0.0,AHRT,16,5,16,21,26,2.0,0.2,0.1
22,2,68.2,39.4,5088.32,88.32,1.77,3470.33,44.07,0.03,0.0,AHRT,16,5,16,21,26,2.0,0.3,0.2
22,1,68.2,38.8,4186.25,-813.75,-16.27,4166.59,56.72,-0.2,0.0,AHRT,16,5,16,21,26,2.0,0.4,-1.7
22,1,68.2,38.8,4186.25,-813.75,-16.27,4166.59,56.72,-0.2,0.0,AHRT,16,5,16,21,26,2.0,0.5,-1.7
21,0,66.7,42.6,3723.37,-1276.63,-25.53,4518.18,61.5,-0.28,0.1,AHRT,16,5,16,21,26,2.0,0.6,-2.8
23,2,69.6,39.8,6498.08,1498.08,29.96,4152.75,44.68,0.36,0.1,AHRT,16,5,16,21,26,2.1,0.2,2.5
22,2,72.7,40.5,6189.95,1189.95,23.8,4024.57,43.3,0.3,0.1,AHRT,16,5,16,21,26,2.1,0.3,2.1
21,1,71.4,41.0,3583.3,-1416.7,-28.33,5407.46,65.61,-0.26,0.1,AHRT,16,5,16,21,26,2.1,0.4,-3.1
21,1,71.4,41.0,3583.3,-1416.7,-28.33,5407.46,65.61,-0.26,0.1,AHRT,16,5,16,21,26,2.1,0.5,-3.1
21,0,71.4,43.7,4529.49,-470.51,-9.41,4904.48,59.5,-0.1,0.0,AHRT,16,5,16,21,26,2.1,0.6,-0.9
21,2,71.4,44.9,6428.03,1428.03,28.56,4552.27,45.41,0.31,0.1,AHRT,16,5,16,21,26,2.2,0.2,2.4
20,2,75.0,45.9,6123.23,1123.23,22.46,4811.73,48.0,0.23,0.1,AHRT,16,5,16,21,26,2.2,0.3,2.0
19,1,73.7,46.8,3544.67,-1455.33,-29.11,5916.64,66.23,-0.25,0.1,AHRT,16,5,16,21,26,2.2,0.4,-3.2
19,1,73.7,46.8,3544.67,-1455.33,-29.11,5916.64,66.23,-0.25,0.1,AHRT,16,5,16,21,26,2.2,0.5,-3.2
19,0,73.7,49.8,4480.66,-519.34,-10.39,5316.01,59.5,-0.1,0.0,AHRT,16,5,16,21,26,2.2,0.6,-1.0
20,2,75.0,46.5,6491.1,1491.1,29.82,4318.55,45.41,0.35,0.1,AHRT,16,5,16,21,26,2.3,0.2,2.5
19,2,78.9,47.6,6183.3,1183.3,23.67,4564.69,48.0,0.26,0.1,AHRT,16,5,16,21,26,2.3,0.3,2.1
18,1,77.8,48.6,3428.06,-1571.94,-31.44,5375.48,66.23,-0.29,0.1,AHRT,16,5,16,21,26,2.3,0.4,-3.6
18,1,77.8,48.6,3428.06,-1571.94,-31.44,5375.48,66.23,-0.29,0.1,AHRT,16,5,16,21,26,2.3,0.5,-3.6
18,0,77.8,51.8,4524.62,-475.38,-9.51,4829.79,59.5,-0.1,0.0,AHRT,16,5,16,21,26,2.3,0.6,-1.0
18,2,77.8,53.9,6441.54,1441.54,28.83,3336.49,40.45,0.43,0.1,AHRT,16,5,16,21,26,2.4,0.2,2.5
17,2,82.4,55.6,6136.09,1136.09,22.72,3407.61,41.31,0.33,0.1,AHRT,16,5,16,21,26,2.4,0.3,2.0
