Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
52,9,76.9,16.8,26333.73,21333.73,426.67,17510.15,39.94,1.22,5.2,AIOT,16,5,16,21,26,1.5,0.2,17.3
49,6,77.6,18.1,14724.99,9724.99,194.5,12936.45,50.35,0.75,1.5,AIOT,16,5,16,21,26,1.5,0.3,10.9
48,3,83.3,18.8,29416.68,24416.68,488.33,19394.79,43.21,1.26,6.2,AIOT,16,5,16,21,26,1.5,0.4,18.5
47,2,83.0,18.8,21963.93,16963.93,339.28,16438.84,46.35,1.03,3.5,AIOT,16,5,16,21,26,1.5,0.5,15.3
46,2,84.8,19.5,15010.89,10010.89,200.22,11234.86,46.35,0.89,1.8,AIOT,16,5,16,21,26,1.5,0.6,11.1
47,9,76.6,18.4,17167.15,12167.15,243.34,12990.81,43.08,0.94,2.3,AIOT,16,5,16,21,26,1.6,0.2,12.6
44,6,77.3,20.1,9287.89,4287.89,85.76,9271.68,54.22,0.46,0.4,AIOT,16,5,16,21,26,1.6,0.3,6.1
43,3,83.7,21.0,19014.16,14014.16,280.28,14135.76,46.18,0.99,2.8,AIOT,16,5,16,21,26,1.6,0.4,13.7
42,2,83.3,21.5,15617.83,10617.83,212.36,13079.65,49.15,0.81,1.7,AIOT,16,5,16,21,26,1.6,0.5,11.6
41,2,85.4,21.8,9702.64,4702.64,94.05,9734.94,58.88,0.48,0.5,AIOT,16,5,16,21,26,1.6,0.6,6.6
44,9,77.3,18.5,23048.44,18048.44,360.97,16740.55,42.07,1.08,3.9,AIOT,16,5,16,21,26,1.7,0.2,15.8
41,6,80.5,19.9,16021.03,11021.03,220.42,8680.53,38.47,1.27,2.8,AIOT,16,5,16,21,26,1.7,0.3,11.8
40,3,82.5,21.5,22651.96,17651.96,353.04,16443.28,45.59,1.07,3.8,AIOT,16,5,16,21,26,1.7,0.4,15.6
39,2,82.1,22.1,18727.45,13727.45,274.55,15131.6,48.25,0.91,2.5,AIOT,16,5,16,21,26,1.7,0.5,13.5
38,2,84.2,22.3,11634.51,6634.51,132.69,9400.57,48.25,0.71,0.9,AIOT,16,5,16,21,26,1.7,0.6,8.4
39,9,74.4,18.9,14961.42,9961.42,199.23,9893.12,40.27,1.01,2.0,AIOT,16,5,16,21,26,1.8,0.2,11.1
