Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
24,8,66.7,17.1,4749.41,-250.59,-5.01,4353.27,67.19,-0.06,0.0,AIP,16,5,16,21,26,1.5,0.2,-1.1
22,4,77.3,18.1,7491.85,2491.85,49.84,3883.07,39.77,0.64,0.3,AIP,16,5,16,21,26,1.5,0.3,9.2
20,3,75.0,21.2,5198.39,198.39,3.97,4501.54,49.65,0.04,0.0,AIP,16,5,16,21,26,1.5,0.4,0.8
18,0,72.2,24.4,5603.52,603.52,12.07,4207.31,52.29,0.14,0.0,AIP,16,5,16,21,26,1.5,0.5,2.5
18,0,72.2,24.4,5603.52,603.52,12.07,4207.31,52.29,0.14,0.0,AIP,16,5,16,21,26,1.5,0.6,2.5
22,8,63.6,17.0,4910.57,-89.43,-1.79,3947.52,48.23,-0.02,0.0,AIP,16,5,16,21,26,1.6,0.2,-0.4
21,4,76.2,19.1,8181.69,3181.69,63.63,4185.98,39.26,0.76,0.5,AIP,16,5,16,21,26,1.6,0.3,11.3
19,3,73.7,22.5,5677.05,677.05,13.54,4916.03,49.65,0.14,0.0,AIP,16,5,16,21,26,1.6,0.4,2.8
17,0,70.6,25.9,6119.48,1119.48,22.39,4025.01,45.8,0.28,0.1,AIP,16,5,16,21,26,1.6,0.5,4.5
17,0,70.6,25.9,6119.48,1119.48,22.39,4025.01,45.8,0.28,0.1,AIP,16,5,16,21,26,1.6,0.6,4.5
21,7,61.9,18.2,7223.75,2223.75,44.48,4178.96,43.26,0.53,0.2,AIP,16,5,16,21,26,1.7,0.2,8.3
20,4,75.0,19.9,9657.13,4657.13,93.14,4940.85,39.26,0.94,0.9,AIP,16,5,16,21,26,1.7,0.3,15.4
18,3,72.2,23.5,6700.82,1700.82,34.02,5802.56,49.65,0.29,0.1,AIP,16,5,16,21,26,1.7,0.4,6.6
16,0,68.8,27.3,7223.03,2223.03,44.46,4654.13,44.87,0.48,0.2,AIP,16,5,16,21,26,1.7,0.5,8.3
16,0,68.8,27.3,7223.03,2223.03,44.46,4654.13,44.87,0.48,0.2,AIP,16,5,16,21,26,1.7,0.6,8.3
19,7,63.2,17.9,5061.74,61.74,1.23,4566.42,70.63,0.01,0.0,AIP,16,5,16,21,26,1.8,0.2,0.3
18,4,72.2,21.0,8423.57,3423.57,68.47,4309.73,39.26,0.79,0.5,AIP,16,5,16,21,26,1.8,0.3,12.0
16,3,68.8,26.1,4956.02,-43.98,-0.88,4291.65,49.65,-0.01,0.0,AIP,16,5,16,21,26,1.8,0.4,-0.2
14,1,64.3,29.3,3898.15,-1101.85,-22.04,4616.46,77.37,-0.24,0.1,AIP,16,5,16,21,26,1.8,0.5,-5.3
14,0,64.3,30.8,5619.27,619.27,12.39,4195.89,52.0,0.15,0.0,AIP,16,5,16,21,26,1.8,0.6,2.6
19,7,63.2,16.6,7731.26,2731.26,54.63,4804.31,53.01,0.57,0.3,AIP,16,5,16,21,26,1.9,0.2,9.9
17,4,70.6,19.7,8191.98,3191.98,63.84,3916.5,39.97,0.82,0.5,AIP,16,5,16,21,26,1.9,0.3,11.3
15,3,66.7,25.5,5603.47,603.47,12.07,4452.94,49.65,0.14,0.0,AIP,16,5,16,21,26,1.9,0.4,2.5
14,1,64.3,27.6,5224.68,224.68,4.49,4568.37,66.35,0.05,0.0,AIP,16,5,16,21,26,1.9,0.5,1.0
14,0,64.3,29.1,7531.49,2531.49,50.63,4453.47,44.87,0.57,0.3,AIP,16,5,16,21,26,1.9,0.6,9.3
16,7,56.2,17.7,4534.9,-465.1,-9.3,4995.32,69.89,-0.09,0.0,AIP,16,5,16,21,26,2.0,0.2,-2.1
13,4,61.5,21.8,4056.76,-943.24,-18.86,4140.19,72.3,-0.23,0.0,AIP,16,5,16,21,26,2.0,0.3,-4.4
12,2,58.3,28.3,4747.84,-252.16,-5.04,3864.52,44.87,-0.07,0.0,AIP,16,5,16,21,26,2.0,0.4,-1.1
11,1,54.5,30.2,3718.81,-1281.19,-25.62,4439.54,71.6,-0.29,0.1,AIP,16,5,16,21,26,2.0,0.5,-6.2
