Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
33,14,48.5,16.6,841.82,-4158.18,-83.16,4311.16,86.22,-0.96,0.8,AI,16,5,16,21,26,1.5,0.2,-27.7
25,7,52.0,22.3,784.96,-4215.04,-84.3,4360.16,87.2,-0.97,0.8,AI,16,5,16,21,26,1.5,0.3,-28.7
22,3,50.0,26.3,691.03,-4308.97,-86.18,4434.55,88.69,-0.97,0.8,AI,16,5,16,21,26,1.5,0.4,-30.3
20,2,45.0,27.6,559.28,-4440.72,-88.81,4544.12,90.88,-0.98,0.9,AI,16,5,16,21,26,1.5,0.5,-32.9
19,0,42.1,30.7,587.83,-4412.17,-88.24,4520.85,90.42,-0.98,0.9,AI,16,5,16,21,26,1.5,0.6,-32.3
27,11,48.1,18.3,806.41,-4193.59,-83.87,4400.88,87.0,-0.95,0.8,AI,16,5,16,21,26,1.6,0.2,-28.3
23,7,52.2,22.7,851.39,-4148.61,-82.97,4364.21,86.28,-0.95,0.8,AI,16,5,16,21,26,1.6,0.3,-27.6
20,3,50.0,27.3,709.18,-4290.82,-85.82,4477.9,88.53,-0.96,0.8,AI,16,5,16,21,26,1.6,0.4,-30.0
19,2,47.4,28.9,658.25,-4341.75,-86.84,4521.65,89.39,-0.96,0.8,AI,16,5,16,21,26,1.6,0.5,-30.9
18,0,44.4,31.7,716.34,-4283.66,-85.67,4474.3,88.46,-0.96,0.8,AI,16,5,16,21,26,1.6,0.6,-29.8
26,10,50.0,21.2,1082.98,-3917.02,-78.34,4175.44,82.55,-0.94,0.7,AI,16,5,16,21,26,1.7,0.2,-24.3
21,7,47.6,25.6,787.02,-4212.98,-84.26,4416.69,87.32,-0.95,0.8,AI,16,5,16,21,26,1.7,0.3,-28.6
18,3,38.9,31.1,510.04,-4489.96,-89.8,4642.46,91.78,-0.97,0.9,AI,16,5,16,21,26,1.7,0.4,-34.0
18,2,44.4,31.9,671.79,-4328.21,-86.56,4510.61,89.17,-0.96,0.8,AI,16,5,16,21,26,1.7,0.5,-30.7
18,1,44.4,33.1,805.19,-4194.81,-83.9,4401.88,87.02,-0.95,0.8,AI,16,5,16,21,26,1.7,0.6,-28.3
24,10,50.0,22.0,1506.94,-3493.06,-69.86,3829.86,75.72,-0.91,0.6,AI,16,5,16,21,26,1.8,0.2,-19.6
19,6,42.1,29.3,860.28,-4139.72,-82.79,4356.97,86.14,-0.95,0.8,AI,16,5,16,21,26,1.8,0.3,-27.5
17,3,35.3,34.1,594.0,-4406.0,-88.12,4574.02,90.43,-0.96,0.8,AI,16,5,16,21,26,1.8,0.4,-32.2
17,2,41.2,34.9,782.38,-4217.62,-84.35,4420.47,87.39,-0.95,0.8,AI,16,5,16,21,26,1.8,0.5,-28.7
17,1,41.2,36.2,937.74,-4062.26,-81.25,4293.83,84.89,-0.95,0.8,AI,16,5,16,21,26,1.8,0.6,-26.3
20,9,45.0,24.1,1597.34,-3402.66,-68.05,3697.96,73.96,-0.92,0.6,AI,16,5,16,21,26,1.9,0.2,-18.8
17,4,41.2,33.0,1380.13,-3619.87,-72.4,3875.02,77.5,-0.93,0.7,AI,16,5,16,21,26,1.9,0.3,-20.9
15,1,33.3,38.3,1492.13,-3507.87,-70.16,3783.72,75.67,-0.93,0.7,AI,16,5,16,21,26,1.9,0.4,-19.8
15,1,40.0,37.7,1560.57,-3439.43,-68.79,3727.93,74.56,-0.92,0.6,AI,16,5,16,21,26,1.9,0.5,-19.1
15,1,40.0,38.4,1545.33,-3454.67,-69.09,3740.36,74.81,-0.92,0.6,AI,16,5,16,21,26,1.9,0.6,-19.3
17,7,41.2,24.7,2376.03,-2623.97,-52.48,3314.99,63.12,-0.79,0.4,AI,16,5,16,21,26,2.0,0.2,-12.7
16,4,37.5,33.6,2167.62,-2832.38,-56.65,3484.86,66.36,-0.81,0.5,AI,16,5,16,21,26,2.0,0.3,-14.1
14,1,28.6,40.6,2033.26,-2966.74,-59.33,3594.39,68.44,-0.83,0.5,AI,16,5,16,21,26,2.0,0.4,-15.1
14,1,35.7,40.9,2128.02,-2871.98,-57.44,3517.14,66.97,-0.82,0.5,AI,16,5,16,21,26,2.0,0.5,-14.4
14,1,35.7,41.8,1979.64,-3020.36,-60.41,3638.1,69.27,-0.83,0.5,AI,16,5,16,21,26,2.0,0.6,-15.5
16,7,43.8,27.7,3133.25,-1866.75,-37.33,2764.28,51.98,-0.68,0.3,AI,16,5,16,21,26,2.1,0.2,-8.2
15,3,40.0,39.2,3016.23,-1983.77,-39.68,2949.37,56.16,-0.67,0.3,AI,16,5,16,21,26,2.1,0.3,-8.8
14,2,42.9,42.6,2527.83,-2472.17,-49.44,3410.5,64.94,-0.72,0.4,AI,16,5,16,21,26,2.1,0.4,-11.7
13,2,46.2,45.5,2041.0,-2959.0,-59.18,3324.68,63.31,-0.89,0.5,AI,16,5,16,21,26,2.1,0.5,-15.1
13,1,46.2,47.2,2472.27,-2527.73,-50.55,3349.04,63.77,-0.75,0.4,AI,16,5,16,21,26,2.1,0.6,-12.1
