Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
56,23,51.8,19.7,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.5,0.2,
49,12,57.1,24.5,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.5,0.3,
44,6,63.6,27.4,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.5,0.4,
40,2,60.0,30.6,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.5,0.5,
39,1,64.1,31.4,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.5,0.6,
54,23,51.9,20.3,398.06,-4601.94,-92.04,8525.07,96.97,-0.54,0.5,ATYR,16,5,16,21,26,1.6,0.2,-21.6
44,12,56.8,26.0,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.6,0.3,
40,6,60.0,30.8,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.6,0.4,
36,2,55.6,34.4,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.6,0.5,
35,1,60.0,35.4,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.6,0.6,
49,22,51.0,20.3,260.89,-4739.11,-94.78,7315.2,97.71,-0.65,0.6,ATYR,16,5,16,21,26,1.7,0.2,-24.7
44,11,61.4,26.8,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.7,0.3,
38,6,60.5,30.1,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.7,0.4,
35,2,60.0,34.3,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.7,0.5,
35,1,62.9,35.2,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.7,0.6,
46,22,47.8,20.5,162.96,-4837.04,-96.74,7377.81,98.54,-0.66,0.6,ATYR,16,5,16,21,26,1.8,0.2,-28.0
41,11,63.4,27.3,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.8,0.3,
35,6,60.0,30.9,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.8,0.4,
32,2,59.4,36.1,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.8,0.5,
32,1,62.5,37.1,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.8,0.6,
38,20,47.4,19.7,191.61,-4808.39,-96.17,6993.65,97.45,-0.69,0.7,ATYR,16,5,16,21,26,1.9,0.2,-26.9
35,10,60.0,27.8,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.9,0.3,
30,6,56.7,31.8,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.9,0.4,
27,2,55.6,37.9,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.9,0.5,
27,1,59.3,39.0,,,,,0.0,999.0,,ATYR,16,5,16,21,26,1.9,0.6,
35,17,48.6,21.4,347.09,-4652.91,-93.06,6829.85,95.16,-0.68,0.6,ATYR,16,5,16,21,26,2.0,0.2,-22.6
31,9,64.5,28.6,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.0,0.3,
27,5,59.3,33.1,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.0,0.4,
26,1,57.7,38.7,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.0,0.5,
26,1,61.5,38.7,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.0,0.6,
27,13,48.1,23.3,577.67,-4422.33,-88.45,5682.83,90.77,-0.78,0.7,ATYR,16,5,16,21,26,2.1,0.2,-18.7
23,8,60.9,32.3,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.1,0.3,
23,4,60.9,38.9,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.1,0.4,
22,1,59.1,44.5,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.1,0.5,
21,1,61.9,45.9,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.1,0.6,
23,12,47.8,23.4,816.36,-4183.64,-83.67,4538.97,84.76,-0.92,0.8,ATYR,16,5,16,21,26,2.2,0.2,-16.0
20,8,55.0,26.8,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.2,0.3,
19,3,52.6,41.5,,,,,0.0,999.0,,ATYR,16,5,16,21,26,2.2,0.4,
