Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
48,6,66.7,21.3,7047.91,2047.91,40.96,7961.19,59.72,0.26,0.1,AVNS,16,5,16,21,26,1.5,0.2,3.4
45,2,66.7,22.8,7196.55,2196.55,43.93,7676.86,58.34,0.29,0.1,AVNS,16,5,16,21,26,1.5,0.3,3.6
43,1,67.4,24.0,6589.67,1589.67,31.79,6767.2,57.41,0.23,0.1,AVNS,16,5,16,21,26,1.5,0.4,2.7
43,0,67.4,24.2,7502.69,2502.69,50.05,7704.83,57.41,0.32,0.2,AVNS,16,5,16,21,26,1.5,0.5,4.0
43,0,67.4,24.2,7502.69,2502.69,50.05,7704.83,57.41,0.32,0.2,AVNS,16,5,16,21,26,1.5,0.6,4.0
44,6,68.2,22.4,7824.79,2824.79,56.5,7427.65,55.69,0.38,0.2,AVNS,16,5,16,21,26,1.6,0.2,4.4
41,2,70.7,24.5,7695.98,2695.98,53.92,8109.99,58.25,0.33,0.2,AVNS,16,5,16,21,26,1.6,0.3,4.2
39,1,69.2,25.5,6775.08,1775.08,35.5,7177.78,58.38,0.25,0.1,AVNS,16,5,16,21,26,1.6,0.4,3.0
39,0,69.2,26.2,7824.33,2824.33,56.49,8289.4,58.38,0.34,0.2,AVNS,16,5,16,21,26,1.6,0.5,4.4
39,0,69.2,26.2,7824.33,2824.33,56.49,8289.4,58.38,0.34,0.2,AVNS,16,5,16,21,26,1.6,0.6,4.4
38,5,63.2,25.6,6155.56,1155.56,23.11,6074.0,55.03,0.19,0.0,AVNS,16,5,16,21,26,1.7,0.2,2.0
36,2,66.7,27.1,7062.27,2062.27,41.25,7119.3,55.55,0.29,0.1,AVNS,16,5,16,21,26,1.7,0.3,3.4
35,1,65.7,28.2,6471.07,1471.07,29.42,5920.63,53.15,0.25,0.1,AVNS,16,5,16,21,26,1.7,0.4,2.5
35,0,65.7,28.9,7473.24,2473.24,49.46,6837.55,53.15,0.36,0.2,AVNS,16,5,16,21,26,1.7,0.5,3.9
35,0,65.7,28.9,7473.24,2473.24,49.46,6837.55,53.15,0.36,0.2,AVNS,16,5,16,21,26,1.7,0.6,3.9
34,5,61.8,27.9,6202.27,1202.27,24.05,5879.75,57.0,0.2,0.0,AVNS,16,5,16,21,26,1.8,0.2,2.1
32,2,65.6,29.7,7115.86,2115.86,42.32,6707.42,56.86,0.32,0.1,AVNS,16,5,16,21,26,1.8,0.3,3.4
31,1,64.5,31.0,6520.18,1520.18,30.4,5652.37,54.79,0.27,0.1,AVNS,16,5,16,21,26,1.8,0.4,2.6
31,0,64.5,31.8,7529.95,2529.95,50.6,6457.0,54.52,0.39,0.2,AVNS,16,5,16,21,26,1.8,0.5,4.0
31,0,64.5,31.8,7529.95,2529.95,50.6,6457.0,54.52,0.39,0.2,AVNS,16,5,16,21,26,1.8,0.6,4.0
30,5,60.0,28.3,6622.66,1622.66,32.45,5602.24,54.19,0.29,0.1,AVNS,16,5,16,21,26,1.9,0.2,2.7
28,2,64.3,30.4,7598.17,2598.17,51.96,6568.51,54.72,0.4,0.2,AVNS,16,5,16,21,26,1.9,0.3,4.1
27,1,63.0,32.0,6962.11,1962.11,39.24,5454.13,52.27,0.36,0.1,AVNS,16,5,16,21,26,1.9,0.4,3.2
27,0,63.0,32.9,8040.33,3040.33,60.81,6298.81,52.27,0.48,0.3,AVNS,16,5,16,21,26,1.9,0.5,4.7
27,0,63.0,32.9,8040.33,3040.33,60.81,6298.81,52.27,0.48,0.3,AVNS,16,5,16,21,26,1.9,0.6,4.7
26,4,57.7,34.2,6081.66,1081.66,21.63,5238.77,55.25,0.21,0.0,AVNS,16,5,16,21,26,2.0,0.2,1.9
25,2,64.0,35.8,6726.02,1726.02,34.52,4889.55,51.03,0.35,0.1,AVNS,16,5,16,21,26,2.0,0.3,2.9
24,1,62.5,37.6,6256.05,1256.05,25.12,3827.5,46.72,0.33,0.1,AVNS,16,5,16,21,26,2.0,0.4,2.2
24,0,62.5,38.7,7345.84,2345.84,46.92,4494.24,46.72,0.52,0.2,AVNS,16,5,16,21,26,2.0,0.5,3.8
24,0,62.5,38.7,7345.84,2345.84,46.92,4494.24,46.72,0.52,0.2,AVNS,16,5,16,21,26,2.0,0.6,3.8
23,2,65.2,34.2,10624.65,5624.65,112.49,4578.54,38.73,1.23,1.4,AVNS,16,5,16,21,26,2.1,0.2,7.5
22,2,72.7,35.2,9436.8,4436.8,88.74,5513.56,46.15,0.8,0.7,AVNS,16,5,16,21,26,2.1,0.3,6.3
21,1,71.4,37.2,8777.43,3777.43,75.55,4230.11,41.41,0.89,0.7,AVNS,16,5,16,21,26,2.1,0.4,5.6
21,0,71.4,38.4,10306.43,5306.43,106.13,4966.98,41.41,1.07,1.1,AVNS,16,5,16,21,26,2.1,0.5,7.2
21,0,71.4,38.4,10306.43,5306.43,106.13,4966.98,41.41,1.07,1.1,AVNS,16,5,16,21,26,2.1,0.6,7.2
19,1,68.4,41.2,13614.99,8614.99,172.3,4431.77,32.31,1.94,3.3,AVNS,16,5,16,21,26,2.2,0.2,10.1
18,0,66.7,44.3,13171.21,8171.21,163.42,4287.31,32.31,1.91,3.1,AVNS,16,5,16,21,26,2.2,0.3,9.7
18,0,66.7,44.3,13171.21,8171.21,163.42,4287.31,32.31,1.91,3.1,AVNS,16,5,16,21,26,2.2,0.4,9.7
18,0,66.7,44.3,13171.21,8171.21,163.42,4287.31,32.31,1.91,3.1,AVNS,16,5,16,21,26,2.2,0.5,9.7
18,0,66.7,44.3,13171.21,8171.21,163.42,4287.31,32.31,1.91,3.1,AVNS,16,5,16,21,26,2.2,0.6,9.7
16,1,75.0,47.9,10350.66,5350.66,107.01,3986.37,32.31,1.34,1.4,AVNS,16,5,16,21,26,2.3,0.2,7.2
15,0,73.3,52.1,10013.28,5013.28,100.27,3856.44,32.31,1.3,1.3,AVNS,16,5,16,21,26,2.3,0.3,6.9
15,0,73.3,52.1,10013.28,5013.28,100.27,3856.44,32.31,1.3,1.3,AVNS,16,5,16,21,26,2.3,0.4,6.9
15,0,73.3,52.1,10013.28,5013.28,100.27,3856.44,32.31,1.3,1.3,AVNS,16,5,16,21,26,2.3,0.5,6.9
15,0,73.3,52.1,10013.28,5013.28,100.27,3856.44,32.31,1.3,1.3,AVNS,16,5,16,21,26,2.3,0.6,6.9
15,2,66.7,55.8,8127.58,3127.58,62.55,3130.19,32.31,1.0,0.6,AVNS,16,5,16,21,26,2.4,0.2,4.8
15,0,66.7,59.1,9912.66,4912.66,98.25,3817.69,32.31,1.29,1.3,AVNS,16,5,16,21,26,2.4,0.3,6.8
15,0,66.7,59.1,9912.66,4912.66,98.25,3817.69,32.31,1.29,1.3,AVNS,16,5,16,21,26,2.4,0.4,6.8
15,0,66.7,59.1,9912.66,4912.66,98.25,3817.69,32.31,1.29,1.3,AVNS,16,5,16,21,26,2.4,0.5,6.8
15,0,66.7,59.1,9912.66,4912.66,98.25,3817.69,32.31,1.29,1.3,AVNS,16,5,16,21,26,2.4,0.6,6.8
14,3,64.3,59.8,6492.73,1492.73,29.85,4396.52,40.37,0.34,0.1,AVNS,16,5,16,21,26,2.5,0.2,2.5
14,0,64.3,69.9,10172.99,5172.99,103.46,5556.94,40.37,0.93,1.0,AVNS,16,5,16,21,26,2.5,0.3,7.1
14,0,64.3,69.9,10172.99,5172.99,103.46,5556.94,40.37,0.93,1.0,AVNS,16,5,16,21,26,2.5,0.4,7.1
14,0,64.3,69.9,10172.99,5172.99,103.46,5556.94,40.37,0.93,1.0,AVNS,16,5,16,21,26,2.5,0.5,7.1
14,0,64.3,69.9,10172.99,5172.99,103.46,5556.94,40.37,0.93,1.0,AVNS,16,5,16,21,26,2.5,0.6,7.1
13,3,61.5,60.2,5791.61,791.61,15.83,3921.76,40.37,0.2,0.0,AVNS,16,5,16,21,26,2.6,0.2,1.4
13,0,61.5,72.2,10001.89,5001.89,100.04,5463.48,40.37,0.92,0.9,AVNS,16,5,16,21,26,2.6,0.3,6.9
13,0,61.5,72.2,10001.89,5001.89,100.04,5463.48,40.37,0.92,0.9,AVNS,16,5,16,21,26,2.6,0.4,6.9
13,0,61.5,72.2,10001.89,5001.89,100.04,5463.48,40.37,0.92,0.9,AVNS,16,5,16,21,26,2.6,0.5,6.9
13,0,61.5,72.2,10001.89,5001.89,100.04,5463.48,40.37,0.92,0.9,AVNS,16,5,16,21,26,2.6,0.6,6.9
11,4,54.5,77.0,3729.2,-1270.8,-25.42,3771.45,50.28,-0.34,0.1,AVNS,16,5,16,21,26,2.7,0.2,-2.8
11,0,54.5,92.8,6912.32,1912.32,38.25,3527.18,38.75,0.54,0.2,AVNS,16,5,16,21,26,2.7,0.3,3.2
11,0,54.5,92.8,6912.32,1912.32,38.25,3527.18,38.75,0.54,0.2,AVNS,16,5,16,21,26,2.7,0.4,3.2
11,0,54.5,92.8,6912.32,1912.32,38.25,3527.18,38.75,0.54,0.2,AVNS,16,5,16,21,26,2.7,0.5,3.2
11,0,54.5,92.8,6912.32,1912.32,38.25,3527.18,38.75,0.54,0.2,AVNS,16,5,16,21,26,2.7,0.6,3.2
9,3,55.6,100.0,10464.19,5464.19,109.28,2944.7,28.14,1.86,2.0,AVNS,16,5,16,21,26,2.8,0.2,7.3
8,1,62.5,118.6,12234.25,7234.25,144.68,2670.56,21.83,2.71,3.9,AVNS,16,5,16,21,26,2.8,0.3,9.0
8,0,62.5,120.1,14535.41,9535.41,190.71,2263.72,15.57,4.21,8.0,AVNS,16,5,16,21,26,2.8,0.4,10.8
8,0,62.5,120.1,14535.41,9535.41,190.71,2263.72,15.57,4.21,8.0,AVNS,16,5,16,21,26,2.8,0.5,10.8
8,0,62.5,120.1,14535.41,9535.41,190.71,2263.72,15.57,4.21,8.0,AVNS,16,5,16,21,26,2.8,0.6,10.8
9,3,55.6,113.9,11962.34,6962.34,139.25,3366.29,28.14,2.07,2.9,AVNS,16,5,16,21,26,2.9,0.2,8.7
8,1,62.5,134.2,13985.81,8985.81,179.72,3052.9,21.83,2.94,5.3,AVNS,16,5,16,21,26,2.9,0.3,10.4
8,1,62.5,147.8,12397.19,7397.19,147.94,3487.13,28.13,2.12,3.1,AVNS,16,5,16,21,26,2.9,0.4,9.1
8,0,62.5,150.0,14694.71,9694.71,193.89,3171.16,21.58,3.06,5.9,AVNS,16,5,16,21,26,2.9,0.5,10.9
8,0,62.5,150.0,14694.71,9694.71,193.89,3171.16,21.58,3.06,5.9,AVNS,16,5,16,21,26,2.9,0.6,10.9
9,3,55.6,110.1,12888.48,7888.48,157.77,3626.92,28.14,2.17,3.4,AVNS,16,5,16,21,26,3.0,0.2,9.5
