Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
44,5,65.9,21.3,10590.71,5590.71,111.81,16402.86,64.53,0.34,0.4,AVNW,16,5,16,21,26,1.5,0.2,7.5
42,3,66.7,22.4,11489.91,6489.91,129.8,17343.21,63.93,0.37,0.5,AVNW,16,5,16,21,26,1.5,0.3,8.3
41,2,68.3,23.0,12146.35,7146.35,142.93,16079.9,61.2,0.44,0.6,AVNW,16,5,16,21,26,1.5,0.4,8.9
39,0,66.7,24.2,12555.66,7555.66,151.11,16308.24,60.75,0.46,0.7,AVNW,16,5,16,21,26,1.5,0.5,9.2
39,0,66.7,24.2,12555.66,7555.66,151.11,16308.24,60.75,0.46,0.7,AVNW,16,5,16,21,26,1.5,0.6,9.2
43,5,69.8,20.9,11488.75,6488.75,129.77,17753.68,64.47,0.37,0.5,AVNW,16,5,16,21,26,1.6,0.2,8.3
41,3,73.2,22.0,12072.27,7072.27,141.45,18180.84,63.88,0.39,0.6,AVNW,16,5,16,21,26,1.6,0.3,8.8
40,2,72.5,22.5,13040.71,8040.71,160.81,17222.92,61.14,0.47,0.8,AVNW,16,5,16,21,26,1.6,0.4,9.6
38,0,71.1,23.8,13620.32,8620.32,172.41,17648.79,60.69,0.49,0.8,AVNW,16,5,16,21,26,1.6,0.5,10.1
38,0,71.1,23.8,13620.32,8620.32,172.41,17648.79,60.69,0.49,0.8,AVNW,16,5,16,21,26,1.6,0.6,10.1
42,5,69.0,21.5,12824.5,7824.5,156.49,18601.54,63.01,0.42,0.7,AVNW,16,5,16,21,26,1.7,0.2,9.5
40,3,72.5,22.6,13475.87,8475.87,169.52,19037.55,62.39,0.45,0.8,AVNW,16,5,16,21,26,1.7,0.3,10.0
38,2,71.1,23.4,12654.58,7654.58,153.09,16743.37,61.19,0.46,0.7,AVNW,16,5,16,21,26,1.7,0.4,9.3
37,0,70.3,24.5,15203.9,10203.9,204.08,18416.27,59.07,0.55,1.1,AVNW,16,5,16,21,26,1.7,0.5,11.3
37,0,70.3,24.5,15203.9,10203.9,204.08,18416.27,59.07,0.55,1.1,AVNW,16,5,16,21,26,1.7,0.6,11.3
37,5,70.3,21.5,21919.02,16919.02,338.38,12936.82,40.94,1.31,4.4,AVNW,16,5,16,21,26,1.8,0.2,15.2
36,3,72.2,23.2,15805.77,10805.77,216.12,14711.82,52.22,0.73,1.6,AVNW,16,5,16,21,26,1.8,0.3,11.7
34,2,70.6,24.2,14842.49,9842.49,196.85,11905.24,49.12,0.83,1.6,AVNW,16,5,16,21,26,1.8,0.4,11.0
33,0,69.7,25.4,17832.57,12832.57,256.65,14064.14,48.86,0.91,2.3,AVNW,16,5,16,21,26,1.8,0.5,13.0
33,0,69.7,25.4,17832.57,12832.57,256.65,14064.14,48.86,0.91,2.3,AVNW,16,5,16,21,26,1.8,0.6,13.0
36,5,75.0,21.3,25016.76,20016.76,400.34,14765.13,40.94,1.36,5.4,AVNW,16,5,16,21,26,1.9,0.2,16.7
36,3,77.8,23.3,26407.58,21407.58,428.15,23954.51,51.58,0.89,3.8,AVNW,16,5,16,21,26,1.9,0.3,17.3
34,2,76.5,24.3,20336.4,15336.4,306.73,15870.72,48.43,0.97,3.0,AVNW,16,5,16,21,26,1.9,0.4,14.4
33,0,75.8,25.5,26126.92,21126.92,422.54,20045.39,48.17,1.05,4.4,AVNW,16,5,16,21,26,1.9,0.5,17.2
33,0,75.8,25.5,26126.92,21126.92,422.54,20045.39,48.17,1.05,4.4,AVNW,16,5,16,21,26,1.9,0.6,17.2
34,5,76.5,20.9,26340.82,21340.82,426.82,15546.6,40.94,1.37,5.8,AVNW,16,5,16,21,26,2.0,0.2,17.3
34,3,79.4,23.1,27805.25,22805.25,456.1,25751.68,52.1,0.89,4.1,AVNW,16,5,16,21,26,2.0,0.3,17.9
