Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
53,13,64.2,16.5,30345.6,25345.6,506.91,24685.2,69.26,1.03,5.2,AXSM,16,5,16,21,26,1.5,0.2,18.9
45,5,66.7,20.3,16300.81,11300.81,226.02,13881.51,69.42,0.81,1.8,AXSM,16,5,16,21,26,1.5,0.3,12.0
43,2,65.1,21.7,20891.36,15891.36,317.83,17879.97,69.52,0.89,2.8,AXSM,16,5,16,21,26,1.5,0.4,14.7
42,2,64.3,21.7,13045.31,8045.31,160.91,17735.61,78.37,0.45,0.7,AXSM,16,5,16,21,26,1.5,0.5,9.6
41,1,63.4,22.5,14612.08,9612.08,192.24,21553.49,79.72,0.45,0.9,AXSM,16,5,16,21,26,1.5,0.6,10.8
48,13,64.6,17.1,7975.42,2975.42,59.51,6983.22,68.03,0.43,0.3,AXSM,16,5,16,21,26,1.6,0.2,4.6
41,5,68.3,21.5,15795.4,10795.4,215.91,15386.77,73.09,0.7,1.5,AXSM,16,5,16,21,26,1.6,0.3,11.7
41,2,68.3,22.1,29979.05,24979.05,499.58,23704.59,68.8,1.05,5.2,AXSM,16,5,16,21,26,1.6,0.4,18.8
40,2,67.5,22.1,18719.99,13719.99,274.4,22401.04,76.94,0.61,1.7,AXSM,16,5,16,21,26,1.6,0.5,13.5
39,1,66.7,22.9,20968.3,15968.3,319.37,28503.51,78.69,0.56,1.8,AXSM,16,5,16,21,26,1.6,0.6,14.8
43,13,58.1,19.6,3123.94,-1876.06,-37.52,6387.73,78.77,-0.29,0.1,AXSM,16,5,16,21,26,1.7,0.2,-4.4
37,5,67.6,24.4,11950.05,6950.05,139.0,12334.73,75.37,0.56,0.8,AXSM,16,5,16,21,26,1.7,0.3,8.7
37,2,67.6,25.1,22680.73,17680.73,353.61,19136.13,71.44,0.92,3.3,AXSM,16,5,16,21,26,1.7,0.4,15.6
36,2,66.7,25.2,14162.65,9162.65,183.25,22009.03,82.17,0.42,0.8,AXSM,16,5,16,21,26,1.7,0.5,10.5
35,1,65.7,26.2,15863.63,10863.63,217.27,21008.28,78.43,0.52,1.1,AXSM,16,5,16,21,26,1.7,0.6,11.7
39,13,53.8,20.6,2070.4,-2929.6,-58.59,5611.73,81.09,-0.52,0.3,AXSM,16,5,16,21,26,1.8,0.2,-8.1
34,5,64.7,25.8,10517.35,5517.35,110.35,11635.78,74.1,0.47,0.5,AXSM,16,5,16,21,26,1.8,0.3,7.4
