Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
48,3,72.9,18.0,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.5,0.2,
47,1,76.6,19.0,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.5,0.3,
47,1,76.6,19.0,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.5,0.4,
46,1,76.1,18.8,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.5,0.5,
46,0,76.1,19.4,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.5,0.6,
43,3,72.1,20.6,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.6,0.2,
42,1,76.2,21.7,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.6,0.3,
42,1,76.2,21.7,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.6,0.4,
41,1,75.6,21.6,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.6,0.5,
41,0,75.6,22.3,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.6,0.6,
39,3,76.9,23.1,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.7,0.2,
38,1,81.6,24.4,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.7,0.3,
38,1,81.6,24.3,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.7,0.4,
37,1,81.1,24.4,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.7,0.5,
37,0,81.1,25.1,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.7,0.6,
36,3,80.6,24.4,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.8,0.2,
35,1,85.7,25.9,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.8,0.3,
35,1,85.7,25.9,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.8,0.4,
34,1,85.3,25.9,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.8,0.5,
34,0,85.3,26.7,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.8,0.6,
34,2,82.4,26.2,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.9,0.2,
33,1,84.8,27.0,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.9,0.3,
33,1,84.8,27.0,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.9,0.4,
32,1,84.4,27.1,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.9,0.5,
32,0,84.4,27.9,,,,,0.0,999.0,,BATRK,16,5,16,21,26,1.9,0.6,
27,2,81.5,28.2,,,,,0.0,999.0,,BATRK,16,5,16,21,26,2.0,0.2,
27,1,85.2,29.1,,,,,0.0,999.0,,BATRK,16,5,16,21,26,2.0,0.3,
