Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
40,5,67.5,24.1,3628.03,-1371.97,-27.44,3969.17,55.78,-0.35,0.1,BCBP,16,5,16,21,26,1.5,0.2,-3.0
37,2,64.9,26.6,3814.29,-1185.71,-23.71,4106.98,55.39,-0.29,0.1,BCBP,16,5,16,21,26,1.5,0.3,-2.6
36,1,66.7,27.4,3539.3,-1460.7,-29.21,3851.13,55.65,-0.38,0.1,BCBP,16,5,16,21,26,1.5,0.4,-3.3
35,0,65.7,28.2,3477.21,-1522.79,-30.46,3904.99,56.42,-0.39,0.1,BCBP,16,5,16,21,26,1.5,0.5,-3.4
35,0,65.7,28.2,3477.21,-1522.79,-30.46,3904.99,56.42,-0.39,0.1,BCBP,16,5,16,21,26,1.5,0.6,-3.4
38,6,68.4,25.6,3088.28,-1911.72,-38.23,4345.19,61.86,-0.44,0.2,BCBP,16,5,16,21,26,1.6,0.2,-4.5
35,3,71.4,28.4,3214.22,-1785.78,-35.72,4531.45,61.91,-0.39,0.1,BCBP,16,5,16,21,26,1.6,0.3,-4.2
33,1,69.7,30.3,2882.37,-2117.63,-42.35,4331.32,63.4,-0.49,0.2,BCBP,16,5,16,21,26,1.6,0.4,-5.2
32,0,68.8,31.3,2831.8,-2168.2,-43.36,4375.18,64.05,-0.5,0.2,BCBP,16,5,16,21,26,1.6,0.5,-5.3
32,0,68.8,31.3,2831.8,-2168.2,-43.36,4375.18,64.05,-0.5,0.2,BCBP,16,5,16,21,26,1.6,0.6,-5.3
33,5,69.7,30.2,3236.26,-1763.74,-35.27,3737.54,58.15,-0.47,0.2,BCBP,16,5,16,21,26,1.7,0.2,-4.1
31,3,74.2,32.3,3396.36,-1603.64,-32.07,3874.88,57.85,-0.41,0.1,BCBP,16,5,16,21,26,1.7,0.3,-3.6
29,1,72.4,34.3,2951.24,-2048.76,-40.98,3933.94,61.6,-0.52,0.2,BCBP,16,5,16,21,26,1.7,0.4,-4.9
28,0,71.4,36.2,2699.43,-2300.57,-46.01,4143.22,64.87,-0.56,0.3,BCBP,16,5,16,21,26,1.7,0.5,-5.7
28,0,71.4,36.2,2699.43,-2300.57,-46.01,4143.22,64.87,-0.56,0.3,BCBP,16,5,16,21,26,1.7,0.6,-5.7
27,5,63.0,34.2,2450.03,-2549.97,-51.0,3811.79,66.89,-0.67,0.3,BCBP,16,5,16,21,26,1.8,0.2,-6.6
25,3,68.0,36.4,2719.72,-2280.28,-45.61,3604.1,63.25,-0.63,0.3,BCBP,16,5,16,21,26,1.8,0.3,-5.7
23,1,65.2,40.2,2161.64,-2838.36,-56.77,4033.89,70.79,-0.7,0.4,BCBP,16,5,16,21,26,1.8,0.4,-7.7
23,0,65.2,41.4,2243.97,-2756.03,-55.12,3970.49,69.68,-0.69,0.4,BCBP,16,5,16,21,26,1.8,0.5,-7.4
23,0,65.2,41.4,2243.97,-2756.03,-55.12,3970.49,69.68,-0.69,0.4,BCBP,16,5,16,21,26,1.8,0.6,-7.4
26,5,61.5,35.5,2802.97,-2197.03,-43.94,3572.33,62.33,-0.62,0.3,BCBP,16,5,16,21,26,1.9,0.2,-5.4
24,3,66.7,38.0,2774.89,-2225.11,-44.5,3561.62,62.5,-0.62,0.3,BCBP,16,5,16,21,26,1.9,0.3,-5.5
