Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
49,7,71.4,20.6,3452.63,-1547.37,-30.95,6411.64,68.56,-0.24,0.1,BDN,16,5,16,21,26,1.5,0.2,-3.5
45,4,71.1,21.8,2264.06,-2735.94,-54.72,4719.9,71.0,-0.58,0.3,BDN,16,5,16,21,26,1.5,0.3,-7.3
43,2,74.4,23.4,3141.61,-1858.39,-37.17,7659.86,74.11,-0.24,0.1,BDN,16,5,16,21,26,1.5,0.4,-4.4
42,0,73.8,24.2,3474.86,-1525.14,-30.5,7205.51,70.89,-0.21,0.1,BDN,16,5,16,21,26,1.5,0.5,-3.4
42,0,73.8,24.2,3474.86,-1525.14,-30.5,7205.51,70.89,-0.21,0.1,BDN,16,5,16,21,26,1.5,0.6,-3.4
44,6,68.2,23.6,3358.38,-1641.62,-32.83,6247.77,68.67,-0.26,0.1,BDN,16,5,16,21,26,1.6,0.2,-3.7
41,3,68.3,24.9,3110.92,-1889.08,-37.78,6486.34,71.07,-0.29,0.1,BDN,16,5,16,21,26,1.6,0.3,-4.5
39,1,69.2,26.8,2920.94,-2079.06,-41.58,6066.72,70.99,-0.34,0.1,BDN,16,5,16,21,26,1.6,0.4,-5.0
38,0,68.4,27.5,2872.74,-2127.26,-42.55,5966.6,70.99,-0.36,0.2,BDN,16,5,16,21,26,1.6,0.5,-5.2
38,0,68.4,27.5,2872.74,-2127.26,-42.55,5966.6,70.99,-0.36,0.2,BDN,16,5,16,21,26,1.6,0.6,-5.2
39,5,66.7,26.6,3216.64,-1783.36,-35.67,6311.93,69.33,-0.28,0.1,BDN,16,5,16,21,26,1.7,0.2,-4.1
37,3,67.6,27.6,2807.26,-2192.74,-43.85,6388.77,72.39,-0.34,0.1,BDN,16,5,16,21,26,1.7,0.3,-5.4
