Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
39,1,87.2,17.3,16117.77,11117.77,222.36,2203.77,13.48,5.04,11.2,BFC,16,5,16,21,26,1.5,0.2,11.9
39,1,87.2,17.3,13017.61,8017.61,160.35,2140.99,16.22,3.74,6.0,BFC,16,5,16,21,26,1.5,0.3,9.6
38,0,86.8,17.8,13849.68,8849.68,176.99,2140.99,15.24,4.13,7.3,BFC,16,5,16,21,26,1.5,0.4,10.3
38,0,86.8,17.8,13849.68,8849.68,176.99,2140.99,15.24,4.13,7.3,BFC,16,5,16,21,26,1.5,0.5,10.3
38,0,86.8,17.8,13849.68,8849.68,176.99,2140.99,15.24,4.13,7.3,BFC,16,5,16,21,26,1.5,0.6,10.3
35,1,85.7,18.9,14888.63,9888.63,197.77,2154.94,14.27,4.59,9.1,BFC,16,5,16,21,26,1.6,0.2,11.0
35,1,85.7,18.9,12024.89,7024.89,140.5,2269.6,18.61,3.1,4.4,BFC,16,5,16,21,26,1.6,0.3,8.8
34,0,85.3,19.5,12793.51,7793.51,155.87,2269.6,17.49,3.43,5.3,BFC,16,5,16,21,26,1.6,0.4,9.4
34,0,85.3,19.5,12793.51,7793.51,155.87,2269.6,17.49,3.43,5.3,BFC,16,5,16,21,26,1.6,0.5,9.4
34,0,85.3,19.5,12793.51,7793.51,155.87,2269.6,17.49,3.43,5.3,BFC,16,5,16,21,26,1.6,0.6,9.4
31,1,83.9,21.9,13114.67,8114.67,162.29,2229.28,16.89,3.64,5.9,BFC,16,5,16,21,26,1.7,0.2,9.7
30,1,83.3,22.2,8496.45,3496.45,69.93,2495.02,29.17,1.4,1.0,BFC,16,5,16,21,26,1.7,0.3,5.2
30,0,83.3,22.7,11269.18,6269.18,125.38,2269.6,20.01,2.76,3.5,BFC,16,5,16,21,26,1.7,0.4,8.1
30,0,83.3,22.7,11269.18,6269.18,125.38,2269.6,20.01,2.76,3.5,BFC,16,5,16,21,26,1.7,0.5,8.1
30,0,83.3,22.7,11269.18,6269.18,125.38,2269.6,20.01,2.76,3.5,BFC,16,5,16,21,26,1.7,0.6,8.1
28,1,82.1,22.6,9352.07,4352.07,87.04,2676.84,28.44,1.63,1.4,BFC,16,5,16,21,26,1.8,0.2,6.2
28,1,82.1,22.6,9352.07,4352.07,87.04,2676.84,28.44,1.63,1.4,BFC,16,5,16,21,26,1.8,0.3,6.2
28,0,82.1,23.2,12404.03,7404.03,148.08,2451.37,19.63,3.02,4.5,BFC,16,5,16,21,26,1.8,0.4,9.1
28,0,82.1,23.2,12404.03,7404.03,148.08,2451.37,19.63,3.02,4.5,BFC,16,5,16,21,26,1.8,0.5,9.1
28,0,82.1,23.2,12404.03,7404.03,148.08,2451.37,19.63,3.02,4.5,BFC,16,5,16,21,26,1.8,0.6,9.1
24,1,79.2,22.2,7928.47,2928.47,58.57,2676.84,33.76,1.09,0.6,BFC,16,5,16,21,26,1.9,0.2,4.5
24,1,79.2,22.2,7928.47,2928.47,58.57,2676.84,33.76,1.09,0.6,BFC,16,5,16,21,26,1.9,0.3,4.5
24,0,79.2,24.1,10091.36,5091.36,101.83,2451.37,24.29,2.08,2.1,BFC,16,5,16,21,26,1.9,0.4,7.0
24,0,79.2,24.1,10091.36,5091.36,101.83,2451.37,24.29,2.08,2.1,BFC,16,5,16,21,26,1.9,0.5,7.0
24,0,79.2,24.1,10091.36,5091.36,101.83,2451.37,24.29,2.08,2.1,BFC,16,5,16,21,26,1.9,0.6,7.0
21,1,81.0,24.5,8092.48,3092.48,61.85,2491.28,30.79,1.24,0.8,BFC,16,5,16,21,26,2.0,0.2,4.7
21,1,81.0,24.5,8092.48,3092.48,61.85,2491.28,30.79,1.24,0.8,BFC,16,5,16,21,26,2.0,0.3,4.7
21,0,81.0,26.6,10300.11,5300.11,106.0,2281.44,22.15,2.32,2.5,BFC,16,5,16,21,26,2.0,0.4,7.2
21,0,81.0,26.6,10300.11,5300.11,106.0,2281.44,22.15,2.32,2.5,BFC,16,5,16,21,26,2.0,0.5,7.2
21,0,81.0,26.6,10300.11,5300.11,106.0,2281.44,22.15,2.32,2.5,BFC,16,5,16,21,26,2.0,0.6,7.2
20,1,80.0,26.2,8040.12,3040.12,60.8,2491.28,30.99,1.22,0.7,BFC,16,5,16,21,26,2.1,0.2,4.7
20,1,80.0,26.2,8040.12,3040.12,60.8,2491.28,30.99,1.22,0.7,BFC,16,5,16,21,26,2.1,0.3,4.7
20,0,80.0,28.4,10233.46,5233.46,104.67,2281.44,22.29,2.29,2.4,BFC,16,5,16,21,26,2.1,0.4,7.1
20,0,80.0,28.4,10233.46,5233.46,104.67,2281.44,22.29,2.29,2.4,BFC,16,5,16,21,26,2.1,0.5,7.1
20,0,80.0,28.4,10233.46,5233.46,104.67,2281.44,22.29,2.29,2.4,BFC,16,5,16,21,26,2.1,0.6,7.1
17,1,76.5,27.0,7895.74,2895.74,57.91,2442.13,30.93,1.19,0.7,BFC,16,5,16,21,26,2.2,0.2,4.5
17,1,76.5,27.0,7895.74,2895.74,57.91,2442.13,30.93,1.19,0.7,BFC,16,5,16,21,26,2.2,0.3,4.5
17,0,76.5,29.6,10049.69,5049.69,100.99,2226.44,22.15,2.27,2.3,BFC,16,5,16,21,26,2.2,0.4,6.9
17,0,76.5,29.6,10049.69,5049.69,100.99,2226.44,22.15,2.27,2.3,BFC,16,5,16,21,26,2.2,0.5,6.9
17,0,76.5,29.6,10049.69,5049.69,100.99,2226.44,22.15,2.27,2.3,BFC,16,5,16,21,26,2.2,0.6,6.9
15,1,73.3,31.7,6161.21,1161.21,23.22,2442.13,38.6,0.48,0.1,BFC,16,5,16,21,26,2.3,0.2,2.0
15,1,73.3,31.7,6161.21,1161.21,23.22,2442.13,38.6,0.48,0.1,BFC,16,5,16,21,26,2.3,0.3,2.0
15,0,73.3,34.6,7841.99,2841.99,56.84,2226.44,28.39,1.28,0.7,BFC,16,5,16,21,26,2.3,0.4,4.4
15,0,73.3,34.6,7841.99,2841.99,56.84,2226.44,28.39,1.28,0.7,BFC,16,5,16,21,26,2.3,0.5,4.4
15,0,73.3,34.6,7841.99,2841.99,56.84,2226.44,28.39,1.28,0.7,BFC,16,5,16,21,26,2.3,0.6,4.4
11,1,81.8,31.2,6303.54,1303.54,26.07,2370.32,35.98,0.55,0.1,BFC,16,5,16,21,26,2.4,0.2,2.2
11,1,81.8,31.2,6303.54,1303.54,26.07,2370.32,35.98,0.55,0.1,BFC,16,5,16,21,26,2.4,0.3,2.2
11,0,81.8,35.2,8023.14,3023.14,60.46,2318.44,28.9,1.3,0.8,BFC,16,5,16,21,26,2.4,0.4,4.6
11,0,81.8,35.2,8023.14,3023.14,60.46,2318.44,28.9,1.3,0.8,BFC,16,5,16,21,26,2.4,0.5,4.6
11,0,81.8,35.2,8023.14,3023.14,60.46,2318.44,28.9,1.3,0.8,BFC,16,5,16,21,26,2.4,0.6,4.6
10,1,90.0,30.3,6488.8,1488.8,29.78,2383.2,35.98,0.62,0.2,BFC,16,5,16,21,26,2.5,0.2,2.5
10,1,90.0,30.3,6488.8,1488.8,29.78,2383.2,35.98,0.62,0.2,BFC,16,5,16,21,26,2.5,0.3,2.5
10,0,90.0,34.7,8258.94,3258.94,65.18,2331.04,28.22,1.4,0.9,BFC,16,5,16,21,26,2.5,0.4,4.9
10,0,90.0,34.7,8258.94,3258.94,65.18,2331.04,28.22,1.4,0.9,BFC,16,5,16,21,26,2.5,0.5,4.9
10,0,90.0,34.7,8258.94,3258.94,65.18,2331.04,28.22,1.4,0.9,BFC,16,5,16,21,26,2.5,0.6,4.9
8,1,87.5,40.6,6196.48,1196.48,23.93,2255.27,35.98,0.53,0.1,BFC,16,5,16,21,26,2.6,0.2,2.1
8,1,87.5,40.6,6196.48,1196.48,23.93,2255.27,35.98,0.53,0.1,BFC,16,5,16,21,26,2.6,0.3,2.1
8,0,87.5,46.1,7886.87,2886.87,57.74,2205.91,27.97,1.31,0.8,BFC,16,5,16,21,26,2.6,0.4,4.5
8,0,87.5,46.1,7886.87,2886.87,57.74,2205.91,27.97,1.31,0.8,BFC,16,5,16,21,26,2.6,0.5,4.5
8,0,87.5,46.1,7886.87,2886.87,57.74,2205.91,27.97,1.31,0.8,BFC,16,5,16,21,26,2.6,0.6,4.5
5,1,80.0,51.2,4805.7,-194.3,-3.89,2122.46,35.98,-0.09,0.0,BFC,16,5,16,21,26,2.7,0.2,-0.4
5,1,80.0,51.2,4805.7,-194.3,-3.89,2122.46,35.98,-0.09,0.0,BFC,16,5,16,21,26,2.7,0.3,-0.4
4,0,100.0,97.0,6163.84,1163.84,23.28,2076.0,33.68,0.56,0.1,BFC,16,5,16,21,26,2.7,0.4,2.0
4,0,100.0,97.0,6163.84,1163.84,23.28,2076.0,33.68,0.56,0.1,BFC,16,5,16,21,26,2.7,0.5,2.0
4,0,100.0,97.0,6163.84,1163.84,23.28,2076.0,33.68,0.56,0.1,BFC,16,5,16,21,26,2.7,0.6,2.0
5,1,80.0,51.2,4805.7,-194.3,-3.89,2122.46,35.98,-0.09,0.0,BFC,16,5,16,21,26,2.8,0.2,-0.4
5,1,80.0,51.2,4805.7,-194.3,-3.89,2122.46,35.98,-0.09,0.0,BFC,16,5,16,21,26,2.8,0.3,-0.4
4,0,100.0,97.0,6163.84,1163.84,23.28,2076.0,33.68,0.56,0.1,BFC,16,5,16,21,26,2.8,0.4,2.0
4,0,100.0,97.0,6163.84,1163.84,23.28,2076.0,33.68,0.56,0.1,BFC,16,5,16,21,26,2.8,0.5,2.0
4,0,100.0,97.0,6163.84,1163.84,23.28,2076.0,33.68,0.56,0.1,BFC,16,5,16,21,26,2.8,0.6,2.0
3,1,66.7,67.0,3768.75,-1231.25,-24.62,1886.39,35.19,-0.65,0.2,BFC,16,5,16,21,26,2.9,0.2,-2.7
3,1,66.7,67.0,3768.75,-1231.25,-24.62,1886.39,35.19,-0.65,0.2,BFC,16,5,16,21,26,2.9,0.3,-2.7
3,0,100.0,123.0,5600.88,600.88,12.02,1886.39,33.68,0.32,0.0,BFC,16,5,16,21,26,2.9,0.4,1.1
3,0,100.0,123.0,5600.88,600.88,12.02,1886.39,33.68,0.32,0.0,BFC,16,5,16,21,26,2.9,0.5,1.1
3,0,100.0,123.0,5600.88,600.88,12.02,1886.39,33.68,0.32,0.0,BFC,16,5,16,21,26,2.9,0.6,1.1
3,1,66.7,47.0,4174.94,-825.06,-16.5,1537.59,28.55,-0.54,0.1,BFC,16,5,16,21,26,3.0,0.2,-1.7
3,0,100.0,103.0,6204.52,1204.52,24.09,1537.59,24.78,0.78,0.2,BFC,16,5,16,21,26,3.0,0.3,2.1
3,0,100.0,103.0,6204.52,1204.52,24.09,1537.59,24.78,0.78,0.2,BFC,16,5,16,21,26,3.0,0.4,2.1
3,0,100.0,103.0,6204.52,1204.52,24.09,1537.59,24.78,0.78,0.2,BFC,16,5,16,21,26,3.0,0.5,2.1
3,0,100.0,103.0,6204.52,1204.52,24.09,1537.59,24.78,0.78,0.2,BFC,16,5,16,21,26,3.0,0.6,2.1
37,1,86.5,15.4,18342.91,13342.91,266.86,2308.85,12.5,5.78,15.4,BFC,16,8,16,24,32,1.5,0.2,13.3
37,1,86.5,15.4,14814.76,9814.76,196.3,2170.23,14.55,4.52,8.9,BFC,16,8,16,24,32,1.5,0.3,11.0
36,0,86.1,15.9,15761.7,10761.7,215.23,2170.23,13.68,4.96,10.7,BFC,16,8,16,24,32,1.5,0.4,11.7
36,0,86.1,15.9,15761.7,10761.7,215.23,2170.23,13.68,4.96,10.7,BFC,16,8,16,24,32,1.5,0.5,11.7
36,0,86.1,15.9,15761.7,10761.7,215.23,2170.23,13.68,4.96,10.7,BFC,16,8,16,24,32,1.5,0.6,11.7
30,1,83.3,18.3,12157.94,7157.94,143.16,1753.8,14.33,4.08,5.8,BFC,16,8,16,24,32,1.6,0.2,8.9
30,1,83.3,18.3,9819.43,4819.43,96.39,2136.45,21.62,2.26,2.2,BFC,16,8,16,24,32,1.6,0.3,6.7
