Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
50,6,68.0,20.8,10484.91,5484.91,109.7,4818.69,33.74,1.14,1.3,BRSL,16,5,16,21,26,1.5,0.2,7.4
46,3,67.4,22.9,8130.6,3130.6,62.61,3914.74,35.34,0.8,0.5,BRSL,16,5,16,21,26,1.5,0.3,4.8
45,1,68.9,23.4,9507.95,4507.95,90.16,4753.7,36.7,0.95,0.9,BRSL,16,5,16,21,26,1.5,0.4,6.4
45,1,68.9,23.4,9507.95,4507.95,90.16,4753.7,36.7,0.95,0.9,BRSL,16,5,16,21,26,1.5,0.5,6.4
45,1,68.9,23.6,8690.54,3690.54,73.81,5065.37,42.78,0.73,0.5,BRSL,16,5,16,21,26,1.5,0.6,5.5
46,6,69.6,22.6,9973.13,4973.13,99.46,4832.43,35.57,1.03,1.0,BRSL,16,5,16,21,26,1.6,0.2,6.9
41,2,68.3,24.9,5287.34,287.34,5.75,5676.12,65.73,0.05,0.0,BRSL,16,5,16,21,26,1.6,0.3,0.5
41,1,70.7,25.4,9195.21,4195.21,83.9,4899.07,39.11,0.86,0.7,BRSL,16,5,16,21,26,1.6,0.4,6.0
41,1,70.7,25.4,9195.21,4195.21,83.9,4899.07,39.11,0.86,0.7,BRSL,16,5,16,21,26,1.6,0.5,6.0
41,1,70.7,25.6,8404.69,3404.69,68.09,5220.27,45.59,0.65,0.4,BRSL,16,5,16,21,26,1.6,0.6,5.1
40,7,67.5,26.1,4452.29,-547.71,-10.95,5253.43,65.87,-0.1,0.0,BRSL,16,5,16,21,26,1.7,0.2,-1.1
36,3,69.4,29.8,4385.66,-614.34,-12.29,5063.35,65.73,-0.12,0.0,BRSL,16,5,16,21,26,1.7,0.3,-1.3
34,2,70.6,31.4,3268.71,-1731.29,-34.63,4821.59,71.02,-0.36,0.1,BRSL,16,5,16,21,26,1.7,0.4,-4.0
34,1,70.6,31.4,3904.35,-1095.65,-21.91,5016.23,68.1,-0.22,0.0,BRSL,16,5,16,21,26,1.7,0.5,-2.3
34,1,70.6,31.6,3568.68,-1431.32,-28.63,5218.25,70.84,-0.27,0.1,BRSL,16,5,16,21,26,1.7,0.6,-3.2
38,8,63.2,26.7,3403.81,-1596.19,-31.92,6076.72,75.21,-0.26,0.1,BRSL,16,5,16,21,26,1.8,0.2,-3.6
34,3,67.6,30.7,5081.02,81.02,1.62,5468.31,66.83,0.01,0.0,BRSL,16,5,16,21,26,1.8,0.3,0.2
33,1,69.7,32.7,8833.1,3833.1,76.66,4701.65,37.4,0.82,0.6,BRSL,16,5,16,21,26,1.8,0.4,5.6
32,1,68.8,32.6,4177.69,-822.31,-16.45,5593.0,71.48,-0.15,0.0,BRSL,16,5,16,21,26,1.8,0.5,-1.7
32,1,68.8,32.6,4177.69,-822.31,-16.45,5593.0,71.48,-0.15,0.0,BRSL,16,5,16,21,26,1.8,0.6,-1.7
36,8,61.1,27.6,4793.21,-206.79,-4.14,5482.48,61.82,-0.04,0.0,BRSL,16,5,16,21,26,1.9,0.2,-0.4
32,3,62.5,32.1,6011.12,1011.12,20.22,5390.7,60.03,0.19,0.0,BRSL,16,5,16,21,26,1.9,0.3,1.8
31,1,64.5,34.2,10450.03,5450.03,109.0,5160.04,37.8,1.06,1.2,BRSL,16,5,16,21,26,1.9,0.4,7.3
30,1,63.3,34.2,4942.43,-57.57,-1.15,5636.13,65.64,-0.01,0.0,BRSL,16,5,16,21,26,1.9,0.5,-0.1
30,1,63.3,34.2,4942.43,-57.57,-1.15,5636.13,65.64,-0.01,0.0,BRSL,16,5,16,21,26,1.9,0.6,-0.1
34,9,58.8,29.6,5115.5,115.5,2.31,5777.23,65.49,0.02,0.0,BRSL,16,5,16,21,26,2.0,0.2,0.2
30,3,60.0,34.8,7846.18,2846.18,56.92,5362.78,49.59,0.53,0.3,BRSL,16,5,16,21,26,2.0,0.3,4.4
29,1,62.1,37.2,13640.18,8640.18,172.8,6484.83,34.5,1.33,2.3,BRSL,16,5,16,21,26,2.0,0.4,10.1
28,1,60.7,37.2,6451.24,1451.24,29.02,5606.94,63.06,0.26,0.1,BRSL,16,5,16,21,26,2.0,0.5,2.5
28,1,60.7,37.2,6451.24,1451.24,29.02,5606.94,63.06,0.26,0.1,BRSL,16,5,16,21,26,2.0,0.6,2.5
30,9,56.7,29.7,3542.54,-1457.46,-29.15,5321.93,66.49,-0.27,0.1,BRSL,16,5,16,21,26,2.1,0.2,-3.3
25,2,52.0,37.6,5269.99,269.99,5.4,4719.31,60.03,0.06,0.0,BRSL,16,5,16,21,26,2.1,0.3,0.5
25,1,56.0,38.9,9580.52,4580.52,91.61,4723.93,38.16,0.97,0.9,BRSL,16,5,16,21,26,2.1,0.4,6.4
24,1,54.2,39.0,4531.19,-468.81,-9.38,5159.78,65.64,-0.09,0.0,BRSL,16,5,16,21,26,2.1,0.5,-0.9
24,1,54.2,39.0,4531.19,-468.81,-9.38,5159.78,65.64,-0.09,0.0,BRSL,16,5,16,21,26,2.1,0.6,-0.9
26,8,57.7,35.1,3374.63,-1625.37,-32.51,4149.38,61.82,-0.39,0.1,BRSL,16,5,16,21,26,2.2,0.2,-3.7
23,3,60.9,45.0,4516.2,-483.8,-9.68,4213.39,60.03,-0.11,0.0,BRSL,16,5,16,21,26,2.2,0.3,-1.0
22,1,68.2,43.0,8796.27,3796.27,75.93,4647.95,36.92,0.82,0.6,BRSL,16,5,16,21,26,2.2,0.4,5.6
21,1,66.7,43.4,4160.27,-839.73,-16.79,4606.65,65.64,-0.18,0.0,BRSL,16,5,16,21,26,2.2,0.5,-1.7
21,1,66.7,43.4,4160.27,-839.73,-16.79,4606.65,65.64,-0.18,0.0,BRSL,16,5,16,21,26,2.2,0.6,-1.7
18,6,50.0,49.1,4987.23,-12.77,-0.26,3361.18,42.74,-0.0,0.0,BRSL,16,5,16,21,26,2.3,0.2,-0.0
16,2,50.0,63.2,5239.71,239.71,4.79,2605.9,33.33,0.09,0.0,BRSL,16,5,16,21,26,2.3,0.3,0.5
15,1,53.3,59.7,3377.91,-1622.09,-32.44,3666.46,69.59,-0.44,0.1,BRSL,16,5,16,21,26,2.3,0.4,-3.7
15,1,53.3,59.7,3377.91,-1622.09,-32.44,3666.46,69.59,-0.44,0.1,BRSL,16,5,16,21,26,2.3,0.5,-3.7
15,1,53.3,60.1,3087.51,-1912.49,-38.25,3804.22,72.2,-0.5,0.2,BRSL,16,5,16,21,26,2.3,0.6,-4.5
16,6,43.8,52.9,4686.72,-313.28,-6.27,2762.81,39.5,-0.11,0.0,BRSL,16,5,16,21,26,2.4,0.2,-0.6
14,2,42.9,69.6,4923.98,-76.02,-1.52,2953.62,38.03,-0.03,0.0,BRSL,16,5,16,21,26,2.4,0.3,-0.1
13,1,46.2,65.9,3174.38,-1825.62,-36.51,3875.69,73.56,-0.47,0.2,BRSL,16,5,16,21,26,2.4,0.4,-4.3
13,1,46.2,65.9,3174.38,-1825.62,-36.51,3875.69,73.56,-0.47,0.2,BRSL,16,5,16,21,26,2.4,0.5,-4.3
13,1,46.2,66.4,2901.47,-2098.53,-41.97,3995.46,75.83,-0.53,0.2,BRSL,16,5,16,21,26,2.4,0.6,-5.1
13,6,46.2,50.6,5442.71,442.71,8.85,2919.56,37.27,0.15,0.0,BRSL,16,5,16,21,26,2.5,0.2,0.8
12,2,41.7,71.4,5883.42,883.42,17.67,3330.14,36.14,0.27,0.0,BRSL,16,5,16,21,26,2.5,0.3,1.6
11,1,45.5,67.1,4106.77,-893.23,-17.86,3422.28,57.01,-0.26,0.0,BRSL,16,5,16,21,26,2.5,0.4,-1.9
11,1,45.5,67.1,4106.77,-893.23,-17.86,3422.28,57.01,-0.26,0.0,BRSL,16,5,16,21,26,2.5,0.5,-1.9
11,1,45.5,67.6,3753.7,-1246.3,-24.93,3581.02,65.27,-0.35,0.1,BRSL,16,5,16,21,26,2.5,0.6,-2.7
11,6,36.4,63.5,3179.81,-1820.19,-36.4,2398.23,45.52,-0.76,0.3,BRSL,16,5,16,21,26,2.6,0.2,-4.3
11,2,45.5,86.0,4494.42,-505.58,-10.11,2497.19,35.72,-0.2,0.0,BRSL,16,5,16,21,26,2.6,0.3,-1.0
10,1,50.0,82.6,3207.38,-1792.62,-35.85,3361.76,63.81,-0.53,0.2,BRSL,16,5,16,21,26,2.6,0.4,-4.2
10,1,50.0,82.6,3207.38,-1792.62,-35.85,3361.76,63.81,-0.53,0.2,BRSL,16,5,16,21,26,2.6,0.5,-4.2
10,1,50.0,83.2,2931.64,-2068.36,-41.37,3525.71,66.92,-0.59,0.2,BRSL,16,5,16,21,26,2.6,0.6,-5.0
10,5,40.0,72.6,3518.21,-1481.79,-29.64,2280.68,43.29,-0.65,0.2,BRSL,16,5,16,21,26,2.7,0.2,-3.3
10,2,50.0,91.9,4807.7,-192.3,-3.85,2369.16,33.07,-0.08,0.0,BRSL,16,5,16,21,26,2.7,0.3,-0.4
9,1,55.6,88.7,3469.75,-1530.25,-30.6,3379.63,64.14,-0.45,0.1,BRSL,16,5,16,21,26,2.7,0.4,-3.4
9,1,55.6,88.7,3469.75,-1530.25,-30.6,3379.63,64.14,-0.45,0.1,BRSL,16,5,16,21,26,2.7,0.5,-3.4
9,1,55.6,89.4,2428.24,-2571.76,-51.44,3946.69,74.91,-0.65,0.3,BRSL,16,5,16,21,26,2.7,0.6,-6.7
5,3,40.0,75.6,3205.0,-1795.0,-35.9,2375.49,45.09,-0.76,0.3,BRSL,16,5,16,21,26,2.8,0.2,-4.2
5,2,40.0,94.4,2870.29,-2129.71,-42.59,2677.64,50.82,-0.8,0.3,BRSL,16,5,16,21,26,2.8,0.3,-5.2
5,1,40.0,101.4,2114.76,-2885.24,-57.7,3444.42,65.37,-0.84,0.5,BRSL,16,5,16,21,26,2.8,0.4,-7.9
5,1,40.0,101.4,2114.76,-2885.24,-57.7,3444.42,65.37,-0.84,0.5,BRSL,16,5,16,21,26,2.8,0.5,-7.9
5,1,40.0,102.8,1479.98,-3520.02,-70.4,3992.03,75.77,-0.88,0.6,BRSL,16,5,16,21,26,2.8,0.6,-11.0
4,2,50.0,93.2,4281.38,-718.62,-14.37,2012.53,36.32,-0.36,0.1,BRSL,16,5,16,21,26,2.9,0.2,-1.5
4,1,50.0,116.2,4151.55,-848.45,-16.97,2266.95,37.69,-0.37,0.1,BRSL,16,5,16,21,26,2.9,0.3,-1.8
4,0,50.0,124.5,4694.84,-305.16,-6.1,1964.6,32.66,-0.16,0.0,BRSL,16,5,16,21,26,2.9,0.4,-0.6
4,0,50.0,124.5,4694.84,-305.16,-6.1,1964.6,32.66,-0.16,0.0,BRSL,16,5,16,21,26,2.9,0.5,-0.6
4,0,50.0,124.5,4694.84,-305.16,-6.1,1964.6,32.66,-0.16,0.0,BRSL,16,5,16,21,26,2.9,0.6,-0.6
3,2,33.3,109.0,3686.44,-1313.56,-26.27,2012.53,38.2,-0.65,0.2,BRSL,16,5,16,21,26,3.0,0.2,-2.9
3,0,33.3,152.3,4779.61,-220.39,-4.41,1811.59,32.66,-0.12,0.0,BRSL,16,5,16,21,26,3.0,0.3,-0.4
3,0,33.3,152.3,4779.61,-220.39,-4.41,1811.59,32.66,-0.12,0.0,BRSL,16,5,16,21,26,3.0,0.4,-0.4
3,0,33.3,152.3,4779.61,-220.39,-4.41,1811.59,32.66,-0.12,0.0,BRSL,16,5,16,21,26,3.0,0.5,-0.4
3,0,33.3,152.3,4779.61,-220.39,-4.41,1811.59,32.66,-0.12,0.0,BRSL,16,5,16,21,26,3.0,0.6,-0.4
3,2,33.3,109.0,3686.44,-1313.56,-26.27,2012.53,38.2,-0.65,0.2,BRSL,16,5,16,21,26,3.1,0.2,-2.9
3,0,33.3,154.3,5235.85,235.85,4.72,1984.52,32.66,0.12,0.0,BRSL,16,5,16,21,26,3.1,0.3,0.4
