Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
46,4,65.2,19.2,6165.41,1165.41,23.31,3880.44,60.39,0.3,0.1,CAKE,16,5,16,21,26,1.5,0.2,2.0
44,1,63.6,20.4,7630.36,2630.36,52.61,3503.54,45.92,0.75,0.4,CAKE,16,5,16,21,26,1.5,0.3,4.1
44,1,63.6,20.4,5940.02,940.02,18.8,4150.85,64.6,0.23,0.0,CAKE,16,5,16,21,26,1.5,0.4,1.7
44,1,65.9,20.4,5875.93,875.93,17.52,4175.39,64.98,0.21,0.0,CAKE,16,5,16,21,26,1.5,0.5,1.6
43,0,65.1,20.9,6501.4,1501.4,30.03,3935.87,60.54,0.38,0.1,CAKE,16,5,16,21,26,1.5,0.6,2.6
42,4,61.9,20.9,5855.21,855.21,17.1,3955.19,61.25,0.22,0.0,CAKE,16,5,16,21,26,1.6,0.2,1.5
41,2,63.4,21.7,7377.62,2377.62,47.55,3579.19,48.51,0.66,0.3,CAKE,16,5,16,21,26,1.6,0.3,3.8
40,1,62.5,22.3,5674.59,674.59,13.49,4243.49,65.72,0.16,0.0,CAKE,16,5,16,21,26,1.6,0.4,1.2
40,1,65.0,22.3,5613.36,613.36,12.27,4267.37,66.09,0.14,0.0,CAKE,16,5,16,21,26,1.6,0.5,1.1
39,0,64.1,22.9,6210.88,1210.88,24.22,4034.3,62.48,0.3,0.1,CAKE,16,5,16,21,26,1.6,0.6,2.1
38,4,65.8,22.9,5924.46,924.46,18.49,3761.82,56.9,0.25,0.0,CAKE,16,5,16,21,26,1.7,0.2,1.6
38,2,68.4,24.0,8510.2,3510.2,70.2,3566.86,41.91,0.98,0.7,CAKE,16,5,16,21,26,1.7,0.3,5.2
37,1,70.3,24.7,9100.53,4100.53,82.01,3355.7,36.87,1.22,1.0,CAKE,16,5,16,21,26,1.7,0.4,5.9
36,1,69.4,24.6,5679.75,679.75,13.59,4117.36,62.28,0.17,0.0,CAKE,16,5,16,21,26,1.7,0.5,1.2
36,0,69.4,25.4,7164.34,2164.34,43.29,4048.29,56.51,0.53,0.2,CAKE,16,5,16,21,26,1.7,0.6,3.5
34,4,61.8,25.0,5019.15,19.15,0.38,3503.77,54.51,0.01,0.0,CAKE,16,5,16,21,26,1.8,0.2,0.0
34,2,64.7,26.1,7595.44,2595.44,51.91,3645.97,48.0,0.71,0.4,CAKE,16,5,16,21,26,1.8,0.3,4.1
33,1,66.7,27.1,7888.79,2888.79,57.78,3246.5,41.15,0.89,0.5,CAKE,16,5,16,21,26,1.8,0.4,4.5
32,1,65.6,27.1,4923.48,-76.52,-1.53,3945.93,60.12,-0.02,0.0,CAKE,16,5,16,21,26,1.8,0.5,-0.1
32,0,65.6,28.0,6210.4,1210.4,24.21,3952.3,60.21,0.31,0.1,CAKE,16,5,16,21,26,1.8,0.6,2.1
29,4,58.6,27.1,4255.29,-744.71,-14.89,3423.33,54.51,-0.22,0.0,CAKE,16,5,16,21,26,1.9,0.2,-1.5
29,2,58.6,29.2,5565.17,565.17,11.3,3078.59,53.3,0.18,0.0,CAKE,16,5,16,21,26,1.9,0.3,1.0
28,1,60.7,30.4,5780.11,780.11,15.6,2909.49,50.34,0.27,0.0,CAKE,16,5,16,21,26,1.9,0.4,1.4
27,1,59.3,30.5,3607.43,-1392.57,-27.85,3500.07,61.29,-0.4,0.1,CAKE,16,5,16,21,26,1.9,0.5,-3.1
27,0,59.3,31.6,4550.36,-449.64,-8.99,3505.46,61.38,-0.13,0.0,CAKE,16,5,16,21,26,1.9,0.6,-0.9
25,3,56.0,30.0,4053.69,-946.31,-18.93,3426.53,57.88,-0.28,0.1,CAKE,16,5,16,21,26,2.0,0.2,-2.0
25,2,56.0,31.9,4839.87,-160.13,-3.2,3140.8,55.37,-0.05,0.0,CAKE,16,5,16,21,26,2.0,0.3,-0.3
25,1,60.0,33.2,5606.66,606.66,12.13,2895.22,49.68,0.21,0.0,CAKE,16,5,16,21,26,2.0,0.4,1.1
24,1,58.3,33.5,3499.18,-1500.82,-30.02,3675.4,63.07,-0.41,0.1,CAKE,16,5,16,21,26,2.0,0.5,-3.4
24,0,58.3,34.7,4413.81,-586.19,-11.72,3519.17,60.38,-0.17,0.0,CAKE,16,5,16,21,26,2.0,0.6,-1.2
21,3,57.1,33.8,4286.73,-713.27,-14.27,3385.78,57.85,-0.21,0.0,CAKE,16,5,16,21,26,2.1,0.2,-1.5
21,2,57.1,36.1,4360.85,-639.15,-12.78,3577.17,61.42,-0.18,0.0,CAKE,16,5,16,21,26,2.1,0.3,-1.3
21,1,61.9,37.7,5051.74,51.74,1.03,3221.19,55.31,0.02,0.0,CAKE,16,5,16,21,26,2.1,0.4,0.1
20,1,60.0,38.2,3152.85,-1847.15,-36.94,4009.61,68.85,-0.46,0.2,CAKE,16,5,16,21,26,2.1,0.5,-4.3
20,0,60.0,39.7,3976.96,-1023.04,-20.46,3774.97,64.82,-0.27,0.1,CAKE,16,5,16,21,26,2.1,0.6,-2.2
19,3,47.4,41.0,4600.52,-399.48,-7.99,3174.44,57.03,-0.13,0.0,CAKE,16,5,16,21,26,2.2,0.2,-0.8
19,2,52.6,43.6,5344.88,344.88,6.9,3614.41,64.93,0.1,0.0,CAKE,16,5,16,21,26,2.2,0.3,0.6
19,1,52.6,45.4,6191.68,1191.68,23.83,3305.09,53.38,0.36,0.1,CAKE,16,5,16,21,26,2.2,0.4,2.1
18,1,50.0,46.3,3383.64,-1616.36,-32.33,3807.23,68.39,-0.42,0.1,CAKE,16,5,16,21,26,2.2,0.5,-3.7
