Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
53,11,67.9,18.4,31634.39,26634.39,532.69,7611.64,23.15,3.5,18.6,CDE,16,5,16,21,26,1.5,0.2,19.4
51,3,70.6,20.6,64738.52,59738.52,1194.77,15576.91,23.15,3.84,45.9,CDE,16,5,16,21,26,1.5,0.3,27.9
49,1,69.4,21.6,59008.23,54008.23,1080.16,14198.13,23.15,3.8,41.0,CDE,16,5,16,21,26,1.5,0.4,26.7
49,1,69.4,21.6,53083.18,48083.18,961.66,12772.49,23.15,3.76,36.2,CDE,16,5,16,21,26,1.5,0.5,25.5
48,0,68.8,22.0,54534.68,49534.68,990.69,13121.74,23.15,3.78,37.4,CDE,16,5,16,21,26,1.5,0.6,25.8
52,10,71.2,18.5,39790.09,34790.09,695.8,9574.0,23.15,3.63,25.3,CDE,16,5,16,21,26,1.6,0.2,22.0
49,3,71.4,21.3,60280.05,55280.05,1105.6,14504.14,23.15,3.81,42.1,CDE,16,5,16,21,26,1.6,0.3,27.0
47,1,70.2,22.3,55647.72,50647.72,1012.95,13389.55,23.15,3.78,38.3,CDE,16,5,16,21,26,1.6,0.4,26.0
47,1,70.2,22.3,50060.1,45060.1,901.2,12045.1,23.15,3.74,33.7,CDE,16,5,16,21,26,1.6,0.5,24.8
46,0,69.6,22.8,51428.94,46428.94,928.58,12374.46,23.15,3.75,34.8,CDE,16,5,16,21,26,1.6,0.6,25.1
48,11,70.8,18.5,35618.7,30618.7,612.37,5198.95,14.6,5.89,36.1,CDE,16,5,16,21,26,1.7,0.2,20.7
43,3,69.8,23.1,42022.43,37022.43,740.45,6133.64,14.6,6.04,44.7,CDE,16,5,16,21,26,1.7,0.3,22.7
42,1,69.0,24.0,42475.21,37475.21,749.5,6199.73,14.6,6.04,45.3,CDE,16,5,16,21,26,1.7,0.4,22.8
42,1,69.0,24.0,38210.25,33210.25,664.2,5577.21,14.6,5.95,39.5,CDE,16,5,16,21,26,1.7,0.5,21.6
41,0,68.3,24.6,39255.06,34255.06,685.1,5729.72,14.6,5.98,41.0,CDE,16,5,16,21,26,1.7,0.6,21.9
