Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
55,15,63.6,16.1,3875.12,-1124.88,-22.5,7673.63,74.68,-0.15,0.0,CDXS,16,5,16,21,26,1.5,0.2,-2.4
46,10,60.9,18.9,1504.57,-3495.43,-69.91,9412.57,88.94,-0.37,0.3,CDXS,16,5,16,21,26,1.5,0.3,-10.9
43,5,62.8,20.7,1548.29,-3451.71,-69.03,9378.56,88.62,-0.37,0.3,CDXS,16,5,16,21,26,1.5,0.4,-10.6
41,1,61.0,22.8,2139.2,-2860.8,-57.22,8918.97,84.28,-0.32,0.2,CDXS,16,5,16,21,26,1.5,0.5,-7.8
40,0,60.0,23.4,2193.61,-2806.39,-56.13,8876.65,83.88,-0.32,0.2,CDXS,16,5,16,21,26,1.5,0.6,-7.6
49,13,69.4,16.6,3884.5,-1115.5,-22.31,8283.74,73.27,-0.13,0.0,CDXS,16,5,16,21,26,1.6,0.2,-2.4
42,9,69.0,18.9,2304.71,-2695.29,-53.91,10089.15,84.91,-0.27,0.1,CDXS,16,5,16,21,26,1.6,0.3,-7.2
40,5,70.0,21.0,1715.1,-3284.9,-65.7,9971.06,88.2,-0.33,0.2,CDXS,16,5,16,21,26,1.6,0.4,-9.8
38,1,68.4,23.8,2112.39,-2887.61,-57.75,9662.05,85.47,-0.3,0.2,CDXS,16,5,16,21,26,1.6,0.5,-7.9
37,0,67.6,24.4,2166.11,-2833.89,-56.68,9620.26,85.1,-0.29,0.2,CDXS,16,5,16,21,26,1.6,0.6,-7.7
45,11,71.1,17.2,7667.38,2667.38,53.35,10559.42,63.91,0.25,0.1,CDXS,16,5,16,21,26,1.7,0.2,4.2
41,8,70.7,19.1,3966.14,-1033.86,-20.68,10396.46,77.12,-0.1,0.0,CDXS,16,5,16,21,26,1.7,0.3,-2.2
38,4,68.4,21.9,2660.37,-2339.63,-46.79,11024.32,84.2,-0.21,0.1,CDXS,16,5,16,21,26,1.7,0.4,-5.9
36,0,66.7,24.8,3612.04,-1387.96,-27.76,10284.13,78.54,-0.13,0.0,CDXS,16,5,16,21,26,1.7,0.5,-3.1
36,0,66.7,24.8,3612.04,-1387.96,-27.76,10284.13,78.54,-0.13,0.0,CDXS,16,5,16,21,26,1.7,0.6,-3.1
40,10,70.0,17.8,8617.04,3617.04,72.34,13102.33,60.33,0.28,0.2,CDXS,16,5,16,21,26,1.8,0.2,5.4
37,8,67.6,19.7,3503.77,-1496.23,-29.92,10130.2,74.3,-0.15,0.0,CDXS,16,5,16,21,26,1.8,0.3,-3.4
35,4,68.6,22.4,4100.9,-899.1,-17.98,10690.81,81.98,-0.08,0.0,CDXS,16,5,16,21,26,1.8,0.4,-1.9
33,0,66.7,25.6,5567.89,567.89,11.36,9850.08,75.53,0.06,0.0,CDXS,16,5,16,21,26,1.8,0.5,1.0
33,0,66.7,25.6,5567.89,567.89,11.36,9850.08,75.53,0.06,0.0,CDXS,16,5,16,21,26,1.8,0.6,1.0
39,10,69.2,17.7,10457.07,5457.07,109.14,17468.7,62.55,0.31,0.3,CDXS,16,5,16,21,26,1.9,0.2,7.3
36,7,66.7,20.1,6044.27,1044.27,20.89,11485.66,65.52,0.09,0.0,CDXS,16,5,16,21,26,1.9,0.3,1.8
34,4,67.6,22.4,5733.25,733.25,14.67,13481.84,80.4,0.05,0.0,CDXS,16,5,16,21,26,1.9,0.4,1.3
32,0,65.6,25.7,7784.18,2784.18,55.68,12306.46,73.39,0.23,0.1,CDXS,16,5,16,21,26,1.9,0.5,4.3
32,0,65.6,25.7,7784.18,2784.18,55.68,12306.46,73.39,0.23,0.1,CDXS,16,5,16,21,26,1.9,0.6,4.3
31,10,64.5,17.3,5526.06,526.06,10.52,10400.19,65.3,0.05,0.0,CDXS,16,5,16,21,26,2.0,0.2,1.0
29,7,62.1,20.2,2555.76,-2444.24,-48.88,6880.4,72.92,-0.36,0.2,CDXS,16,5,16,21,26,2.0,0.3,-6.2
