Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
35,4,62.9,23.8,4263.52,-736.48,-14.73,2704.13,41.58,-0.27,0.0,CNNE,16,5,16,21,26,1.5,0.2,-1.8
31,1,58.1,26.5,2815.47,-2184.53,-43.69,2847.81,53.16,-0.77,0.3,CNNE,16,5,16,21,26,1.5,0.3,-6.5
31,0,58.1,27.4,4042.17,-957.83,-19.16,2601.33,41.93,-0.37,0.1,CNNE,16,5,16,21,26,1.5,0.4,-2.5
31,0,58.1,27.4,4042.17,-957.83,-19.16,2601.33,41.93,-0.37,0.1,CNNE,16,5,16,21,26,1.5,0.5,-2.5
31,0,58.1,27.4,4042.17,-957.83,-19.16,2601.33,41.93,-0.37,0.1,CNNE,16,5,16,21,26,1.5,0.6,-2.5
35,5,62.9,23.9,4370.15,-629.85,-12.6,3118.01,44.46,-0.2,0.0,CNNE,16,5,16,21,26,1.6,0.2,-1.6
30,1,56.7,27.5,2928.33,-2071.67,-41.43,3028.96,53.72,-0.68,0.3,CNNE,16,5,16,21,26,1.6,0.3,-6.1
30,0,56.7,28.5,4204.19,-795.81,-15.92,2942.37,43.99,-0.27,0.0,CNNE,16,5,16,21,26,1.6,0.4,-2.0
30,0,56.7,28.5,4204.19,-795.81,-15.92,2942.37,43.99,-0.27,0.0,CNNE,16,5,16,21,26,1.6,0.5,-2.0
30,0,56.7,28.5,4204.19,-795.81,-15.92,2942.37,43.99,-0.27,0.0,CNNE,16,5,16,21,26,1.6,0.6,-2.0
31,5,61.3,26.1,3999.78,-1000.22,-20.0,2244.16,36.78,-0.45,0.1,CNNE,16,5,16,21,26,1.7,0.2,-2.6
28,1,57.1,29.6,3096.09,-1903.91,-38.08,3367.82,57.77,-0.57,0.2,CNNE,16,5,16,21,26,1.7,0.3,-5.5
28,0,57.1,30.6,4445.06,-554.94,-11.1,2441.98,38.14,-0.23,0.0,CNNE,16,5,16,21,26,1.7,0.4,-1.4
28,0,57.1,30.6,4445.06,-554.94,-11.1,2441.98,38.14,-0.23,0.0,CNNE,16,5,16,21,26,1.7,0.5,-1.4
