Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
43,7,67.4,19.6,9038.66,4038.66,80.77,3641.11,40.23,1.11,0.9,CPRX,16,5,16,21,26,1.5,0.2,5.8
41,5,70.7,20.7,8430.57,3430.57,68.61,3329.7,39.45,1.03,0.7,CPRX,16,5,16,21,26,1.5,0.3,5.1
37,2,70.3,22.3,6063.02,1063.02,21.26,4031.82,66.42,0.26,0.1,CPRX,16,5,16,21,26,1.5,0.4,1.9
37,0,70.3,23.4,9595.49,4595.49,91.91,3590.16,37.37,1.28,1.2,CPRX,16,5,16,21,26,1.5,0.5,6.5
37,0,70.3,23.4,9595.49,4595.49,91.91,3590.16,37.37,1.28,1.2,CPRX,16,5,16,21,26,1.5,0.6,6.5
38,7,63.2,21.6,6078.75,1078.75,21.58,5474.66,64.51,0.2,0.0,CPRX,16,5,16,21,26,1.6,0.2,1.9
35,3,71.4,24.1,11898.37,6898.37,137.97,4685.64,36.18,1.47,2.0,CPRX,16,5,16,21,26,1.6,0.3,8.7
33,1,69.7,25.5,8670.3,3670.3,73.41,5646.89,59.83,0.65,0.5,CPRX,16,5,16,21,26,1.6,0.4,5.4
33,0,69.7,26.1,11087.25,6087.25,121.74,4855.49,40.23,1.25,1.5,CPRX,16,5,16,21,26,1.6,0.5,7.9
33,0,69.7,26.1,11087.25,6087.25,121.74,4855.49,40.23,1.25,1.5,CPRX,16,5,16,21,26,1.6,0.6,7.9
35,7,62.9,22.9,5312.46,312.46,6.25,5938.94,71.29,0.05,0.0,CPRX,16,5,16,21,26,1.7,0.2,0.6
32,4,68.8,24.8,6898.22,1898.22,37.96,6048.11,72.6,0.31,0.1,CPRX,16,5,16,21,26,1.7,0.3,3.1
30,1,66.7,27.9,7927.68,2927.68,58.55,5707.44,68.51,0.51,0.3,CPRX,16,5,16,21,26,1.7,0.4,4.5
30,0,66.7,28.5,10137.61,5137.61,102.75,4976.13,49.03,1.03,1.1,CPRX,16,5,16,21,26,1.7,0.5,7.0
30,0,66.7,28.5,10137.61,5137.61,102.75,4976.13,49.03,1.03,1.1,CPRX,16,5,16,21,26,1.7,0.6,7.0
34,8,61.8,22.2,3621.36,-1378.64,-27.57,4253.17,73.64,-0.32,0.1,CPRX,16,5,16,21,26,1.8,0.2,-3.0
31,5,67.7,24.3,4592.98,-407.02,-8.14,4356.46,75.43,-0.09,0.0,CPRX,16,5,16,21,26,1.8,0.3,-0.8
29,2,65.5,27.4,5278.41,278.41,5.57,4144.64,71.76,0.07,0.0,CPRX,16,5,16,21,26,1.8,0.4,0.5
28,1,64.3,28.5,5575.95,575.95,11.52,4052.69,70.17,0.14,0.0,CPRX,16,5,16,21,26,1.8,0.5,1.1
28,0,64.3,29.0,6749.83,1749.83,35.0,3689.91,54.67,0.47,0.2,CPRX,16,5,16,21,26,1.8,0.6,2.9
34,8,61.8,22.2,5239.47,239.47,4.79,4005.84,69.35,0.06,0.0,CPRX,16,5,16,21,26,1.9,0.2,0.5
31,5,67.7,24.3,6440.54,1440.54,28.81,4176.74,64.85,0.34,0.1,CPRX,16,5,16,21,26,1.9,0.3,2.5
29,2,65.5,27.4,7662.05,2662.05,53.24,3873.45,50.55,0.69,0.4,CPRX,16,5,16,21,26,1.9,0.4,4.2
28,1,64.3,28.5,8093.95,3093.95,61.88,3766.21,46.53,0.82,0.5,CPRX,16,5,16,21,26,1.9,0.5,4.7
28,0,64.3,29.0,9797.94,4797.94,95.96,3362.07,34.31,1.43,1.4,CPRX,16,5,16,21,26,1.9,0.6,6.7
26,7,69.2,25.8,2637.64,-2362.36,-47.25,4446.25,76.98,-0.53,0.3,CPRX,16,5,16,21,26,2.0,0.2,-6.0
23,5,73.9,29.6,2788.01,-2211.99,-44.24,4664.82,80.76,-0.47,0.2,CPRX,16,5,16,21,26,2.0,0.3,-5.5
22,1,72.7,35.4,5620.94,620.94,12.42,3535.88,61.22,0.18,0.0,CPRX,16,5,16,21,26,2.0,0.4,1.1
21,1,71.4,36.4,4643.39,-356.61,-7.13,3925.45,67.96,-0.09,0.0,CPRX,16,5,16,21,26,2.0,0.5,-0.7
21,0,71.4,37.1,5620.94,620.94,12.42,3535.88,61.22,0.18,0.0,CPRX,16,5,16,21,26,2.0,0.6,1.1
23,6,69.6,31.1,7212.98,2212.98,44.26,3785.51,52.48,0.58,0.3,CPRX,16,5,16,21,26,2.1,0.2,3.6
20,5,70.0,35.7,3679.8,-1320.2,-26.4,4477.51,77.52,-0.29,0.1,CPRX,16,5,16,21,26,2.1,0.3,-2.9
19,1,73.7,43.1,8116.14,3116.14,62.32,3443.74,42.43,0.9,0.6,CPRX,16,5,16,21,26,2.1,0.4,4.8
18,1,72.2,44.7,6704.64,1704.64,34.09,3849.33,57.41,0.44,0.2,CPRX,16,5,16,21,26,2.1,0.5,2.9
18,0,72.2,45.5,8116.14,3116.14,62.32,3443.74,42.43,0.9,0.6,CPRX,16,5,16,21,26,2.1,0.6,4.8
21,5,71.4,30.7,11604.86,6604.86,132.1,3679.04,31.7,1.8,2.4,CPRX,16,5,16,21,26,2.2,0.2,8.4
19,3,78.9,37.0,12585.32,7585.32,151.71,3575.78,28.41,2.12,3.2,CPRX,16,5,16,21,26,2.2,0.3,9.3
19,1,78.9,39.4,16703.98,11703.98,234.08,3433.25,20.55,3.41,8.0,CPRX,16,5,16,21,26,2.2,0.4,12.3
