Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
28,5,46.4,22.9,2991.85,-2008.15,-40.16,3180.1,61.18,-0.63,0.3,CRSR,16,5,16,21,26,1.5,0.2,-8.6
26,2,46.2,25.2,3186.08,-1813.92,-36.28,3068.54,59.03,-0.59,0.2,CRSR,16,5,16,21,26,1.5,0.3,-7.6
25,2,44.0,26.0,2411.69,-2588.31,-51.77,3586.16,68.99,-0.72,0.4,CRSR,16,5,16,21,26,1.5,0.4,-12.0
24,0,41.7,27.3,2912.82,-2087.18,-41.74,3251.19,62.55,-0.64,0.3,CRSR,16,5,16,21,26,1.5,0.5,-9.1
24,0,41.7,27.3,2912.82,-2087.18,-41.74,3251.19,62.55,-0.64,0.3,CRSR,16,5,16,21,26,1.5,0.6,-9.1
26,5,42.3,23.5,2762.64,-2237.36,-44.75,3550.73,65.58,-0.63,0.3,CRSR,16,5,16,21,26,1.6,0.2,-9.9
24,3,41.7,27.4,2425.24,-2574.76,-51.5,3778.31,69.79,-0.68,0.4,CRSR,16,5,16,21,26,1.6,0.3,-11.9
23,1,39.1,29.1,2782.56,-2217.44,-44.35,3537.29,65.33,-0.63,0.3,CRSR,16,5,16,21,26,1.6,0.4,-9.8
22,0,36.4,30.5,2789.48,-2210.52,-44.21,3532.62,65.25,-0.63,0.3,CRSR,16,5,16,21,26,1.6,0.5,-9.7
22,0,36.4,30.5,2789.48,-2210.52,-44.21,3532.62,65.25,-0.63,0.3,CRSR,16,5,16,21,26,1.6,0.6,-9.7
24,5,50.0,23.2,3133.15,-1866.85,-37.34,3839.59,64.5,-0.49,0.2,CRSR,16,5,16,21,26,1.7,0.2,-7.9
23,3,52.2,26.7,3243.18,-1756.82,-35.14,3765.37,63.25,-0.47,0.2,CRSR,16,5,16,21,26,1.7,0.3,-7.3
21,1,47.6,29.3,3155.74,-1844.26,-36.89,3824.35,64.24,-0.48,0.2,CRSR,16,5,16,21,26,1.7,0.4,-7.8
21,0,47.6,30.0,3556.43,-1443.57,-28.87,3554.08,59.7,-0.41,0.1,CRSR,16,5,16,21,26,1.7,0.5,-5.8
21,0,47.6,30.0,3556.43,-1443.57,-28.87,3554.08,59.7,-0.41,0.1,CRSR,16,5,16,21,26,1.7,0.6,-5.8
24,6,50.0,24.9,4138.38,-861.62,-17.23,3062.06,53.99,-0.28,0.0,CRSR,16,5,16,21,26,1.8,0.2,-3.3
20,3,55.0,31.8,3055.29,-1944.71,-38.89,3484.24,62.83,-0.56,0.2,CRSR,16,5,16,21,26,1.8,0.3,-8.3
19,1,52.6,33.8,3202.36,-1797.64,-35.95,3385.04,61.05,-0.53,0.2,CRSR,16,5,16,21,26,1.8,0.4,-7.5
19,0,52.6,34.8,3768.42,-1231.58,-24.63,3210.82,57.9,-0.38,0.1,CRSR,16,5,16,21,26,1.8,0.5,-4.8
19,0,52.6,34.8,3768.42,-1231.58,-24.63,3210.82,57.9,-0.38,0.1,CRSR,16,5,16,21,26,1.8,0.6,-4.8
20,7,45.0,30.9,2609.37,-2390.63,-47.81,4128.93,70.11,-0.58,0.3,CRSR,16,5,16,21,26,1.9,0.2,-10.8
15,3,40.0,43.9,1826.13,-3173.87,-63.48,4526.09,78.61,-0.7,0.4,CRSR,16,5,16,21,26,1.9,0.3,-16.2
15,1,46.7,44.9,2661.57,-2338.43,-46.77,3962.57,68.82,-0.59,0.3,CRSR,16,5,16,21,26,1.9,0.4,-10.5
15,1,46.7,44.9,2661.57,-2338.43,-46.77,3962.57,68.82,-0.59,0.3,CRSR,16,5,16,21,26,1.9,0.5,-10.5
14,0,42.9,48.2,2501.71,-2498.29,-49.97,4070.4,70.69,-0.61,0.3,CRSR,16,5,16,21,26,1.9,0.6,-11.4
16,6,56.2,32.2,3806.82,-1193.18,-23.86,3350.08,59.77,-0.36,0.1,CRSR,16,5,16,21,26,2.0,0.2,-4.7
13,4,61.5,42.8,1692.82,-3307.18,-66.14,5636.1,83.15,-0.59,0.4,CRSR,16,5,16,21,26,2.0,0.3,-17.3
13,1,69.2,46.1,3634.57,-1365.43,-27.31,4356.85,64.28,-0.31,0.1,CRSR,16,5,16,21,26,2.0,0.4,-5.4
13,1,69.2,46.2,3416.27,-1583.73,-31.67,4502.26,66.43,-0.35,0.1,CRSR,16,5,16,21,26,2.0,0.5,-6.5
12,0,66.7,52.1,3237.66,-1762.34,-35.25,4621.24,68.18,-0.38,0.1,CRSR,16,5,16,21,26,2.0,0.6,-7.3
