Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
44,1,68.2,20.6,7217.6,2217.6,44.35,4192.34,38.46,0.53,0.2,CSR,16,5,16,21,26,1.5,0.2,3.6
44,1,68.2,20.6,7499.39,2499.39,49.99,4356.01,38.46,0.57,0.3,CSR,16,5,16,21,26,1.5,0.3,4.0
43,0,67.4,21.1,6984.53,1984.53,39.69,4056.95,38.46,0.49,0.2,CSR,16,5,16,21,26,1.5,0.4,3.3
43,0,67.4,21.1,6984.53,1984.53,39.69,4056.95,38.46,0.49,0.2,CSR,16,5,16,21,26,1.5,0.5,3.3
43,0,67.4,21.1,6984.53,1984.53,39.69,4056.95,38.46,0.49,0.2,CSR,16,5,16,21,26,1.5,0.6,3.3
40,1,67.5,22.6,7940.0,2940.0,58.8,4000.08,36.42,0.73,0.4,CSR,16,5,16,21,26,1.6,0.2,4.5
40,1,67.5,22.6,8250.0,3250.0,65.0,4156.25,36.42,0.78,0.5,CSR,16,5,16,21,26,1.6,0.3,4.9
39,0,66.7,23.2,7683.6,2683.6,53.67,3870.91,36.42,0.69,0.4,CSR,16,5,16,21,26,1.6,0.4,4.2
39,0,66.7,23.2,7683.6,2683.6,53.67,3870.91,36.42,0.69,0.4,CSR,16,5,16,21,26,1.6,0.5,4.2
39,0,66.7,23.2,7683.6,2683.6,53.67,3870.91,36.42,0.69,0.4,CSR,16,5,16,21,26,1.6,0.6,4.2
37,1,64.9,23.5,7378.87,2378.87,47.58,3174.05,35.56,0.75,0.4,CSR,16,5,16,21,26,1.7,0.2,3.8
37,1,64.9,23.6,6640.83,1640.83,32.82,3447.41,39.97,0.48,0.2,CSR,16,5,16,21,26,1.7,0.3,2.8
37,0,64.9,24.1,9509.14,4509.14,90.18,4090.39,35.56,1.1,1.0,CSR,16,5,16,21,26,1.7,0.4,6.4
37,0,64.9,24.1,9509.14,4509.14,90.18,4090.39,35.56,1.1,1.0,CSR,16,5,16,21,26,1.7,0.5,6.4
37,0,64.9,24.1,9509.14,4509.14,90.18,4090.39,35.56,1.1,1.0,CSR,16,5,16,21,26,1.7,0.6,6.4
32,1,62.5,28.2,7036.61,2036.61,40.73,3517.71,38.78,0.58,0.2,CSR,16,5,16,21,26,1.8,0.2,3.3
32,1,62.5,28.2,6332.81,1332.81,26.66,4073.08,44.91,0.33,0.1,CSR,16,5,16,21,26,1.8,0.3,2.3
