Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
37,18,43.2,17.7,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.5,0.2,
31,9,48.4,22.3,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.5,0.3,
28,5,50.0,26.2,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.5,0.4,
25,2,44.0,30.1,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.5,0.5,
24,1,45.8,31.4,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.5,0.6,
30,16,26.7,20.4,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.6,0.2,
27,8,44.4,24.4,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.6,0.3,
25,5,44.0,28.2,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.6,0.4,
22,2,40.9,32.9,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.6,0.5,
21,1,42.9,34.5,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.6,0.6,
29,17,24.1,20.5,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.7,0.2,
25,10,44.0,25.2,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.7,0.3,
22,5,45.5,32.6,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.7,0.4,
20,3,45.0,36.7,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.7,0.5,
19,2,47.4,38.3,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.7,0.6,
27,18,29.6,19.5,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.8,0.2,
24,10,50.0,25.0,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.8,0.3,
21,7,47.6,34.9,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.8,0.4,
18,5,44.4,41.9,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.8,0.5,
16,2,43.8,47.2,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.8,0.6,
25,14,40.0,21.1,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.9,0.2,
24,10,54.2,27.0,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.9,0.3,
21,7,52.4,35.4,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.9,0.4,
17,3,47.1,41.2,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.9,0.5,
16,2,50.0,47.4,,,,,0.0,999.0,,CTEV,16,5,16,21,26,1.9,0.6,
24,12,45.8,22.6,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.0,0.2,
23,10,52.2,26.3,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.0,0.3,
19,6,52.6,37.0,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.0,0.4,
17,4,52.9,38.5,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.0,0.5,
16,3,56.2,44.7,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.0,0.6,
21,10,47.6,22.2,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.1,0.2,
19,8,52.6,27.8,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.1,0.3,
15,5,46.7,37.9,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.1,0.4,
15,4,46.7,37.9,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.1,0.5,
14,3,57.1,43.4,,,,,0.0,999.0,,CTEV,16,5,16,21,26,2.1,0.6,
