Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
48,4,70.8,19.8,16985.6,11985.6,239.71,5975.68,31.88,2.01,4.8,CVLT,16,5,16,21,26,1.5,0.2,12.5
46,2,69.6,20.8,11366.2,6366.2,127.32,4930.13,35.95,1.29,1.6,CVLT,16,5,16,21,26,1.5,0.3,8.2
46,0,69.6,21.4,17573.59,12573.59,251.47,6736.05,33.77,1.87,4.7,CVLT,16,5,16,21,26,1.5,0.4,12.8
46,0,69.6,21.4,17573.59,12573.59,251.47,6736.05,33.77,1.87,4.7,CVLT,16,5,16,21,26,1.5,0.5,12.8
46,0,69.6,21.4,17573.59,12573.59,251.47,6736.05,33.77,1.87,4.7,CVLT,16,5,16,21,26,1.5,0.6,12.8
47,4,70.2,19.1,22856.31,17856.31,357.13,6963.28,27.6,2.56,9.1,CVLT,16,5,16,21,26,1.6,0.2,15.7
46,2,69.6,20.0,14773.72,9773.72,195.47,6019.39,33.77,1.62,3.2,CVLT,16,5,16,21,26,1.6,0.3,11.0
46,0,71.7,21.0,23987.53,18987.53,379.75,9194.55,33.77,2.07,7.9,CVLT,16,5,16,21,26,1.6,0.4,16.2
46,0,71.7,21.0,23987.53,18987.53,379.75,9194.55,33.77,2.07,7.9,CVLT,16,5,16,21,26,1.6,0.5,16.2
46,0,71.7,21.0,23987.53,18987.53,379.75,9194.55,33.77,2.07,7.9,CVLT,16,5,16,21,26,1.6,0.6,16.2
44,5,70.5,20.6,16567.37,11567.37,231.35,13222.33,50.05,0.87,2.0,CVLT,16,5,16,21,26,1.7,0.2,12.2
42,3,69.0,22.1,9785.12,4785.12,95.7,10832.86,56.69,0.44,0.4,CVLT,16,5,16,21,26,1.7,0.3,6.7
42,0,71.4,23.4,17943.65,12943.65,258.87,14896.94,51.03,0.87,2.3,CVLT,16,5,16,21,26,1.7,0.4,13.1
42,0,71.4,23.4,17943.65,12943.65,258.87,14896.94,51.03,0.87,2.3,CVLT,16,5,16,21,26,1.7,0.5,13.1
42,0,71.4,23.4,17943.65,12943.65,258.87,14896.94,51.03,0.87,2.3,CVLT,16,5,16,21,26,1.7,0.6,13.1
40,5,70.0,23.7,16940.77,11940.77,238.82,16708.25,53.83,0.71,1.7,CVLT,16,5,16,21,26,1.8,0.2,12.4
39,3,71.8,24.6,9941.89,4941.89,98.84,11006.42,56.69,0.45,0.4,CVLT,16,5,16,21,26,1.8,0.3,6.8
38,0,73.7,27.0,15867.83,10867.83,217.36,16235.47,54.74,0.67,1.5,CVLT,16,5,16,21,26,1.8,0.4,11.7
38,0,73.7,27.0,15867.83,10867.83,217.36,16235.47,54.74,0.67,1.5,CVLT,16,5,16,21,26,1.8,0.5,11.7
38,0,73.7,27.0,15867.83,10867.83,217.36,16235.47,54.74,0.67,1.5,CVLT,16,5,16,21,26,1.8,0.6,11.7
35,4,71.4,26.3,15268.56,10268.56,205.37,15058.98,53.83,0.68,1.4,CVLT,16,5,16,21,26,1.9,0.2,11.3
34,3,73.5,27.1,7750.04,2750.04,55.0,8579.87,56.69,0.32,0.2,CVLT,16,5,16,21,26,1.9,0.3,4.3
33,0,75.8,30.2,13196.72,8196.72,163.93,12913.53,53.63,0.63,1.0,CVLT,16,5,16,21,26,1.9,0.4,9.8
33,0,75.8,30.2,13196.72,8196.72,163.93,12913.53,53.63,0.63,1.0,CVLT,16,5,16,21,26,1.9,0.5,9.8
33,0,75.8,30.2,13196.72,8196.72,163.93,12913.53,53.63,0.63,1.0,CVLT,16,5,16,21,26,1.9,0.6,9.8
28,4,64.3,29.5,7698.16,2698.16,53.96,7592.49,53.83,0.36,0.2,CVLT,16,5,16,21,26,2.0,0.2,4.2
28,3,67.9,30.5,6215.68,1215.68,24.31,6881.23,56.69,0.18,0.0,CVLT,16,5,16,21,26,2.0,0.3,2.1
27,0,70.4,34.3,10584.03,5584.03,111.68,10356.91,53.63,0.54,0.6,CVLT,16,5,16,21,26,2.0,0.4,7.5
27,0,70.4,34.3,10584.03,5584.03,111.68,10356.91,53.63,0.54,0.6,CVLT,16,5,16,21,26,2.0,0.5,7.5
27,0,70.4,34.3,10584.03,5584.03,111.68,10356.91,53.63,0.54,0.6,CVLT,16,5,16,21,26,2.0,0.6,7.5
24,4,62.5,32.1,6033.39,1033.39,20.67,5950.58,53.83,0.17,0.0,CVLT,16,5,16,21,26,2.1,0.2,1.8
24,3,66.7,33.3,4871.51,-128.49,-2.57,5393.13,56.69,-0.02,0.0,CVLT,16,5,16,21,26,2.1,0.3,-0.2
