Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
44,5,70.5,19.6,5730.7,730.7,14.61,5216.18,57.84,0.14,0.0,CWBC,16,5,16,21,26,1.5,0.2,1.3
42,3,76.2,21.3,5333.3,333.3,6.67,5487.28,60.79,0.06,0.0,CWBC,16,5,16,21,26,1.5,0.3,0.6
41,2,75.6,21.8,5175.54,175.54,3.51,5602.82,62.0,0.03,0.0,CWBC,16,5,16,21,26,1.5,0.4,0.3
39,0,74.4,23.0,4636.82,-363.18,-7.26,5600.04,64.54,-0.06,0.0,CWBC,16,5,16,21,26,1.5,0.5,-0.7
39,0,74.4,23.0,4636.82,-363.18,-7.26,5600.04,64.54,-0.06,0.0,CWBC,16,5,16,21,26,1.5,0.6,-0.7
40,5,70.0,20.8,4536.87,-463.13,-9.26,4597.04,60.11,-0.1,0.0,CWBC,16,5,16,21,26,1.6,0.2,-0.9
39,3,76.9,22.3,4515.83,-484.17,-9.68,4795.76,62.71,-0.1,0.0,CWBC,16,5,16,21,26,1.6,0.3,-1.0
38,2,76.3,22.9,4382.26,-617.74,-12.35,4880.12,63.81,-0.13,0.0,CWBC,16,5,16,21,26,1.6,0.4,-1.3
36,0,75.0,24.3,3926.11,-1073.89,-21.48,5168.2,67.58,-0.21,0.0,CWBC,16,5,16,21,26,1.6,0.5,-2.3
36,0,75.0,24.3,3926.11,-1073.89,-21.48,5168.2,67.58,-0.21,0.0,CWBC,16,5,16,21,26,1.6,0.6,-2.3
39,6,71.8,20.9,4542.88,-457.12,-9.14,4757.51,59.39,-0.1,0.0,CWBC,16,5,16,21,26,1.7,0.2,-0.9
38,3,78.9,22.9,5223.58,223.58,4.47,4969.41,62.04,0.04,0.0,CWBC,16,5,16,21,26,1.7,0.3,0.4
37,2,78.4,23.5,5069.07,69.07,1.38,5059.37,63.16,0.01,0.0,CWBC,16,5,16,21,26,1.7,0.4,0.1
35,0,77.1,25.0,4541.43,-458.57,-9.17,5366.57,66.99,-0.09,0.0,CWBC,16,5,16,21,26,1.7,0.5,-0.9
35,0,77.1,25.0,4541.43,-458.57,-9.17,5366.57,66.99,-0.09,0.0,CWBC,16,5,16,21,26,1.7,0.6,-0.9
30,6,63.3,24.1,3044.27,-1955.73,-39.11,3478.07,59.78,-0.56,0.2,CWBC,16,5,16,21,26,1.8,0.2,-4.7
29,3,72.4,26.9,3500.42,-1499.58,-29.99,3727.83,64.07,-0.4,0.1,CWBC,16,5,16,21,26,1.8,0.3,-3.4
28,2,71.4,27.9,3396.87,-1603.13,-32.06,3789.68,65.13,-0.42,0.1,CWBC,16,5,16,21,26,1.8,0.4,-3.6
26,0,69.2,30.1,3043.3,-1956.7,-39.13,4000.86,68.76,-0.49,0.2,CWBC,16,5,16,21,26,1.8,0.5,-4.7
26,0,69.2,30.1,3043.3,-1956.7,-39.13,4000.86,68.76,-0.49,0.2,CWBC,16,5,16,21,26,1.8,0.6,-4.7
28,6,64.3,25.0,3062.19,-1937.81,-38.76,3724.12,60.4,-0.52,0.2,CWBC,16,5,16,21,26,1.9,0.2,-4.6
27,3,74.1,28.0,3521.03,-1478.97,-29.58,3922.75,63.62,-0.38,0.1,CWBC,16,5,16,21,26,1.9,0.3,-3.3
26,2,73.1,29.1,3416.87,-1583.13,-31.66,3989.11,64.69,-0.4,0.1,CWBC,16,5,16,21,26,1.9,0.4,-3.6
24,0,70.8,31.7,3061.21,-1938.79,-38.78,4215.71,68.37,-0.46,0.2,CWBC,16,5,16,21,26,1.9,0.5,-4.6
24,0,70.8,31.7,3061.21,-1938.79,-38.78,4215.71,68.37,-0.46,0.2,CWBC,16,5,16,21,26,1.9,0.6,-4.6
24,6,58.3,26.0,2244.21,-2755.79,-55.12,4406.52,72.17,-0.63,0.3,CWBC,16,5,16,21,26,2.0,0.2,-7.4
24,3,70.8,29.7,3608.31,-1391.69,-27.83,4098.8,67.13,-0.34,0.1,CWBC,16,5,16,21,26,2.0,0.3,-3.1
22,2,68.2,31.2,2652.1,-2347.9,-46.96,4630.63,75.84,-0.51,0.2,CWBC,16,5,16,21,26,2.0,0.4,-5.9
21,0,66.7,34.1,3137.1,-1862.9,-37.26,4360.88,71.42,-0.43,0.2,CWBC,16,5,16,21,26,2.0,0.5,-4.4
21,0,66.7,34.1,3137.1,-1862.9,-37.26,4360.88,71.42,-0.43,0.2,CWBC,16,5,16,21,26,2.0,0.6,-4.4
21,5,61.9,27.2,3248.97,-1751.03,-35.02,4198.44,66.96,-0.42,0.1,CWBC,16,5,16,21,26,2.1,0.2,-4.1
20,3,70.0,32.4,4290.42,-709.58,-14.19,3972.6,63.36,-0.18,0.0,CWBC,16,5,16,21,26,2.1,0.3,-1.5
19,2,68.4,33.8,2827.36,-2172.64,-43.45,4756.04,75.85,-0.46,0.2,CWBC,16,5,16,21,26,2.1,0.4,-5.3
18,0,66.7,37.3,3344.41,-1655.59,-33.11,4479.17,71.44,-0.37,0.1,CWBC,16,5,16,21,26,2.1,0.5,-3.8
18,0,66.7,37.3,3344.41,-1655.59,-33.11,4479.17,71.44,-0.37,0.1,CWBC,16,5,16,21,26,2.1,0.6,-3.8
17,4,64.7,32.4,3308.67,-1691.33,-33.83,3469.43,59.8,-0.49,0.2,CWBC,16,5,16,21,26,2.2,0.2,-3.9
