Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
39,2,76.9,19.9,13994.66,8994.66,179.89,4639.51,27.74,1.94,3.5,CWST,16,5,16,21,26,1.5,0.2,10.4
37,0,75.7,21.2,13957.61,8957.61,179.15,4546.49,27.39,1.97,3.5,CWST,16,5,16,21,26,1.5,0.3,10.4
37,0,75.7,21.2,13957.61,8957.61,179.15,4546.49,27.39,1.97,3.5,CWST,16,5,16,21,26,1.5,0.4,10.4
37,0,75.7,21.2,13957.61,8957.61,179.15,4546.49,27.39,1.97,3.5,CWST,16,5,16,21,26,1.5,0.5,10.4
37,0,75.7,21.2,13957.61,8957.61,179.15,4546.49,27.39,1.97,3.5,CWST,16,5,16,21,26,1.5,0.6,10.4
34,3,76.5,20.4,9237.58,4237.58,84.75,3779.37,29.03,1.12,0.9,CWST,16,5,16,21,26,1.6,0.2,6.1
33,0,75.8,22.4,13077.78,8077.78,161.56,5343.66,32.12,1.51,2.4,CWST,16,5,16,21,26,1.6,0.3,9.7
33,0,75.8,22.4,13077.78,8077.78,161.56,5343.66,32.12,1.51,2.4,CWST,16,5,16,21,26,1.6,0.4,9.7
33,0,75.8,22.4,13077.78,8077.78,161.56,5343.66,32.12,1.51,2.4,CWST,16,5,16,21,26,1.6,0.5,9.7
33,0,75.8,22.4,13077.78,8077.78,161.56,5343.66,32.12,1.51,2.4,CWST,16,5,16,21,26,1.6,0.6,9.7
32,3,75.0,22.2,9249.42,4249.42,84.99,3683.54,28.48,1.15,1.0,CWST,16,5,16,21,26,1.7,0.2,6.1
31,0,74.2,24.3,13094.55,8094.55,161.89,5221.86,31.59,1.55,2.5,CWST,16,5,16,21,26,1.7,0.3,9.7
31,0,74.2,24.3,13094.55,8094.55,161.89,5221.86,31.59,1.55,2.5,CWST,16,5,16,21,26,1.7,0.4,9.7
31,0,74.2,24.3,13094.55,8094.55,161.89,5221.86,31.59,1.55,2.5,CWST,16,5,16,21,26,1.7,0.5,9.7
31,0,74.2,24.3,13094.55,8094.55,161.89,5221.86,31.59,1.55,2.5,CWST,16,5,16,21,26,1.7,0.6,9.7
30,3,76.7,22.9,8820.99,3820.99,76.42,4357.4,33.06,0.88,0.7,CWST,16,5,16,21,26,1.8,0.2,5.6
29,0,79.3,23.9,12854.37,7854.37,157.09,5320.95,31.59,1.48,2.3,CWST,16,5,16,21,26,1.8,0.3,9.5
