Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
52,15,67.3,16.8,23286.4,18286.4,365.73,13311.22,57.16,1.37,5.0,CYRX,16,5,16,21,26,1.5,0.2,15.9
44,5,68.2,21.7,29002.53,24002.53,480.05,16152.76,55.69,1.49,7.2,CYRX,16,5,16,21,26,1.5,0.3,18.4
42,2,66.7,23.1,36938.18,31938.18,638.76,16504.41,44.68,1.94,12.4,CYRX,16,5,16,21,26,1.5,0.4,21.2
42,2,69.0,23.1,33413.81,28413.81,568.28,16417.23,49.13,1.73,9.8,CYRX,16,5,16,21,26,1.5,0.5,20.0
41,1,68.3,23.7,30707.24,25707.24,514.14,16249.45,52.92,1.58,8.1,CYRX,16,5,16,21,26,1.5,0.6,19.0
48,15,64.6,17.6,16710.29,11710.29,234.21,12860.87,73.16,0.91,2.1,CYRX,16,5,16,21,26,1.6,0.2,12.3
41,4,65.9,23.4,31593.68,26593.68,531.87,16955.23,53.67,1.57,8.4,CYRX,16,5,16,21,26,1.6,0.3,19.4
40,2,65.0,24.4,36546.27,31546.27,630.93,16783.98,45.93,1.88,11.9,CYRX,16,5,16,21,26,1.6,0.4,21.0
39,2,66.7,24.8,23564.75,18564.75,371.29,19052.56,72.06,0.97,3.6,CYRX,16,5,16,21,26,1.6,0.5,16.1
39,1,66.7,25.1,30381.43,25381.43,507.63,17787.88,58.55,1.43,7.3,CYRX,16,5,16,21,26,1.6,0.6,18.9
39,13,64.1,19.8,9381.01,4381.01,87.62,20302.49,83.89,0.22,0.2,CYRX,16,5,16,21,26,1.7,0.2,6.2
35,5,68.6,25.6,15747.95,10747.95,214.96,24636.17,80.52,0.44,0.9,CYRX,16,5,16,21,26,1.7,0.3,11.6
33,3,66.7,27.8,11517.27,6517.27,130.35,26461.92,86.48,0.25,0.3,CYRX,16,5,16,21,26,1.7,0.4,8.3
33,2,66.7,28.1,13436.43,8436.43,168.73,25772.67,84.23,0.33,0.6,CYRX,16,5,16,21,26,1.7,0.5,10.0
32,2,65.6,28.9,7885.28,2885.28,57.71,27320.19,89.29,0.11,0.1,CYRX,16,5,16,21,26,1.7,0.6,4.5
32,12,56.2,23.0,6365.54,1365.54,27.31,19726.81,85.53,0.07,0.0,CYRX,16,5,16,21,26,1.8,0.2,2.3
29,6,62.1,28.1,8230.12,3230.12,64.6,27721.21,87.59,0.12,0.1,CYRX,16,5,16,21,26,1.8,0.3,4.9
27,2,59.3,32.1,9640.95,4640.95,92.82,27284.22,86.21,0.17,0.2,CYRX,16,5,16,21,26,1.8,0.4,6.5
27,2,59.3,32.8,7936.62,2936.62,58.73,28055.98,88.64,0.1,0.1,CYRX,16,5,16,21,26,1.8,0.5,4.5
26,2,57.7,33.9,4657.67,-342.33,-6.85,29208.52,92.29,-0.01,0.0,CYRX,16,5,16,21,26,1.8,0.6,-0.7
30,12,56.7,22.5,3630.61,-1369.39,-27.39,10144.16,84.6,-0.13,0.0,CYRX,16,5,16,21,26,1.9,0.2,-3.0
26,5,61.5,29.0,5449.15,449.15,8.98,14110.47,85.75,0.03,0.0,CYRX,16,5,16,21,26,1.9,0.3,0.8
