Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
18,1,66.7,18.7,10085.04,5085.04,101.7,2337.49,23.18,2.18,2.2,DC,16,5,16,21,26,1.5,0.2,18.4
18,0,66.7,19.9,11928.17,6928.17,138.56,2315.35,19.41,2.99,4.1,DC,16,5,16,21,26,1.5,0.3,23.2
18,0,66.7,19.9,11928.17,6928.17,138.56,2315.35,19.41,2.99,4.1,DC,16,5,16,21,26,1.5,0.4,23.2
18,0,66.7,19.9,11928.17,6928.17,138.56,2315.35,19.41,2.99,4.1,DC,16,5,16,21,26,1.5,0.5,23.2
18,0,66.7,19.9,11928.17,6928.17,138.56,2315.35,19.41,2.99,4.1,DC,16,5,16,21,26,1.5,0.6,23.2
18,1,72.2,17.7,12660.84,7660.84,153.22,2559.34,20.21,2.99,4.6,DC,16,5,16,21,26,1.6,0.2,25.0
18,0,72.2,18.9,14974.72,9974.72,199.49,2491.46,16.64,4.0,8.0,DC,16,5,16,21,26,1.6,0.3,30.1
18,0,72.2,18.9,14974.72,9974.72,199.49,2491.46,16.64,4.0,8.0,DC,16,5,16,21,26,1.6,0.4,30.1
18,0,72.2,18.9,14974.72,9974.72,199.49,2491.46,16.64,4.0,8.0,DC,16,5,16,21,26,1.6,0.5,30.1
18,0,72.2,18.9,14974.72,9974.72,199.49,2491.46,16.64,4.0,8.0,DC,16,5,16,21,26,1.6,0.6,30.1
17,1,76.5,18.8,15498.02,10498.02,209.96,2682.05,17.31,3.91,8.2,DC,16,5,16,21,26,1.7,0.2,31.2
17,0,76.5,20.1,18330.41,13330.41,266.61,2137.05,11.66,6.24,16.6,DC,16,5,16,21,26,1.7,0.3,36.6
17,0,76.5,20.1,18330.41,13330.41,266.61,2137.05,11.66,6.24,16.6,DC,16,5,16,21,26,1.7,0.4,36.6
17,0,76.5,20.1,18330.41,13330.41,266.61,2137.05,11.66,6.24,16.6,DC,16,5,16,21,26,1.7,0.5,36.6
17,0,76.5,20.1,18330.41,13330.41,266.61,2137.05,11.66,6.24,16.6,DC,16,5,16,21,26,1.7,0.6,36.6
16,1,81.2,18.9,14334.97,9334.97,186.7,2682.05,18.71,3.48,6.5,DC,16,5,16,21,26,1.8,0.2,28.8
16,0,81.2,20.3,16954.81,11954.81,239.1,2137.05,12.6,5.59,13.4,DC,16,5,16,21,26,1.8,0.3,34.1
16,0,81.2,20.3,16954.81,11954.81,239.1,2137.05,12.6,5.59,13.4,DC,16,5,16,21,26,1.8,0.4,34.1
