Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
56,20,51.8,17.8,1094.26,-3905.74,-78.11,8535.38,92.43,-0.46,0.4,DDD,16,5,16,21,26,1.5,0.2,-13.6
50,11,54.0,20.1,1447.06,-3552.94,-71.06,7973.64,89.02,-0.45,0.3,DDD,16,5,16,21,26,1.5,0.3,-11.2
43,5,48.8,23.4,754.16,-4245.84,-84.92,8264.91,92.49,-0.51,0.4,DDD,16,5,16,21,26,1.5,0.4,-16.6
41,1,48.8,25.6,1349.1,-3650.9,-73.02,7951.76,88.99,-0.46,0.3,DDD,16,5,16,21,26,1.5,0.5,-11.8
40,1,47.5,26.0,1019.27,-3980.73,-79.61,8192.31,91.68,-0.49,0.4,DDD,16,5,16,21,26,1.5,0.6,-14.2
48,17,50.0,18.8,1209.85,-3790.15,-75.8,7649.28,90.31,-0.5,0.4,DDD,16,5,16,21,26,1.6,0.2,-12.7
46,10,52.2,21.5,1542.55,-3457.45,-69.15,7259.67,85.71,-0.48,0.3,DDD,16,5,16,21,26,1.6,0.3,-10.7
39,5,48.7,23.8,935.4,-4064.6,-81.29,7638.29,90.18,-0.53,0.4,DDD,16,5,16,21,26,1.6,0.4,-14.9
37,1,45.9,26.8,1402.8,-3597.2,-71.94,7351.62,86.79,-0.49,0.4,DDD,16,5,16,21,26,1.6,0.5,-11.5
36,0,44.4,27.7,1283.42,-3716.58,-74.33,7446.82,87.92,-0.5,0.4,DDD,16,5,16,21,26,1.6,0.6,-12.2
45,16,51.1,20.2,1420.78,-3579.22,-71.58,6290.01,86.93,-0.57,0.4,DDD,16,5,16,21,26,1.7,0.2,-11.4
41,9,56.1,22.7,1589.72,-3410.28,-68.21,5967.93,82.48,-0.57,0.4,DDD,16,5,16,21,26,1.7,0.3,-10.4
36,5,55.6,25.8,770.1,-4229.9,-84.6,6550.69,90.53,-0.65,0.5,DDD,16,5,16,21,26,1.7,0.4,-16.4
35,1,54.3,28.4,1775.67,-3224.33,-64.49,5819.65,80.43,-0.55,0.4,DDD,16,5,16,21,26,1.7,0.5,-9.5
34,0,52.9,29.2,1717.77,-3282.23,-65.64,5865.82,81.07,-0.56,0.4,DDD,16,5,16,21,26,1.7,0.6,-9.7
40,16,52.5,21.2,1048.73,-3951.27,-79.03,5167.96,85.93,-0.76,0.6,DDD,16,5,16,21,26,1.8,0.2,-13.9
33,10,51.5,25.5,649.13,-4350.87,-87.02,5490.34,91.29,-0.79,0.7,DDD,16,5,16,21,26,1.8,0.3,-17.8
31,4,54.8,29.5,888.12,-4111.88,-82.24,5297.54,88.09,-0.78,0.6,DDD,16,5,16,21,26,1.8,0.4,-15.3
30,1,53.3,32.7,1369.66,-3630.34,-72.61,5139.86,85.46,-0.71,0.5,DDD,16,5,16,21,26,1.8,0.5,-11.7
29,0,51.7,33.9,1325.0,-3675.0,-73.5,5168.37,85.94,-0.71,0.5,DDD,16,5,16,21,26,1.8,0.6,-12.0
37,15,54.1,22.2,1184.46,-3815.54,-76.31,4178.11,79.59,-0.91,0.7,DDD,16,5,16,21,26,1.9,0.2,-12.9
32,9,56.2,27.3,1290.06,-3709.94,-74.2,4599.33,87.62,-0.81,0.6,DDD,16,5,16,21,26,1.9,0.3,-12.2
30,4,56.7,31.0,1145.91,-3854.09,-77.08,4467.78,85.11,-0.86,0.7,DDD,16,5,16,21,26,1.9,0.4,-13.2
28,0,53.6,35.4,1786.39,-3213.61,-64.27,4227.22,80.53,-0.76,0.5,DDD,16,5,16,21,26,1.9,0.5,-9.4
28,0,53.6,35.4,1786.39,-3213.61,-64.27,4227.22,80.53,-0.76,0.5,DDD,16,5,16,21,26,1.9,0.6,-9.4
33,13,54.5,22.0,2354.21,-2645.79,-52.92,4676.7,80.13,-0.57,0.3,DDD,16,5,16,21,26,2.0,0.2,-7.0
28,8,57.1,27.7,2427.04,-2572.96,-51.46,4913.82,85.23,-0.52,0.3,DDD,16,5,16,21,26,2.0,0.3,-6.7
27,4,59.3,31.4,2158.91,-2841.09,-56.82,4940.3,85.69,-0.58,0.3,DDD,16,5,16,21,26,2.0,0.4,-7.7
26,0,57.7,35.4,3959.73,-1040.27,-20.81,4521.07,78.42,-0.23,0.0,DDD,16,5,16,21,26,2.0,0.5,-2.2
26,0,57.7,35.4,3959.73,-1040.27,-20.81,4521.07,78.42,-0.23,0.0,DDD,16,5,16,21,26,2.0,0.6,-2.2
25,9,56.0,24.2,7205.52,2205.52,44.11,4855.28,51.19,0.45,0.2,DDD,16,5,16,21,26,2.1,0.2,3.6
21,5,61.9,29.7,6987.69,1987.69,39.75,3753.31,51.18,0.53,0.2,DDD,16,5,16,21,26,2.1,0.3,3.3
20,2,60.0,32.2,6660.24,1660.24,33.2,4964.26,71.02,0.33,0.1,DDD,16,5,16,21,26,2.1,0.4,2.8
20,0,60.0,35.0,13188.18,8188.18,163.76,4137.86,29.89,1.98,3.2,DDD,16,5,16,21,26,2.1,0.5,9.8
20,0,60.0,35.0,13188.18,8188.18,163.76,4137.86,29.89,1.98,3.2,DDD,16,5,16,21,26,2.1,0.6,9.8
20,9,45.0,25.4,2405.24,-2594.76,-51.9,4933.9,76.87,-0.53,0.3,DDD,16,5,16,21,26,2.2,0.2,-6.8
16,5,56.2,30.4,2775.92,-2224.08,-44.48,3723.47,68.48,-0.6,0.3,DDD,16,5,16,21,26,2.2,0.3,-5.5
15,3,53.3,35.3,1767.9,-3232.1,-64.64,5119.72,82.43,-0.63,0.4,DDD,16,5,16,21,26,2.2,0.4,-9.5
15,1,53.3,39.6,2710.5,-2289.5,-45.79,4537.81,73.06,-0.5,0.2,DDD,16,5,16,21,26,2.2,0.5,-5.7
14,0,50.0,44.0,2758.21,-2241.79,-44.84,4536.87,73.04,-0.49,0.2,DDD,16,5,16,21,26,2.2,0.6,-5.6
17,7,47.1,29.1,4635.45,-364.55,-7.29,5189.77,64.46,-0.07,0.0,DDD,16,5,16,21,26,2.3,0.2,-0.7
13,3,61.5,36.2,5722.59,722.59,14.45,3710.31,46.95,0.19,0.0,DDD,16,5,16,21,26,2.3,0.3,1.3
13,1,61.5,41.3,5912.72,912.72,18.25,4140.8,50.71,0.22,0.0,DDD,16,5,16,21,26,2.3,0.4,1.6
13,1,61.5,42.0,4578.08,-421.92,-8.44,4964.74,63.72,-0.08,0.0,DDD,16,5,16,21,26,2.3,0.5,-0.8
13,0,61.5,45.6,5469.52,469.52,9.39,4755.98,61.04,0.1,0.0,DDD,16,5,16,21,26,2.3,0.6,0.9
15,6,46.7,26.2,5733.14,733.14,14.66,4416.04,55.51,0.17,0.0,DDD,16,5,16,21,26,2.4,0.2,1.3
