Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
48,9,54.2,20.2,3126.45,-1873.55,-37.47,7644.31,84.41,-0.25,0.1,DNOW,16,5,16,21,26,1.5,0.2,-4.4
44,4,56.8,22.9,3951.87,-1048.13,-20.96,7035.32,79.72,-0.15,0.0,DNOW,16,5,16,21,26,1.5,0.3,-2.2
43,2,55.8,24.2,4353.34,-646.66,-12.93,6853.48,77.66,-0.09,0.0,DNOW,16,5,16,21,26,1.5,0.4,-1.3
41,1,56.1,24.8,3373.89,-1626.11,-32.52,7297.11,82.68,-0.22,0.1,DNOW,16,5,16,21,26,1.5,0.5,-3.7
41,0,56.1,25.4,4478.21,-521.79,-10.44,6796.93,77.02,-0.08,0.0,DNOW,16,5,16,21,26,1.5,0.6,-1.1
44,8,52.3,21.0,3288.28,-1711.72,-34.23,7534.54,80.92,-0.23,0.1,DNOW,16,5,16,21,26,1.6,0.2,-3.9
41,4,56.1,23.5,3642.23,-1357.77,-27.16,7821.55,79.84,-0.17,0.0,DNOW,16,5,16,21,26,1.6,0.3,-3.0
40,2,57.5,24.9,4547.01,-452.99,-9.06,7331.03,74.84,-0.06,0.0,DNOW,16,5,16,21,26,1.6,0.4,-0.9
38,1,55.3,26.1,3041.04,-1958.96,-39.18,8147.48,83.17,-0.24,0.1,DNOW,16,5,16,21,26,1.6,0.5,-4.7
38,0,55.3,26.8,4063.87,-936.13,-18.72,7592.96,77.51,-0.12,0.0,DNOW,16,5,16,21,26,1.6,0.6,-2.0
40,8,50.0,22.2,2773.11,-2226.89,-44.54,6601.89,83.13,-0.34,0.2,DNOW,16,5,16,21,26,1.7,0.2,-5.5
38,4,55.3,24.9,3389.14,-1610.86,-32.22,6866.22,82.18,-0.23,0.1,DNOW,16,5,16,21,26,1.7,0.3,-3.7
37,2,56.8,26.5,4674.16,-325.84,-6.52,6301.75,75.43,-0.05,0.0,DNOW,16,5,16,21,26,1.7,0.4,-0.6
35,1,54.3,27.8,2829.72,-2170.28,-43.41,7111.95,85.12,-0.31,0.1,DNOW,16,5,16,21,26,1.7,0.5,-5.3
35,0,54.3,28.6,4177.52,-822.48,-16.45,6519.91,78.04,-0.13,0.0,DNOW,16,5,16,21,26,1.7,0.6,-1.7
37,8,48.6,23.5,2760.27,-2239.73,-44.79,7389.63,85.23,-0.3,0.1,DNOW,16,5,16,21,26,1.8,0.2,-5.5
34,4,52.9,27.0,2901.89,-2098.11,-41.96,7446.18,85.89,-0.28,0.1,DNOW,16,5,16,21,26,1.8,0.3,-5.1
34,2,55.9,28.3,4774.13,-225.87,-4.52,6656.73,76.78,-0.03,0.0,DNOW,16,5,16,21,26,1.8,0.4,-0.4
32,1,53.1,29.8,2890.24,-2109.76,-42.2,7451.09,85.94,-0.28,0.1,DNOW,16,5,16,21,26,1.8,0.5,-5.1
32,0,53.1,30.8,4266.86,-733.14,-14.66,6870.63,79.25,-0.11,0.0,DNOW,16,5,16,21,26,1.8,0.6,-1.5
35,6,57.1,26.3,10497.04,5497.04,109.94,5306.71,45.58,1.04,1.1,DNOW,16,5,16,21,26,1.9,0.2,7.4
