Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
40,7,62.5,20.1,6007.65,1007.65,20.15,5202.05,63.12,0.19,0.0,DY,16,5,16,21,26,1.5,0.2,1.8
36,2,66.7,23.1,8451.15,3451.15,69.02,4033.91,46.99,0.86,0.6,DY,16,5,16,21,26,1.5,0.3,5.2
35,1,65.7,23.8,8069.44,3069.44,61.39,4223.94,51.25,0.73,0.4,DY,16,5,16,21,26,1.5,0.4,4.7
35,1,65.7,23.9,6034.19,1034.19,20.68,5237.17,63.55,0.2,0.0,DY,16,5,16,21,26,1.5,0.5,1.8
35,0,65.7,24.1,11191.65,6191.65,123.83,5095.67,44.82,1.22,1.5,DY,16,5,16,21,26,1.5,0.6,8.0
40,7,65.0,20.8,7636.01,2636.01,52.72,5265.49,61.85,0.5,0.3,DY,16,5,16,21,26,1.6,0.2,4.1
36,2,69.4,23.8,10741.8,5741.8,114.84,4107.99,38.24,1.4,1.6,DY,16,5,16,21,26,1.6,0.3,7.6
35,1,68.6,24.5,10256.63,5256.63,105.13,4220.09,41.14,1.25,1.3,DY,16,5,16,21,26,1.6,0.4,7.1
35,1,68.6,24.7,7669.73,2669.73,53.39,5303.03,62.29,0.5,0.3,DY,16,5,16,21,26,1.6,0.5,4.2
35,0,68.6,24.8,14225.11,9225.11,184.5,5151.79,36.22,1.79,3.3,DY,16,5,16,21,26,1.6,0.6,10.6
39,6,66.7,21.5,12312.67,7312.67,146.25,4268.56,34.67,1.71,2.5,DY,16,5,16,21,26,1.7,0.2,9.0
35,2,68.6,24.4,12022.81,7022.81,140.46,3966.96,33.0,1.77,2.5,DY,16,5,16,21,26,1.7,0.3,8.8
35,1,68.6,24.9,12111.93,7111.93,142.24,4134.22,34.13,1.72,2.4,DY,16,5,16,21,26,1.7,0.4,8.9
35,1,68.6,25.1,9057.09,4057.09,81.14,5289.51,58.4,0.77,0.6,DY,16,5,16,21,26,1.7,0.5,5.9
35,0,68.6,25.3,16798.25,11798.25,235.96,5222.29,31.09,2.26,5.3,DY,16,5,16,21,26,1.7,0.6,12.3
34,6,67.6,23.9,7638.03,2638.03,52.76,6300.95,70.09,0.42,0.2,DY,16,5,16,21,26,1.8,0.2,4.2
32,3,68.8,26.7,6662.46,1662.46,33.25,6681.76,74.32,0.25,0.1,DY,16,5,16,21,26,1.8,0.3,2.8
30,2,73.3,27.9,8938.02,3938.02,78.76,5893.27,65.55,0.67,0.5,DY,16,5,16,21,26,1.8,0.4,5.7
30,1,73.3,28.6,7015.52,2015.52,40.31,6559.43,72.96,0.31,0.1,DY,16,5,16,21,26,1.8,0.5,3.3
30,1,73.3,28.6,7015.52,2015.52,40.31,6559.43,72.96,0.31,0.1,DY,16,5,16,21,26,1.8,0.6,3.3
30,5,70.0,26.9,8573.01,3573.01,71.46,6166.18,68.59,0.58,0.4,DY,16,5,16,21,26,1.9,0.2,5.3
29,3,72.4,28.7,7428.23,2428.23,48.56,6543.3,72.78,0.37,0.2,DY,16,5,16,21,26,1.9,0.3,3.9
27,2,77.8,30.1,9872.58,4872.58,97.45,5738.07,58.12,0.85,0.8,DY,16,5,16,21,26,1.9,0.4,6.8
27,1,77.8,30.9,7821.86,2821.86,56.44,6413.63,71.34,0.44,0.2,DY,16,5,16,21,26,1.9,0.5,4.4
27,1,77.8,31.0,6709.31,1709.31,34.19,6780.13,75.42,0.25,0.1,DY,16,5,16,21,26,1.9,0.6,2.9
26,5,69.2,30.3,6881.44,1881.44,37.63,5629.88,66.4,0.33,0.1,DY,16,5,16,21,26,2.0,0.2,3.1
25,3,68.0,34.7,5472.71,472.71,9.45,6118.51,72.16,0.08,0.0,DY,16,5,16,21,26,2.0,0.3,0.9
23,2,73.9,36.0,6928.46,1928.46,38.57,5490.54,64.75,0.35,0.1,DY,16,5,16,21,26,2.0,0.4,3.2
23,1,73.9,37.8,5762.72,762.72,15.25,5993.41,70.68,0.13,0.0,DY,16,5,16,21,26,2.0,0.5,1.4
23,1,73.9,38.0,4943.05,-56.95,-1.14,6346.98,74.85,-0.01,0.0,DY,16,5,16,21,26,2.0,0.6,-0.1
22,5,63.6,32.6,4950.49,-49.51,-0.99,5941.43,70.07,-0.01,0.0,DY,16,5,16,21,26,2.1,0.2,-0.1
19,2,68.4,39.2,6941.25,1941.25,38.83,4772.21,56.28,0.41,0.2,DY,16,5,16,21,26,2.1,0.3,3.2
19,2,68.4,39.9,4984.32,-15.68,-0.31,5817.33,68.61,-0.0,0.0,DY,16,5,16,21,26,2.1,0.4,-0.0
19,1,68.4,42.1,4145.68,-854.32,-17.09,6265.21,73.89,-0.14,0.0,DY,16,5,16,21,26,2.1,0.5,-1.8
19,1,68.4,42.2,3556.02,-1443.98,-28.88,6580.13,77.6,-0.22,0.1,DY,16,5,16,21,26,2.1,0.6,-3.2
18,5,61.1,34.0,4228.38,-771.62,-15.43,5973.13,71.9,-0.13,0.0,DY,16,5,16,21,26,2.2,0.2,-1.6
16,2,68.8,43.6,6344.58,1344.58,26.89,5219.88,62.84,0.26,0.1,DY,16,5,16,21,26,2.2,0.3,2.3
16,2,68.8,44.6,4675.59,-324.41,-6.49,6032.03,72.61,-0.05,0.0,DY,16,5,16,21,26,2.2,0.4,-0.6
16,1,68.8,47.3,4029.55,-970.45,-19.41,6346.4,76.4,-0.15,0.0,DY,16,5,16,21,26,2.2,0.5,-2.1
16,1,68.8,47.5,3456.4,-1543.6,-30.87,6625.3,79.75,-0.23,0.1,DY,16,5,16,21,26,2.2,0.6,-3.5
18,5,61.1,35.9,4223.3,-776.7,-15.53,5973.13,71.9,-0.13,0.0,DY,16,5,16,21,26,2.3,0.2,-1.6
16,2,68.8,48.9,6466.43,1466.43,29.33,5219.88,62.84,0.28,0.1,DY,16,5,16,21,26,2.3,0.3,2.5
