Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
54,15,61.1,20.3,3282.06,-1717.94,-34.36,11386.63,91.07,-0.15,0.1,EGHT,16,5,16,21,26,1.5,0.2,-4.0
46,8,63.0,24.0,1284.76,-3715.24,-74.3,11075.39,95.34,-0.34,0.3,EGHT,16,5,16,21,26,1.5,0.3,-12.2
45,5,66.7,25.1,2141.39,-2858.61,-57.17,10837.71,93.29,-0.26,0.1,EGHT,16,5,16,21,26,1.5,0.4,-7.8
42,2,66.7,26.8,2586.46,-2413.54,-48.27,10675.8,91.9,-0.23,0.1,EGHT,16,5,16,21,26,1.5,0.5,-6.1
41,1,68.3,27.7,2332.81,-2667.19,-53.34,10768.07,92.69,-0.25,0.1,EGHT,16,5,16,21,26,1.5,0.6,-7.1
52,14,67.3,20.2,7060.05,2060.05,41.2,11438.52,85.79,0.18,0.1,EGHT,16,5,16,21,26,1.6,0.2,3.4
45,8,66.7,24.4,2009.45,-2990.55,-59.81,10966.94,93.47,-0.27,0.2,EGHT,16,5,16,21,26,1.6,0.3,-8.4
44,5,68.2,26.2,3604.85,-1395.15,-27.9,10619.49,90.51,-0.13,0.0,EGHT,16,5,16,21,26,1.6,0.4,-3.1
41,2,70.7,28.0,3966.38,-1033.62,-20.67,10507.82,89.56,-0.1,0.0,EGHT,16,5,16,21,26,1.6,0.5,-2.2
40,1,72.5,28.9,3400.78,-1599.22,-31.98,10682.53,91.05,-0.15,0.0,EGHT,16,5,16,21,26,1.6,0.6,-3.6
50,14,66.0,20.3,7660.08,2660.08,53.2,15894.99,88.29,0.17,0.1,EGHT,16,5,16,21,26,1.7,0.2,4.2
45,7,66.7,24.2,4506.76,-493.24,-9.86,13384.1,89.52,-0.04,0.0,EGHT,16,5,16,21,26,1.7,0.3,-1.0
43,5,67.4,26.7,4466.58,-533.42,-10.67,13691.64,91.58,-0.04,0.0,EGHT,16,5,16,21,26,1.7,0.4,-1.1
41,2,70.7,28.1,6510.21,1510.21,30.2,13136.5,87.75,0.11,0.0,EGHT,16,5,16,21,26,1.7,0.5,2.6
40,1,72.5,29.2,5402.65,402.65,8.05,13448.36,89.84,0.03,0.0,EGHT,16,5,16,21,26,1.7,0.6,0.7
43,11,65.1,22.0,8075.77,3075.77,61.52,13686.59,89.53,0.22,0.1,EGHT,16,5,16,21,26,1.8,0.2,4.7
41,6,68.3,26.1,6627.06,1627.06,32.54,11542.24,90.19,0.14,0.0,EGHT,16,5,16,21,26,1.8,0.3,2.7
40,4,67.5,27.6,7804.56,2804.56,56.09,11318.14,88.44,0.25,0.1,EGHT,16,5,16,21,26,1.8,0.4,4.4
38,2,73.7,29.1,8261.12,3261.12,65.22,12055.06,88.51,0.27,0.2,EGHT,16,5,16,21,26,1.8,0.5,4.9
37,1,73.0,29.9,6702.11,1702.11,34.04,12350.29,90.68,0.14,0.0,EGHT,16,5,16,21,26,1.8,0.6,2.9
37,10,67.6,23.9,8549.98,3549.98,71.0,11659.48,87.0,0.3,0.2,EGHT,16,5,16,21,26,1.9,0.2,5.3
36,5,72.2,28.7,6446.84,1446.84,28.94,11195.67,90.34,0.13,0.0,EGHT,16,5,16,21,26,1.9,0.3,2.5
34,5,70.6,30.7,2922.51,-2077.49,-41.55,11849.76,95.62,-0.18,0.1,EGHT,16,5,16,21,26,1.9,0.4,-5.0
33,1,75.8,32.5,10131.21,5131.21,102.62,10511.46,84.82,0.49,0.5,EGHT,16,5,16,21,26,1.9,0.5,7.0
33,1,75.8,33.7,8354.6,3354.6,67.09,10841.39,87.48,0.31,0.2,EGHT,16,5,16,21,26,1.9,0.6,5.1
33,9,66.7,24.9,9840.78,4840.78,96.82,11973.3,82.28,0.4,0.4,EGHT,16,5,16,21,26,2.0,0.2,6.7
32,5,68.8,30.1,5175.21,175.21,3.5,12868.83,90.63,0.01,0.0,EGHT,16,5,16,21,26,2.0,0.3,0.3
30,5,66.7,32.5,2346.05,-2653.95,-53.08,13595.52,95.75,-0.2,0.1,EGHT,16,5,16,21,26,2.0,0.4,-7.0
