Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
40,5,70.0,20.1,7912.33,2912.33,58.25,4048.36,37.37,0.72,0.4,ELMD,16,5,16,21,26,1.5,0.2,4.5
38,1,73.7,21.9,15386.37,10386.37,207.73,8305.65,38.64,1.25,2.6,ELMD,16,5,16,21,26,1.5,0.3,11.4
38,1,73.7,22.0,14413.33,9413.33,188.27,7780.4,38.64,1.21,2.3,ELMD,16,5,16,21,26,1.5,0.4,10.7
37,0,73.0,22.6,14205.19,9205.19,184.1,7668.05,38.64,1.2,2.2,ELMD,16,5,16,21,26,1.5,0.5,10.5
37,0,73.0,22.6,14205.19,9205.19,184.1,7668.05,38.64,1.2,2.2,ELMD,16,5,16,21,26,1.5,0.6,10.5
35,5,68.6,23.1,5284.29,284.29,5.69,3259.23,42.54,0.09,0.0,ELMD,16,5,16,21,26,1.6,0.2,0.5
33,1,69.7,25.5,10060.34,5060.34,101.21,5874.13,38.64,0.86,0.9,ELMD,16,5,16,21,26,1.6,0.3,6.9
32,1,68.8,26.2,7611.79,2611.79,52.24,6487.05,56.39,0.4,0.2,ELMD,16,5,16,21,26,1.6,0.4,4.1
32,0,68.8,26.4,9288.03,4288.03,85.76,5450.0,38.83,0.79,0.7,ELMD,16,5,16,21,26,1.6,0.5,6.1
32,0,68.8,26.4,9288.03,4288.03,85.76,5450.0,38.83,0.79,0.7,ELMD,16,5,16,21,26,1.6,0.6,6.1
33,4,69.7,24.2,6808.83,1808.83,36.18,4759.3,45.66,0.38,0.1,ELMD,16,5,16,21,26,1.7,0.2,3.0
32,2,75.0,26.2,11742.29,6742.29,134.85,7936.03,41.9,0.85,1.1,ELMD,16,5,16,21,26,1.7,0.3,8.5
30,1,73.3,28.0,8843.28,3843.28,76.87,8654.09,60.85,0.44,0.3,ELMD,16,5,16,21,26,1.7,0.4,5.6
30,0,73.3,28.2,10790.72,5790.72,115.81,7427.92,43.14,0.78,0.9,ELMD,16,5,16,21,26,1.7,0.5,7.7
30,0,73.3,28.2,10790.72,5790.72,115.81,7427.92,43.14,0.78,0.9,ELMD,16,5,16,21,26,1.7,0.6,7.7
29,4,69.0,24.8,6158.63,1158.63,23.17,5002.47,51.61,0.23,0.1,ELMD,16,5,16,21,26,1.8,0.2,2.0
28,2,75.0,27.1,10620.99,5620.99,112.42,7178.2,41.9,0.78,0.9,ELMD,16,5,16,21,26,1.8,0.3,7.5
26,1,73.1,29.2,7998.81,2998.81,59.98,8945.95,58.49,0.34,0.2,ELMD,16,5,16,21,26,1.8,0.4,4.6
26,0,73.1,29.5,9760.29,4760.29,95.21,7547.77,48.46,0.63,0.6,ELMD,16,5,16,21,26,1.8,0.5,6.6
26,0,73.1,29.5,9760.29,4760.29,95.21,7547.77,48.46,0.63,0.6,ELMD,16,5,16,21,26,1.8,0.6,6.6
23,4,65.2,26.7,3977.45,-1022.55,-20.45,3984.6,52.43,-0.26,0.1,ELMD,16,5,16,21,26,1.9,0.2,-2.2
23,2,73.9,29.8,6951.79,1951.79,39.04,5608.67,46.76,0.35,0.1,ELMD,16,5,16,21,26,1.9,0.3,3.2
22,1,72.7,32.4,5898.65,898.65,17.97,6634.21,55.31,0.14,0.0,ELMD,16,5,16,21,26,1.9,0.4,1.6
22,0,72.7,32.7,7197.63,2197.63,43.95,5482.34,45.71,0.4,0.2,ELMD,16,5,16,21,26,1.9,0.5,3.6
22,0,72.7,32.7,7197.63,2197.63,43.95,5482.34,45.71,0.4,0.2,ELMD,16,5,16,21,26,1.9,0.6,3.6
21,2,76.2,28.8,14529.25,9529.25,190.58,4603.21,30.28,2.07,3.9,ELMD,16,5,16,21,26,2.0,0.2,10.8
21,1,76.2,31.0,13313.0,8313.0,166.26,5949.9,40.22,1.4,2.3,ELMD,16,5,16,21,26,2.0,0.3,9.9
21,1,76.2,32.2,11174.86,6174.86,123.5,7370.49,49.82,0.84,1.0,ELMD,16,5,16,21,26,2.0,0.4,8.0
21,0,76.2,32.6,13635.74,8635.74,172.71,6762.63,45.71,1.28,2.2,ELMD,16,5,16,21,26,2.0,0.5,10.1
21,0,76.2,32.6,13635.74,8635.74,172.71,6762.63,45.71,1.28,2.2,ELMD,16,5,16,21,26,2.0,0.6,10.1
21,2,81.0,28.4,19142.41,14142.41,282.85,5946.82,30.28,2.38,6.7,ELMD,16,5,16,21,26,2.1,0.2,13.8
21,1,81.0,30.6,17540.0,12540.0,250.8,7686.6,40.22,1.63,4.1,ELMD,16,5,16,21,26,2.1,0.3,12.8
21,1,81.0,31.9,14722.97,9722.97,194.46,9521.84,49.82,1.02,2.0,ELMD,16,5,16,21,26,2.1,0.4,10.9
21,0,81.0,32.2,17965.22,12965.22,259.3,8736.55,45.71,1.48,3.8,ELMD,16,5,16,21,26,2.1,0.5,13.1
21,0,81.0,32.2,17965.22,12965.22,259.3,8736.55,45.71,1.48,3.8,ELMD,16,5,16,21,26,2.1,0.6,13.1
18,2,77.8,28.2,19851.11,14851.11,297.02,7851.09,35.16,1.89,5.6,ELMD,16,5,16,21,26,2.2,0.2,14.2
18,1,77.8,30.7,18189.37,13189.37,263.79,9227.01,41.32,1.43,3.8,ELMD,16,5,16,21,26,2.2,0.3,13.2
18,1,77.8,32.2,15268.05,10268.05,205.36,11331.23,50.75,0.91,1.9,ELMD,16,5,16,21,26,2.2,0.4,11.3
18,0,77.8,32.6,18630.33,13630.33,272.61,10206.16,45.71,1.34,3.7,ELMD,16,5,16,21,26,2.2,0.5,13.5
18,0,77.8,32.6,18630.33,13630.33,272.61,10206.16,45.71,1.34,3.7,ELMD,16,5,16,21,26,2.2,0.6,13.5
15,2,73.3,29.7,8316.03,3316.03,66.32,2806.52,28.42,1.18,0.8,ELMD,16,5,16,21,26,2.3,0.2,5.0
15,1,73.3,32.7,7619.89,2619.89,52.4,4080.07,41.32,0.64,0.3,ELMD,16,5,16,21,26,2.3,0.3,4.1
15,1,73.3,34.5,6396.09,1396.09,27.92,5010.53,50.75,0.28,0.1,ELMD,16,5,16,21,26,2.3,0.4,2.4
15,0,73.3,35.0,7804.62,2804.62,56.09,4513.04,45.71,0.62,0.3,ELMD,16,5,16,21,26,2.3,0.5,4.4
15,0,73.3,35.0,7804.62,2804.62,56.09,4513.04,45.71,0.62,0.3,ELMD,16,5,16,21,26,2.3,0.6,4.4
15,2,80.0,28.1,10768.92,5768.92,115.38,3139.26,28.38,1.84,2.1,ELMD,16,5,16,21,26,2.4,0.2,7.6
15,1,80.0,31.1,9867.46,4867.46,97.35,4563.8,41.32,1.07,1.0,ELMD,16,5,16,21,26,2.4,0.3,6.7
15,1,80.0,32.9,8282.68,3282.68,65.65,5604.57,50.75,0.59,0.4,ELMD,16,5,16,21,26,2.4,0.4,5.0
15,0,80.0,33.4,10106.67,5106.67,102.13,5048.1,45.71,1.01,1.0,ELMD,16,5,16,21,26,2.4,0.5,7.0
15,0,80.0,33.4,10106.67,5106.67,102.13,5048.1,45.71,1.01,1.0,ELMD,16,5,16,21,26,2.4,0.6,7.0
13,2,69.2,39.4,10363.29,5363.29,107.27,2937.37,28.11,1.83,2.0,ELMD,16,5,16,21,26,2.5,0.2,7.2
13,1,69.2,42.9,9495.78,4495.78,89.92,4026.77,42.05,1.12,1.0,ELMD,16,5,16,21,26,2.5,0.3,6.4
13,1,69.2,44.9,7970.7,2970.7,59.41,4822.69,53.69,0.62,0.4,ELMD,16,5,16,21,26,2.5,0.4,4.6
13,0,69.2,45.5,9725.98,4725.98,94.52,4397.13,44.84,1.07,1.0,ELMD,16,5,16,21,26,2.5,0.5,6.6
13,0,69.2,45.5,9725.98,4725.98,94.52,4397.13,44.84,1.07,1.0,ELMD,16,5,16,21,26,2.5,0.6,6.6
11,2,63.6,45.1,13997.58,8997.58,179.95,3592.78,25.67,2.5,4.5,ELMD,16,5,16,21,26,2.6,0.2,10.4
11,1,63.6,49.3,12825.85,7825.85,156.52,4704.47,36.68,1.66,2.6,ELMD,16,5,16,21,26,2.6,0.3,9.5
11,1,63.6,51.6,10765.94,5765.94,115.32,5516.67,51.24,1.05,1.2,ELMD,16,5,16,21,26,2.6,0.4,7.6
11,0,63.6,52.4,13136.78,8136.78,162.74,4778.51,36.38,1.7,2.8,ELMD,16,5,16,21,26,2.6,0.5,9.7
11,0,63.6,52.4,13136.78,8136.78,162.74,4778.51,36.38,1.7,2.8,ELMD,16,5,16,21,26,2.6,0.6,9.7
10,2,60.0,52.8,14117.63,9117.63,182.35,4323.55,30.63,2.11,3.8,ELMD,16,5,16,21,26,2.7,0.2,10.5
10,1,60.0,57.4,12935.84,7935.84,158.72,5303.55,41.0,1.5,2.4,ELMD,16,5,16,21,26,2.7,0.3,9.6
10,1,60.0,60.0,10858.27,5858.27,117.17,6019.54,55.44,0.97,1.1,ELMD,16,5,16,21,26,2.7,0.4,7.7
10,0,60.0,60.8,13249.44,8249.44,164.99,5195.47,39.21,1.59,2.6,ELMD,16,5,16,21,26,2.7,0.5,9.8
