Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
48,7,75.0,19.4,13686.41,8686.41,173.73,5031.78,30.29,1.73,3.0,ERII,16,5,16,21,26,1.5,0.2,10.2
43,2,74.4,22.4,13704.8,8704.8,174.1,5552.58,33.38,1.57,2.7,ERII,16,5,16,21,26,1.5,0.3,10.2
42,1,73.8,23.0,13411.41,8411.41,168.23,5539.28,34.02,1.52,2.6,ERII,16,5,16,21,26,1.5,0.4,9.9
41,0,73.2,23.6,13233.06,8233.06,164.66,5635.13,35.08,1.46,2.4,ERII,16,5,16,21,26,1.5,0.5,9.8
41,0,73.2,23.6,13233.06,8233.06,164.66,5635.13,35.08,1.46,2.4,ERII,16,5,16,21,26,1.5,0.6,9.8
42,6,73.8,22.0,11018.3,6018.3,120.37,4358.62,32.59,1.38,1.7,ERII,16,5,16,21,26,1.6,0.2,7.9
38,2,73.7,24.8,10677.8,5677.8,113.56,5311.17,40.97,1.07,1.2,ERII,16,5,16,21,26,1.6,0.3,7.6
37,1,73.0,25.6,10449.21,5449.21,108.98,5296.79,41.76,1.03,1.1,ERII,16,5,16,21,26,1.6,0.4,7.3
36,0,72.2,26.3,10310.26,5310.26,106.21,5385.8,43.03,0.99,1.1,ERII,16,5,16,21,26,1.6,0.5,7.2
36,0,72.2,26.3,10310.26,5310.26,106.21,5385.8,43.03,0.99,1.1,ERII,16,5,16,21,26,1.6,0.6,7.2
38,6,76.3,23.2,9019.25,4019.25,80.38,4541.81,41.99,0.88,0.7,ERII,16,5,16,21,26,1.7,0.2,5.8
35,2,80.0,25.8,12757.35,7757.35,155.15,6234.58,41.26,1.24,1.9,ERII,16,5,16,21,26,1.7,0.3,9.4
34,1,79.4,26.6,10954.6,5954.6,119.09,7288.89,48.88,0.82,1.0,ERII,16,5,16,21,26,1.7,0.4,7.8
33,0,78.8,27.5,10719.4,5719.4,114.39,7452.54,49.98,0.77,0.9,ERII,16,5,16,21,26,1.7,0.5,7.6
33,0,78.8,27.5,10719.4,5719.4,114.39,7452.54,49.98,0.77,0.9,ERII,16,5,16,21,26,1.7,0.6,7.6
36,7,77.8,22.4,6753.28,1753.28,35.07,6622.82,59.93,0.26,0.1,ERII,16,5,16,21,26,1.8,0.2,2.9
32,2,84.4,28.0,11924.36,6924.36,138.49,7225.07,48.03,0.96,1.3,ERII,16,5,16,21,26,1.8,0.3,8.7
32,1,84.4,28.6,11887.38,6887.38,137.75,9439.58,54.77,0.73,1.0,ERII,16,5,16,21,26,1.8,0.4,8.7
32,1,87.5,28.3,11808.54,6808.54,136.17,9491.28,55.07,0.72,1.0,ERII,16,5,16,21,26,1.8,0.5,8.6
31,0,87.1,29.5,11632.16,6632.16,132.64,9606.94,55.74,0.69,0.9,ERII,16,5,16,21,26,1.8,0.6,8.4
32,6,78.1,25.5,8109.34,3109.34,62.19,7210.32,59.93,0.43,0.3,ERII,16,5,16,21,26,1.9,0.2,4.8
29,2,86.2,30.7,12971.87,7971.87,159.44,7126.08,46.56,1.12,1.8,ERII,16,5,16,21,26,1.9,0.3,9.6
29,1,86.2,31.8,13877.86,8877.86,177.56,9991.48,54.77,0.89,1.6,ERII,16,5,16,21,26,1.9,0.4,10.3
29,1,89.7,31.5,13785.82,8785.82,175.72,10046.21,55.07,0.87,1.5,ERII,16,5,16,21,26,1.9,0.5,10.2
28,0,89.3,33.0,13579.9,8579.9,171.6,10168.63,55.74,0.84,1.4,ERII,16,5,16,21,26,1.9,0.6,10.1
25,3,80.0,35.4,10365.54,5365.54,107.31,3945.8,32.26,1.36,1.5,ERII,16,5,16,21,26,2.0,0.2,7.3
24,2,83.3,36.7,8923.48,3923.48,78.47,4659.24,44.25,0.84,0.7,ERII,16,5,16,21,26,2.0,0.3,5.7
24,1,83.3,38.0,9546.72,4546.72,90.93,6532.73,54.77,0.7,0.6,ERII,16,5,16,21,26,2.0,0.4,6.4
23,1,87.0,38.7,8821.61,3821.61,76.43,6612.97,55.44,0.58,0.4,ERII,16,5,16,21,26,2.0,0.5,5.6
23,0,87.0,39.7,9341.75,4341.75,86.83,6648.55,55.74,0.65,0.6,ERII,16,5,16,21,26,2.0,0.6,6.2
21,4,71.4,39.7,5920.34,920.34,18.41,3865.71,55.34,0.24,0.0,ERII,16,5,16,21,26,2.1,0.2,1.6
20,2,75.0,42.0,5723.48,723.48,14.47,3503.05,48.03,0.21,0.0,ERII,16,5,16,21,26,2.1,0.3,1.3
20,1,75.0,43.6,6123.22,1123.22,22.46,4911.64,54.77,0.23,0.1,ERII,16,5,16,21,26,2.1,0.4,2.0
19,1,78.9,44.7,5326.0,326.0,6.52,4886.43,54.49,0.07,0.0,ERII,16,5,16,21,26,2.1,0.5,0.6
19,0,78.9,46.0,5991.75,991.75,19.84,4998.72,55.74,0.2,0.0,ERII,16,5,16,21,26,2.1,0.6,1.8
19,2,78.9,40.7,9664.65,4664.65,93.29,4312.57,37.82,1.08,1.0,ERII,16,5,16,21,26,2.2,0.2,6.5
19,1,84.2,42.0,10740.27,5740.27,114.81,6573.58,48.03,0.87,1.0,ERII,16,5,16,21,26,2.2,0.3,7.6
19,1,84.2,42.1,9346.26,4346.26,86.93,7496.95,54.77,0.58,0.5,ERII,16,5,16,21,26,2.2,0.4,6.2
18,1,88.9,43.1,8129.42,3129.42,62.59,7458.46,54.49,0.42,0.3,ERII,16,5,16,21,26,2.2,0.5,4.8
18,0,88.9,44.4,9145.59,4145.59,82.91,7629.86,55.74,0.54,0.4,ERII,16,5,16,21,26,2.2,0.6,6.0
16,2,75.0,42.1,7635.04,2635.04,52.7,4610.25,40.25,0.57,0.3,ERII,16,5,16,21,26,2.3,0.2,4.1
16,1,75.0,45.6,7710.52,2710.52,54.21,5500.74,48.03,0.49,0.3,ERII,16,5,16,21,26,2.3,0.3,4.2
16,1,75.0,45.6,6709.75,1709.75,34.2,6273.4,54.77,0.27,0.1,ERII,16,5,16,21,26,2.3,0.4,2.9
15,1,80.0,47.1,5836.17,836.17,16.72,6580.57,57.45,0.13,0.0,ERII,16,5,16,21,26,2.3,0.5,1.5
15,0,80.0,48.7,6565.69,1565.69,31.31,6384.63,55.74,0.25,0.1,ERII,16,5,16,21,26,2.3,0.6,2.7
14,2,71.4,47.6,6459.84,1459.84,29.2,5744.93,47.96,0.25,0.1,ERII,16,5,16,21,26,2.4,0.2,2.5
14,1,71.4,51.6,6523.71,1523.71,30.47,5950.88,49.68,0.26,0.1,ERII,16,5,16,21,26,2.4,0.3,2.6
14,1,71.4,48.0,4996.0,-4.0,-0.08,7362.48,61.46,-0.0,0.0,ERII,16,5,16,21,26,2.4,0.4,-0.0
13,1,76.9,53.8,4937.86,-62.14,-1.24,7416.21,61.91,-0.01,0.0,ERII,16,5,16,21,26,2.4,0.5,-0.1
