Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
43,4,67.4,16.7,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.5,0.2,
43,2,69.8,18.1,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.5,0.3,
42,1,71.4,18.5,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.5,0.4,
42,1,71.4,18.5,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.5,0.5,
41,0,70.7,19.0,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.5,0.6,
38,3,65.8,20.0,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.6,0.2,
38,2,65.8,20.9,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.6,0.3,
37,1,67.6,21.5,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.6,0.4,
37,1,67.6,21.5,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.6,0.5,
36,0,66.7,22.1,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.6,0.6,
36,4,66.7,21.8,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.7,0.2,
35,1,68.6,23.8,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.7,0.3,
35,1,68.6,23.8,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.7,0.4,
35,1,68.6,23.8,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.7,0.5,
34,0,67.6,24.6,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.7,0.6,
33,4,69.7,23.3,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.8,0.2,
32,1,71.9,25.6,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.8,0.3,
32,1,71.9,25.5,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.8,0.4,
32,1,71.9,25.5,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.8,0.5,
31,0,71.0,26.5,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.8,0.6,
27,4,70.4,25.1,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.9,0.2,
27,1,74.1,28.1,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.9,0.3,
26,1,73.1,27.9,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.9,0.4,
26,1,73.1,27.9,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.9,0.5,
26,0,73.1,29.2,,,,,0.0,999.0,,ESNT,16,5,16,21,26,1.9,0.6,
24,4,79.2,27.2,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.0,0.2,
24,1,83.3,30.8,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.0,0.3,
23,1,82.6,30.4,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.0,0.4,
23,1,82.6,30.4,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.0,0.5,
23,1,82.6,30.4,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.0,0.6,
22,4,77.3,28.0,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.1,0.2,
22,1,81.8,32.0,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.1,0.3,
21,1,81.0,31.7,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.1,0.4,
21,1,81.0,31.7,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.1,0.5,
21,1,81.0,31.7,,,,,0.0,999.0,,ESNT,16,5,16,21,26,2.1,0.6,
20,4,75.0,30.5,3924.28,-1075.72,-21.51,5095.09,73.44,-0.21,0.0,ESNT,16,5,16,21,26,2.2,0.2,-2.3
20,1,80.0,35.8,14533.84,9533.84,190.68,2757.23,18.97,3.46,6.6,ESNT,16,5,16,21,26,2.2,0.3,10.8
19,1,78.9,35.5,4836.23,-163.77,-3.28,4666.93,67.27,-0.04,0.0,ESNT,16,5,16,21,26,2.2,0.4,-0.3
19,1,78.9,35.5,4836.23,-163.77,-3.28,4666.93,67.27,-0.04,0.0,ESNT,16,5,16,21,26,2.2,0.5,-0.3
19,1,78.9,35.5,4836.23,-163.77,-3.28,4666.93,67.27,-0.04,0.0,ESNT,16,5,16,21,26,2.2,0.6,-0.3
