Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
55,7,67.3,18.5,32775.07,27775.07,555.5,19377.39,58.0,1.43,7.9,GSIT,16,5,16,21,26,1.5,0.2,19.8
52,5,67.3,19.3,23457.12,18457.12,369.14,19422.5,69.04,0.95,3.5,GSIT,16,5,16,21,26,1.5,0.3,16.0
50,2,70.0,20.5,32721.41,27721.41,554.43,18887.01,56.62,1.47,8.2,GSIT,16,5,16,21,26,1.5,0.4,19.8
49,2,71.4,20.4,26398.35,21398.35,427.97,20512.4,75.14,1.04,4.5,GSIT,16,5,16,21,26,1.5,0.5,17.3
48,0,70.8,21.4,28280.13,23280.13,465.6,20028.67,69.47,1.16,5.4,GSIT,16,5,16,21,26,1.5,0.6,18.1
50,6,66.0,19.3,55234.64,50234.64,1004.69,13386.61,24.24,3.75,37.7,GSIT,16,5,16,21,26,1.6,0.2,25.9
47,4,66.0,21.0,32021.21,27021.21,540.42,14128.88,44.12,1.91,10.3,GSIT,16,5,16,21,26,1.6,0.3,19.5
46,2,69.6,21.7,42815.09,37815.09,756.3,14191.15,33.15,2.66,20.1,GSIT,16,5,16,21,26,1.6,0.4,22.9
45,1,68.9,22.2,35373.93,30373.93,607.48,15923.44,45.01,1.91,11.6,GSIT,16,5,16,21,26,1.6,0.5,20.7
44,0,68.2,22.8,36946.11,31946.11,638.92,15557.44,42.11,2.05,13.1,GSIT,16,5,16,21,26,1.6,0.6,21.2
46,6,69.6,18.6,77009.58,72009.58,1440.19,13251.95,17.21,5.43,78.2,GSIT,16,5,16,21,26,1.7,0.2,30.0
43,4,69.8,20.5,44644.8,39644.8,792.9,13986.76,31.33,2.83,22.4,GSIT,16,5,16,21,26,1.7,0.3,23.4
42,2,73.8,21.2,59693.92,54693.92,1093.88,14048.4,23.53,3.89,42.6,GSIT,16,5,16,21,26,1.7,0.4,26.9
41,1,73.2,21.7,49319.27,44319.27,886.39,15763.26,31.96,2.81,24.9,GSIT,16,5,16,21,26,1.7,0.5,24.6
40,0,72.5,22.3,51511.23,46511.23,930.22,15400.94,29.9,3.02,28.1,GSIT,16,5,16,21,26,1.7,0.6,25.1
42,5,73.8,20.0,108161.73,103161.73,2063.23,10189.64,9.42,10.12,208.8,GSIT,16,5,16,21,26,1.8,0.2,34.3
41,3,75.6,21.3,126632.87,121632.87,2432.66,13093.46,10.34,9.29,226.0,GSIT,16,5,16,21,26,1.8,0.3,36.4
40,2,77.5,22.1,98873.81,93873.81,1877.48,15425.87,15.6,6.09,114.3,GSIT,16,5,16,21,26,1.8,0.4,33.2
39,1,76.9,22.6,95437.58,90437.58,1808.75,15815.31,16.57,5.72,103.5,GSIT,16,5,16,21,26,1.8,0.5,32.7
