Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
44,6,70.5,24.5,11937.07,6937.07,138.74,7083.55,41.22,0.98,1.4,III,16,5,16,21,26,1.5,0.2,8.7
40,2,70.0,27.1,10885.94,5885.94,117.72,6545.82,38.93,0.9,1.1,III,16,5,16,21,26,1.5,0.3,7.8
39,0,71.8,28.2,13584.77,8584.77,171.7,7636.79,38.93,1.12,1.9,III,16,5,16,21,26,1.5,0.4,10.1
39,0,71.8,28.2,13584.77,8584.77,171.7,7636.79,38.93,1.12,1.9,III,16,5,16,21,26,1.5,0.5,10.1
39,0,71.8,28.2,13584.77,8584.77,171.7,7636.79,38.93,1.12,1.9,III,16,5,16,21,26,1.5,0.6,10.1
39,5,69.2,26.3,6604.93,1604.93,32.1,3705.25,41.29,0.43,0.1,III,16,5,16,21,26,1.6,0.2,2.7
35,2,68.6,29.3,5576.12,576.12,11.52,3822.2,43.53,0.15,0.0,III,16,5,16,21,26,1.6,0.3,1.1
34,0,70.6,30.6,6958.55,1958.55,39.17,4459.23,43.53,0.44,0.2,III,16,5,16,21,26,1.6,0.4,3.2
34,0,70.6,30.6,6958.55,1958.55,39.17,4459.23,43.53,0.44,0.2,III,16,5,16,21,26,1.6,0.5,3.2
34,0,70.6,30.6,6958.55,1958.55,39.17,4459.23,43.53,0.44,0.2,III,16,5,16,21,26,1.6,0.6,3.2
35,4,68.6,28.7,6865.38,1865.38,37.31,3250.97,35.34,0.57,0.2,III,16,5,16,21,26,1.7,0.2,3.1
32,2,68.8,31.4,5923.66,923.66,18.47,3451.43,39.01,0.27,0.0,III,16,5,16,21,26,1.7,0.3,1.6
31,0,71.0,32.8,7392.25,2392.25,47.85,4026.67,39.01,0.59,0.3,III,16,5,16,21,26,1.7,0.4,3.8
31,0,71.0,32.8,7392.25,2392.25,47.85,4026.67,39.01,0.59,0.3,III,16,5,16,21,26,1.7,0.5,3.8
31,0,71.0,32.8,7392.25,2392.25,47.85,4026.67,39.01,0.59,0.3,III,16,5,16,21,26,1.7,0.6,3.8
35,4,71.4,28.1,8393.46,3393.46,67.87,3354.36,30.47,1.01,0.7,III,16,5,16,21,26,1.8,0.2,5.1
32,2,71.9,30.8,7089.5,2089.5,41.79,3498.71,33.04,0.6,0.3,III,16,5,16,21,26,1.8,0.3,3.4
31,0,74.2,32.2,8847.12,3847.12,76.94,4179.65,33.84,0.92,0.7,III,16,5,16,21,26,1.8,0.4,5.6
31,0,74.2,32.2,8847.12,3847.12,76.94,4179.65,33.84,0.92,0.7,III,16,5,16,21,26,1.8,0.5,5.6
31,0,74.2,32.2,8847.12,3847.12,76.94,4179.65,33.84,0.92,0.7,III,16,5,16,21,26,1.8,0.6,5.6
31,4,71.0,29.9,6254.31,1254.31,25.09,3274.3,38.89,0.38,0.1,III,16,5,16,21,26,1.9,0.2,2.2
28,2,71.4,33.2,5084.86,84.86,1.7,3274.3,40.88,0.03,0.0,III,16,5,16,21,26,1.9,0.3,0.2
27,0,74.1,34.9,6345.49,1345.49,26.91,3511.27,37.58,0.38,0.1,III,16,5,16,21,26,1.9,0.4,2.3
27,0,74.1,34.9,6345.49,1345.49,26.91,3511.27,37.58,0.38,0.1,III,16,5,16,21,26,1.9,0.5,2.3
27,0,74.1,34.9,6345.49,1345.49,26.91,3511.27,37.58,0.38,0.1,III,16,5,16,21,26,1.9,0.6,2.3
23,5,69.6,36.5,5425.45,425.45,8.51,4389.55,46.69,0.1,0.0,III,16,5,16,21,26,2.0,0.2,0.8
21,2,71.4,43.1,5416.39,416.39,8.33,5397.84,49.91,0.08,0.0,III,16,5,16,21,26,2.0,0.3,0.8
20,1,70.0,44.0,4839.73,-160.27,-3.21,4562.62,50.51,-0.04,0.0,III,16,5,16,21,26,2.0,0.4,-0.3
20,0,70.0,46.0,5668.76,668.76,13.38,5344.18,50.51,0.13,0.0,III,16,5,16,21,26,2.0,0.5,1.2
20,0,70.0,46.0,5668.76,668.76,13.38,5344.18,50.51,0.13,0.0,III,16,5,16,21,26,2.0,0.6,1.2
20,5,65.0,39.1,5069.01,69.01,1.38,3893.06,43.44,0.02,0.0,III,16,5,16,21,26,2.1,0.2,0.1
19,1,68.4,45.6,6168.92,1168.92,23.38,4981.88,46.64,0.23,0.1,III,16,5,16,21,26,2.1,0.3,2.0
18,1,66.7,45.9,5153.24,153.24,3.06,4161.64,46.64,0.04,0.0,III,16,5,16,21,26,2.1,0.4,0.3
18,0,66.7,48.2,6035.97,1035.97,20.72,4874.51,46.64,0.21,0.0,III,16,5,16,21,26,2.1,0.5,1.8
18,0,66.7,48.2,6035.97,1035.97,20.72,4874.51,46.64,0.21,0.0,III,16,5,16,21,26,2.1,0.6,1.8
17,5,58.8,47.6,5390.75,390.75,7.81,4626.29,46.18,0.08,0.0,III,16,5,16,21,26,2.2,0.2,0.7
16,1,62.5,55.7,6803.95,1803.95,36.08,5494.72,46.64,0.33,0.1,III,16,5,16,21,26,2.2,0.3,3.0
15,1,60.0,56.7,5683.72,683.72,13.67,4590.04,46.64,0.15,0.0,III,16,5,16,21,26,2.2,0.4,1.2
15,0,60.0,59.5,6657.31,1657.31,33.15,5376.29,46.64,0.31,0.1,III,16,5,16,21,26,2.2,0.5,2.8
15,0,60.0,59.5,6657.31,1657.31,33.15,5376.29,46.64,0.31,0.1,III,16,5,16,21,26,2.2,0.6,2.8
12,4,50.0,60.4,4397.41,-602.59,-12.05,3451.21,47.18,-0.17,0.0,III,16,5,16,21,26,2.3,0.2,-1.2
12,1,58.3,67.7,5705.68,705.68,14.11,3400.75,40.42,0.21,0.0,III,16,5,16,21,26,2.3,0.3,1.3
11,1,54.5,70.2,4766.27,-233.73,-4.67,2840.84,40.42,-0.08,0.0,III,16,5,16,21,26,2.3,0.4,-0.5
11,0,54.5,73.9,5582.71,582.71,11.65,3327.46,40.42,0.18,0.0,III,16,5,16,21,26,2.3,0.5,1.1
11,0,54.5,73.9,5582.71,582.71,11.65,3327.46,40.42,0.18,0.0,III,16,5,16,21,26,2.3,0.6,1.1
11,3,54.5,72.0,4831.87,-168.13,-3.36,4647.68,52.27,-0.04,0.0,III,16,5,16,21,26,2.4,0.2,-0.3
10,1,50.0,86.3,4246.56,-753.44,-15.07,3772.95,50.28,-0.2,0.0,III,16,5,16,21,26,2.4,0.3,-1.6
9,1,44.4,91.4,3547.38,-1452.62,-29.05,3151.75,50.28,-0.46,0.1,III,16,5,16,21,26,2.4,0.4,-3.2
9,0,44.4,96.0,4155.04,-844.96,-16.9,3691.63,50.28,-0.23,0.0,III,16,5,16,21,26,2.4,0.5,-1.8
9,0,44.4,96.0,4155.04,-844.96,-16.9,3691.63,50.28,-0.23,0.0,III,16,5,16,21,26,2.4,0.6,-1.8
8,3,50.0,71.4,4015.64,-984.36,-19.69,4876.86,54.84,-0.2,0.0,III,16,5,16,21,26,2.5,0.2,-2.1
7,1,42.9,78.1,3736.63,-1263.37,-25.27,3429.53,50.94,-0.37,0.1,III,16,5,16,21,26,2.5,0.3,-2.8
