Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
43,13,51.2,19.0,688.75,-4311.25,-86.22,4955.48,92.08,-0.87,0.8,ILPT,16,5,16,21,26,1.5,0.2,-21.0
38,9,60.5,21.0,607.1,-4392.9,-87.86,6351.63,94.29,-0.69,0.6,ILPT,16,5,16,21,26,1.5,0.3,-22.2
34,4,55.9,24.8,512.51,-4487.49,-89.75,5064.55,94.11,-0.89,0.8,ILPT,16,5,16,21,26,1.5,0.4,-23.8
34,3,61.8,24.4,700.83,-4299.17,-85.98,6621.49,93.85,-0.65,0.6,ILPT,16,5,16,21,26,1.5,0.5,-20.9
32,1,59.4,26.8,689.25,-4310.75,-86.22,6628.65,93.95,-0.65,0.6,ILPT,16,5,16,21,26,1.5,0.6,-21.0
42,13,54.8,18.9,868.23,-4131.77,-82.64,4876.77,90.54,-0.85,0.7,ILPT,16,5,16,21,26,1.6,0.2,-18.8
35,8,60.0,22.2,592.21,-4407.79,-88.16,5990.77,94.05,-0.74,0.7,ILPT,16,5,16,21,26,1.6,0.3,-22.4
33,4,57.6,25.3,527.0,-4473.0,-89.46,5077.1,94.26,-0.88,0.8,ILPT,16,5,16,21,26,1.6,0.4,-23.5
31,3,61.3,26.5,506.89,-4493.11,-89.86,6374.02,95.54,-0.7,0.6,ILPT,16,5,16,21,26,1.6,0.5,-23.9
31,1,61.3,27.4,749.96,-4250.04,-85.0,6231.31,93.4,-0.68,0.6,ILPT,16,5,16,21,26,1.6,0.6,-20.2
39,12,59.0,19.9,1258.38,-3741.62,-74.83,5604.13,87.28,-0.67,0.5,ILPT,16,5,16,21,26,1.7,0.2,-15.2
32,8,59.4,24.0,465.06,-4534.94,-90.7,5594.03,94.44,-0.81,0.7,ILPT,16,5,16,21,26,1.7,0.3,-24.7
31,3,58.1,26.6,878.55,-4121.45,-82.43,6154.58,91.52,-0.67,0.6,ILPT,16,5,16,21,26,1.7,0.4,-18.7
29,3,62.1,28.2,536.32,-4463.68,-89.27,6376.67,94.82,-0.7,0.6,ILPT,16,5,16,21,26,1.7,0.5,-23.4
29,1,62.1,29.1,839.5,-4160.5,-83.21,6179.92,91.9,-0.67,0.6,ILPT,16,5,16,21,26,1.7,0.6,-19.2
35,12,57.1,22.1,1382.65,-3617.35,-72.35,6220.68,88.4,-0.58,0.4,ILPT,16,5,16,21,26,1.8,0.2,-14.2
29,7,55.2,25.3,854.82,-4145.18,-82.9,5222.98,90.03,-0.79,0.7,ILPT,16,5,16,21,26,1.8,0.3,-19.0
28,4,60.7,28.4,1184.07,-3815.93,-76.32,6017.56,89.82,-0.63,0.5,ILPT,16,5,16,21,26,1.8,0.4,-15.8
26,3,57.7,30.2,947.7,-4052.3,-81.05,6153.7,91.85,-0.66,0.5,ILPT,16,5,16,21,26,1.8,0.5,-18.0
26,2,61.5,31.4,938.56,-4061.44,-81.23,6158.96,91.93,-0.66,0.5,ILPT,16,5,16,21,26,1.8,0.6,-18.1
26,10,53.8,23.3,1460.56,-3539.44,-70.79,4347.02,82.0,-0.81,0.6,ILPT,16,5,16,21,26,1.9,0.2,-13.6
23,6,52.2,25.7,937.5,-4062.5,-81.25,4601.4,86.8,-0.88,0.7,ILPT,16,5,16,21,26,1.9,0.3,-18.1
22,3,54.5,31.3,1222.88,-3777.12,-75.54,4557.75,85.97,-0.83,0.6,ILPT,16,5,16,21,26,1.9,0.4,-15.4
21,2,52.4,32.1,1249.73,-3750.27,-75.01,4541.42,85.67,-0.83,0.6,ILPT,16,5,16,21,26,1.9,0.5,-15.2
21,2,57.1,33.0,1072.66,-3927.34,-78.55,4649.09,87.7,-0.84,0.7,ILPT,16,5,16,21,26,1.9,0.6,-16.8
23,10,47.8,23.6,801.6,-4198.4,-83.97,4750.52,90.03,-0.88,0.7,ILPT,16,5,16,21,26,2.0,0.2,-19.6
22,6,54.5,25.8,1097.49,-3902.51,-78.05,4451.07,84.35,-0.88,0.7,ILPT,16,5,16,21,26,2.0,0.3,-16.5
20,3,55.0,34.1,1113.61,-3886.39,-77.73,4761.68,86.75,-0.82,0.6,ILPT,16,5,16,21,26,2.0,0.4,-16.4
20,2,55.0,33.7,1503.74,-3496.26,-69.93,4511.7,82.19,-0.77,0.5,ILPT,16,5,16,21,26,2.0,0.5,-13.3
