Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
46,11,56.5,21.2,1777.07,-3222.93,-64.46,6138.14,80.64,-0.53,0.3,INVX,16,5,16,21,26,1.5,0.2,-9.5
42,4,61.9,24.5,2433.11,-2566.89,-51.34,6235.55,75.56,-0.41,0.2,INVX,16,5,16,21,26,1.5,0.3,-6.7
39,2,59.0,26.0,1958.45,-3041.55,-60.83,6629.06,80.33,-0.46,0.3,INVX,16,5,16,21,26,1.5,0.4,-8.6
38,0,57.9,27.2,2390.17,-2609.83,-52.2,6271.15,75.99,-0.42,0.2,INVX,16,5,16,21,26,1.5,0.5,-6.8
38,0,57.9,27.2,2390.17,-2609.83,-52.2,6271.15,75.99,-0.42,0.2,INVX,16,5,16,21,26,1.5,0.6,-6.8
42,10,52.4,24.1,1573.65,-3426.35,-68.53,4734.51,78.4,-0.72,0.5,INVX,16,5,16,21,26,1.6,0.2,-10.5
38,3,55.3,28.0,2126.33,-2873.67,-57.47,4630.29,72.43,-0.62,0.4,INVX,16,5,16,21,26,1.6,0.3,-7.9
36,2,52.8,29.1,1777.23,-3222.77,-64.46,4919.71,76.95,-0.66,0.4,INVX,16,5,16,21,26,1.6,0.4,-9.5
35,0,51.4,30.6,2097.9,-2902.1,-58.04,4653.86,72.8,-0.62,0.4,INVX,16,5,16,21,26,1.6,0.5,-8.0
35,0,51.4,30.6,2097.9,-2902.1,-58.04,4653.86,72.8,-0.62,0.4,INVX,16,5,16,21,26,1.6,0.6,-8.0
38,10,47.4,26.6,1211.76,-3788.24,-75.76,5357.8,84.21,-0.71,0.5,INVX,16,5,16,21,26,1.7,0.2,-12.7
34,3,50.0,31.0,1990.41,-3009.59,-60.19,4894.44,75.18,-0.61,0.4,INVX,16,5,16,21,26,1.7,0.3,-8.5
32,2,46.9,32.7,1368.51,-3631.49,-72.63,5396.42,82.89,-0.67,0.5,INVX,16,5,16,21,26,1.7,0.4,-11.7
32,0,46.9,33.5,2042.02,-2957.98,-59.16,4848.13,74.47,-0.61,0.4,INVX,16,5,16,21,26,1.7,0.5,-8.2
32,0,46.9,33.5,2042.02,-2957.98,-59.16,4848.13,74.47,-0.61,0.4,INVX,16,5,16,21,26,1.7,0.6,-8.2
34,12,44.1,27.9,989.83,-4010.17,-80.2,5017.49,87.55,-0.8,0.6,INVX,16,5,16,21,26,1.8,0.2,-14.4
31,4,51.6,33.6,1806.53,-3193.47,-63.87,4724.38,78.39,-0.68,0.4,INVX,16,5,16,21,26,1.8,0.3,-9.3
28,2,46.4,37.0,1202.91,-3797.09,-75.94,5159.42,85.61,-0.74,0.6,INVX,16,5,16,21,26,1.8,0.4,-12.8
28,0,46.4,38.0,1886.93,-3113.07,-62.26,4666.43,77.43,-0.67,0.4,INVX,16,5,16,21,26,1.8,0.5,-8.9
28,0,46.4,38.0,1886.93,-3113.07,-62.26,4666.43,77.43,-0.67,0.4,INVX,16,5,16,21,26,1.8,0.6,-8.9
31,13,41.9,28.8,676.56,-4323.44,-86.47,4837.58,90.84,-0.89,0.8,INVX,16,5,16,21,26,1.9,0.2,-17.5
26,4,46.2,37.6,1281.66,-3718.34,-74.37,4833.08,82.92,-0.77,0.6,INVX,16,5,16,21,26,1.9,0.3,-12.3
25,3,44.0,39.3,834.54,-4165.46,-83.31,5226.87,89.68,-0.8,0.7,INVX,16,5,16,21,26,1.9,0.4,-15.8
24,0,41.7,42.2,1279.1,-3720.9,-74.42,4906.46,84.18,-0.76,0.6,INVX,16,5,16,21,26,1.9,0.5,-12.3
24,0,41.7,42.2,1279.1,-3720.9,-74.42,4906.46,84.18,-0.76,0.6,INVX,16,5,16,21,26,1.9,0.6,-12.3
26,12,34.6,33.8,612.67,-4387.33,-87.75,4839.84,92.09,-0.91,0.8,INVX,16,5,16,21,26,2.0,0.2,-18.3
22,4,40.9,44.2,1281.06,-3718.94,-74.38,4310.61,82.02,-0.86,0.6,INVX,16,5,16,21,26,2.0,0.3,-12.3
21,3,38.1,46.4,822.1,-4177.9,-83.56,4697.78,89.39,-0.89,0.7,INVX,16,5,16,21,26,2.0,0.4,-15.9
20,0,35.0,50.2,1315.2,-3684.8,-73.7,4363.28,83.02,-0.84,0.6,INVX,16,5,16,21,26,2.0,0.5,-12.0
20,0,35.0,50.2,1315.2,-3684.8,-73.7,4363.28,83.02,-0.84,0.6,INVX,16,5,16,21,26,2.0,0.6,-12.0
23,10,34.8,36.9,799.21,-4200.79,-84.02,4670.08,88.86,-0.9,0.8,INVX,16,5,16,21,26,2.1,0.2,-16.1
20,4,45.0,46.5,1609.19,-3390.81,-67.82,3973.96,75.62,-0.85,0.6,INVX,16,5,16,21,26,2.1,0.3,-10.3
19,3,42.1,49.1,1005.58,-3994.42,-79.89,4518.92,85.99,-0.88,0.7,INVX,16,5,16,21,26,2.1,0.4,-14.3
18,0,38.9,53.6,1608.75,-3391.25,-67.83,4077.13,77.58,-0.83,0.6,INVX,16,5,16,21,26,2.1,0.5,-10.3
18,0,38.9,53.6,1608.75,-3391.25,-67.83,4077.13,77.58,-0.83,0.6,INVX,16,5,16,21,26,2.1,0.6,-10.3
19,9,36.8,36.5,1055.34,-3944.66,-78.89,5360.78,86.84,-0.74,0.6,INVX,16,5,16,21,26,2.2,0.2,-13.9
17,4,47.1,46.6,1848.81,-3151.19,-63.02,5448.93,79.28,-0.58,0.4,INVX,16,5,16,21,26,2.2,0.3,-9.1
15,3,40.0,53.8,854.19,-4145.81,-82.92,6214.9,90.43,-0.67,0.6,INVX,16,5,16,21,26,2.2,0.4,-15.6
15,0,40.0,56.9,1859.84,-3140.16,-62.8,5440.43,79.16,-0.58,0.4,INVX,16,5,16,21,26,2.2,0.5,-9.1
15,0,40.0,56.9,1859.84,-3140.16,-62.8,5440.43,79.16,-0.58,0.4,INVX,16,5,16,21,26,2.2,0.6,-9.1
17,8,35.3,36.1,1355.31,-3644.69,-72.89,5533.7,83.51,-0.66,0.5,INVX,16,5,16,21,26,2.3,0.2,-11.8
15,4,40.0,49.1,1292.89,-3707.11,-74.14,6334.48,85.87,-0.59,0.4,INVX,16,5,16,21,26,2.3,0.3,-12.2
14,1,35.7,55.3,1554.6,-3445.4,-68.91,6123.54,83.01,-0.56,0.4,INVX,16,5,16,21,26,2.3,0.4,-10.6
14,0,35.7,55.9,2065.85,-2934.15,-58.68,5711.48,77.43,-0.51,0.3,INVX,16,5,16,21,26,2.3,0.5,-8.1
14,0,35.7,55.9,2065.85,-2934.15,-58.68,5711.48,77.43,-0.51,0.3,INVX,16,5,16,21,26,2.3,0.6,-8.1
15,8,33.3,44.8,1483.47,-3516.53,-70.33,5745.62,82.86,-0.61,0.4,INVX,16,5,16,21,26,2.4,0.2,-11.0
14,4,35.7,63.8,1575.53,-3424.47,-68.49,6353.05,83.42,-0.54,0.4,INVX,16,5,16,21,26,2.4,0.3,-10.5
13,1,30.8,77.5,2184.06,-2815.94,-56.32,6105.66,80.18,-0.46,0.3,INVX,16,5,16,21,26,2.4,0.4,-7.6
13,0,30.8,80.3,3180.51,-1819.49,-36.39,5416.88,71.13,-0.34,0.1,INVX,16,5,16,21,26,2.4,0.5,-4.3
13,0,30.8,80.3,3180.51,-1819.49,-36.39,5416.88,71.13,-0.34,0.1,INVX,16,5,16,21,26,2.4,0.6,-4.3
