Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
38,4,60.5,20.5,5179.53,179.53,3.59,4485.29,49.36,0.04,0.0,IPAR,16,5,16,21,26,1.5,0.2,0.3
36,1,63.9,22.1,6230.03,1230.03,24.6,4579.37,45.28,0.27,0.1,IPAR,16,5,16,21,26,1.5,0.3,2.1
36,1,63.9,22.1,5423.4,423.4,8.47,4104.34,46.62,0.1,0.0,IPAR,16,5,16,21,26,1.5,0.4,0.8
35,0,62.9,22.8,5878.3,878.3,17.57,4320.83,45.28,0.2,0.0,IPAR,16,5,16,21,26,1.5,0.5,1.6
35,0,62.9,22.8,5878.3,878.3,17.57,4320.83,45.28,0.2,0.0,IPAR,16,5,16,21,26,1.5,0.6,1.6
36,5,58.3,21.4,4395.59,-604.41,-12.09,4821.66,55.54,-0.13,0.0,IPAR,16,5,16,21,26,1.6,0.2,-1.2
34,1,61.8,23.5,6143.77,1143.77,22.88,4201.68,43.79,0.27,0.1,IPAR,16,5,16,21,26,1.6,0.3,2.0
34,1,61.8,23.6,5348.32,348.32,6.97,4355.11,50.17,0.08,0.0,IPAR,16,5,16,21,26,1.6,0.4,0.6
33,0,60.6,24.3,5796.91,796.91,15.94,4355.11,48.1,0.18,0.0,IPAR,16,5,16,21,26,1.6,0.5,1.4
33,0,60.6,24.3,5796.91,796.91,15.94,4355.11,48.1,0.18,0.0,IPAR,16,5,16,21,26,1.6,0.6,1.4
33,5,57.6,21.6,4266.56,-733.44,-14.67,4209.84,53.82,-0.17,0.0,IPAR,16,5,16,21,26,1.7,0.2,-1.5
31,1,58.1,25.8,5142.61,142.61,2.85,3691.16,47.19,0.04,0.0,IPAR,16,5,16,21,26,1.7,0.3,0.3
31,1,58.1,24.6,4307.4,-692.6,-13.85,4175.25,53.38,-0.17,0.0,IPAR,16,5,16,21,26,1.7,0.4,-1.4
30,0,56.7,26.7,4852.27,-147.73,-2.95,3924.39,50.17,-0.04,0.0,IPAR,16,5,16,21,26,1.7,0.5,-0.3
30,0,56.7,26.7,4852.27,-147.73,-2.95,3924.39,50.17,-0.04,0.0,IPAR,16,5,16,21,26,1.7,0.6,-0.3
31,5,58.1,21.6,4593.68,-406.32,-8.13,4249.1,52.21,-0.1,0.0,IPAR,16,5,16,21,26,1.8,0.2,-0.8
30,1,60.0,25.4,6272.32,1272.32,25.45,3840.38,45.83,0.33,0.1,IPAR,16,5,16,21,26,1.8,0.3,2.2
30,1,60.0,24.3,5253.64,253.64,5.07,4098.45,50.36,0.06,0.0,IPAR,16,5,16,21,26,1.8,0.4,0.5
29,0,58.6,26.4,5918.2,918.2,18.36,4083.04,50.17,0.22,0.0,IPAR,16,5,16,21,26,1.8,0.5,1.6
29,0,58.6,26.4,5918.2,918.2,18.36,4083.04,50.17,0.22,0.0,IPAR,16,5,16,21,26,1.8,0.6,1.6
31,5,64.5,22.5,5753.05,753.05,15.06,4167.55,46.11,0.18,0.0,IPAR,16,5,16,21,26,1.9,0.2,1.4
29,2,69.0,26.8,6143.08,1143.08,22.86,3873.01,45.06,0.3,0.1,IPAR,16,5,16,21,26,1.9,0.3,2.0
28,1,67.9,26.5,4927.47,-72.53,-1.45,4133.27,50.36,-0.02,0.0,IPAR,16,5,16,21,26,1.9,0.4,-0.1
27,0,66.7,28.9,5550.78,550.78,11.02,4117.73,50.17,0.13,0.0,IPAR,16,5,16,21,26,1.9,0.5,1.0
27,0,66.7,28.9,5550.78,550.78,11.02,4117.73,50.17,0.13,0.0,IPAR,16,5,16,21,26,1.9,0.6,1.0
23,5,60.9,27.7,4467.0,-533.0,-10.66,3620.51,46.11,-0.15,0.0,IPAR,16,5,16,21,26,2.0,0.2,-1.1
21,2,66.7,34.0,4769.85,-230.15,-4.6,3133.19,41.96,-0.07,0.0,IPAR,16,5,16,21,26,2.0,0.3,-0.5
20,1,65.0,34.1,3825.97,-1174.03,-23.48,3343.73,50.36,-0.35,0.1,IPAR,16,5,16,21,26,2.0,0.4,-2.5
19,0,63.2,37.8,4309.94,-690.06,-13.8,3331.16,47.28,-0.21,0.0,IPAR,16,5,16,21,26,2.0,0.5,-1.4
19,0,63.2,37.8,4309.94,-690.06,-13.8,3331.16,47.28,-0.21,0.0,IPAR,16,5,16,21,26,2.0,0.6,-1.4
20,4,65.0,33.1,5354.52,354.52,7.09,2744.41,36.53,0.13,0.0,IPAR,16,5,16,21,26,2.1,0.2,0.7
17,2,70.6,41.7,4808.28,-191.72,-3.83,3241.3,45.38,-0.06,0.0,IPAR,16,5,16,21,26,2.1,0.3,-0.4
17,1,70.6,40.7,4045.63,-954.37,-19.09,3459.11,50.36,-0.28,0.1,IPAR,16,5,16,21,26,2.1,0.4,-2.0
16,0,68.8,45.6,4557.39,-442.61,-8.85,3446.11,50.17,-0.13,0.0,IPAR,16,5,16,21,26,2.1,0.5,-0.9
16,0,68.8,45.6,4557.39,-442.61,-8.85,3446.11,50.17,-0.13,0.0,IPAR,16,5,16,21,26,2.1,0.6,-0.9
15,2,73.3,41.3,7615.49,2615.49,52.31,2416.13,24.09,1.08,0.6,IPAR,16,5,16,21,26,2.2,0.2,4.1
15,2,73.3,43.6,6390.37,1390.37,27.81,3074.9,32.49,0.45,0.1,IPAR,16,5,16,21,26,2.2,0.3,2.4
15,1,73.3,42.6,4737.34,-262.66,-5.25,3088.12,44.21,-0.09,0.0,IPAR,16,5,16,21,26,2.2,0.4,-0.5
14,0,71.4,48.3,5336.6,336.6,6.73,3073.83,39.06,0.11,0.0,IPAR,16,5,16,21,26,2.2,0.5,0.6
14,0,71.4,48.3,5336.6,336.6,6.73,3073.83,39.06,0.11,0.0,IPAR,16,5,16,21,26,2.2,0.6,0.6
13,2,76.9,42.8,7817.74,2817.74,56.35,2480.3,24.09,1.14,0.6,IPAR,16,5,16,21,26,2.3,0.2,4.4
13,2,76.9,45.5,6560.09,1560.09,31.2,3156.56,32.49,0.49,0.2,IPAR,16,5,16,21,26,2.3,0.3,2.6
13,1,76.9,44.3,4863.16,-136.84,-2.74,3150.01,43.93,-0.04,0.0,IPAR,16,5,16,21,26,2.3,0.4,-0.3
12,0,75.0,51.1,5478.33,478.33,9.57,3135.43,38.82,0.15,0.0,IPAR,16,5,16,21,26,2.3,0.5,0.9
12,0,75.0,51.1,5478.33,478.33,9.57,3135.43,38.82,0.15,0.0,IPAR,16,5,16,21,26,2.3,0.6,0.9
10,2,70.0,48.2,4966.59,-33.41,-0.67,2983.06,42.78,-0.01,0.0,IPAR,16,5,16,21,26,2.4,0.2,-0.1
10,2,70.0,51.7,4167.6,-832.4,-16.65,3208.34,46.01,-0.26,0.0,IPAR,16,5,16,21,26,2.4,0.3,-1.7
10,1,70.0,55.4,3667.74,-1332.26,-26.65,3843.4,55.11,-0.35,0.1,IPAR,16,5,16,21,26,2.4,0.4,-2.9
10,0,70.0,60.0,5084.03,84.03,1.68,3135.43,44.08,0.03,0.0,IPAR,16,5,16,21,26,2.4,0.5,0.2
10,0,70.0,60.0,5084.03,84.03,1.68,3135.43,44.08,0.03,0.0,IPAR,16,5,16,21,26,2.4,0.6,0.2
9,2,66.7,48.6,4539.25,-460.75,-9.22,2983.06,42.78,-0.15,0.0,IPAR,16,5,16,21,26,2.5,0.2,-0.9
9,2,66.7,52.4,3809.01,-1190.99,-23.82,3208.34,46.01,-0.37,0.1,IPAR,16,5,16,21,26,2.5,0.3,-2.6
9,1,66.7,56.6,3352.15,-1647.85,-32.96,3967.43,56.89,-0.42,0.1,IPAR,16,5,16,21,26,2.5,0.4,-3.8
9,0,66.7,73.8,4154.95,-845.05,-16.9,3247.53,46.57,-0.26,0.0,IPAR,16,5,16,21,26,2.5,0.5,-1.8
9,0,66.7,73.8,4154.95,-845.05,-16.9,3247.53,46.57,-0.26,0.0,IPAR,16,5,16,21,26,2.5,0.6,-1.8
8,2,62.5,49.1,3863.07,-1136.93,-22.74,3110.35,44.6,-0.37,0.1,IPAR,16,5,16,21,26,2.6,0.2,-2.4
8,2,62.5,53.5,3241.61,-1758.39,-35.17,3731.81,53.51,-0.47,0.2,IPAR,16,5,16,21,26,2.6,0.3,-4.1
8,1,62.5,58.1,2852.81,-2147.19,-42.94,4415.21,63.31,-0.49,0.2,IPAR,16,5,16,21,26,2.6,0.4,-5.2
