Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
46,4,78.3,19.1,6755.22,1755.22,35.1,5490.43,49.13,0.32,0.1,JJSF,16,5,16,21,26,1.5,0.2,2.9
44,1,79.5,20.5,7235.66,2235.66,44.71,5086.08,45.51,0.44,0.2,JJSF,16,5,16,21,26,1.5,0.3,3.6
43,0,79.1,21.0,7858.88,2858.88,57.18,5010.72,43.1,0.57,0.3,JJSF,16,5,16,21,26,1.5,0.4,4.4
43,0,79.1,21.0,7858.88,2858.88,57.18,5010.72,43.1,0.57,0.3,JJSF,16,5,16,21,26,1.5,0.5,4.4
43,0,79.1,21.0,7858.88,2858.88,57.18,5010.72,43.1,0.57,0.3,JJSF,16,5,16,21,26,1.5,0.6,4.4
42,4,76.2,21.3,5925.49,925.49,18.51,5598.62,51.69,0.17,0.0,JJSF,16,5,16,21,26,1.6,0.2,1.6
40,1,77.5,22.9,6346.92,1346.92,26.94,5226.44,48.25,0.26,0.1,JJSF,16,5,16,21,26,1.6,0.3,2.3
39,0,76.9,23.6,6893.59,1893.59,37.87,4743.64,43.79,0.4,0.2,JJSF,16,5,16,21,26,1.6,0.4,3.1
39,0,76.9,23.6,6893.59,1893.59,37.87,4743.64,43.79,0.4,0.2,JJSF,16,5,16,21,26,1.6,0.5,3.1
39,0,76.9,23.6,6893.59,1893.59,37.87,4743.64,43.79,0.4,0.2,JJSF,16,5,16,21,26,1.6,0.6,3.1
40,4,77.5,21.9,6920.64,1920.64,38.41,6413.62,51.2,0.3,0.1,JJSF,16,5,16,21,26,1.7,0.2,3.2
38,1,78.9,23.7,7412.84,2412.84,48.26,5978.93,47.73,0.4,0.2,JJSF,16,5,16,21,26,1.7,0.3,3.9
37,0,78.4,24.3,8051.33,3051.33,61.03,5415.05,43.23,0.56,0.3,JJSF,16,5,16,21,26,1.7,0.4,4.7
37,0,78.4,24.3,8051.33,3051.33,61.03,5415.05,43.23,0.56,0.3,JJSF,16,5,16,21,26,1.7,0.5,4.7
37,0,78.4,24.3,8051.33,3051.33,61.03,5415.05,43.23,0.56,0.3,JJSF,16,5,16,21,26,1.7,0.6,4.7
36,3,77.8,24.5,7997.52,2997.52,59.95,4875.55,41.89,0.61,0.4,JJSF,16,5,16,21,26,1.8,0.2,4.6
33,1,78.8,26.2,7023.68,2023.68,40.47,5436.53,46.71,0.37,0.1,JJSF,16,5,16,21,26,1.8,0.3,3.3
33,0,78.8,26.8,8312.02,3312.02,66.24,4559.89,38.32,0.73,0.5,JJSF,16,5,16,21,26,1.8,0.4,5.0
33,0,78.8,26.8,8312.02,3312.02,66.24,4559.89,38.32,0.73,0.5,JJSF,16,5,16,21,26,1.8,0.5,5.0
33,0,78.8,26.8,8312.02,3312.02,66.24,4559.89,38.32,0.73,0.5,JJSF,16,5,16,21,26,1.8,0.6,5.0
32,3,81.2,26.9,9401.65,4401.65,88.03,4535.14,35.4,0.97,0.9,JJSF,16,5,16,21,26,1.9,0.2,6.3
29,1,79.3,29.1,6767.62,1767.62,35.35,5616.71,48.53,0.31,0.1,JJSF,16,5,16,21,26,1.9,0.3,2.9
29,0,79.3,29.8,8008.99,3008.99,60.18,4524.05,39.09,0.67,0.4,JJSF,16,5,16,21,26,1.9,0.4,4.6
29,0,79.3,29.8,8008.99,3008.99,60.18,4524.05,39.09,0.67,0.4,JJSF,16,5,16,21,26,1.9,0.5,4.6
29,0,79.3,29.8,8008.99,3008.99,60.18,4524.05,39.09,0.67,0.4,JJSF,16,5,16,21,26,1.9,0.6,4.6
26,3,73.1,34.4,6900.43,1900.43,38.01,3060.4,33.83,0.62,0.2,JJSF,16,5,16,21,26,2.0,0.2,3.1
23,1,69.6,37.7,4724.75,-275.25,-5.51,4886.45,54.02,-0.06,0.0,JJSF,16,5,16,21,26,2.0,0.3,-0.5
23,0,69.6,39.1,5878.28,878.28,17.57,3871.1,42.8,0.23,0.0,JJSF,16,5,16,21,26,2.0,0.4,1.6
23,0,69.6,39.1,5878.28,878.28,17.57,3871.1,42.8,0.23,0.0,JJSF,16,5,16,21,26,2.0,0.5,1.6
23,0,69.6,39.1,5878.28,878.28,17.57,3871.1,42.8,0.23,0.0,JJSF,16,5,16,21,26,2.0,0.6,1.6
24,2,79.2,38.9,8260.76,3260.76,65.22,4000.88,35.84,0.82,0.5,JJSF,16,5,16,21,26,2.1,0.2,4.9
22,1,77.3,41.2,5744.15,744.15,14.88,4693.52,48.51,0.16,0.0,JJSF,16,5,16,21,26,2.1,0.3,1.3
22,0,77.3,42.6,7146.56,2146.56,42.93,4077.6,41.77,0.53,0.2,JJSF,16,5,16,21,26,2.1,0.4,3.5
22,0,77.3,42.6,7146.56,2146.56,42.93,4077.6,41.77,0.53,0.2,JJSF,16,5,16,21,26,2.1,0.5,3.5
22,0,77.3,42.6,7146.56,2146.56,42.93,4077.6,41.77,0.53,0.2,JJSF,16,5,16,21,26,2.1,0.6,3.5
22,2,81.8,45.3,10020.2,5020.2,100.4,4188.41,35.84,1.2,1.2,JJSF,16,5,16,21,26,2.2,0.2,6.9
20,1,80.0,48.4,6967.58,1967.58,39.35,3790.45,44.26,0.52,0.2,JJSF,16,5,16,21,26,2.2,0.3,3.2
20,0,80.0,50.0,8668.69,3668.69,73.37,3731.56,36.51,0.98,0.7,JJSF,16,5,16,21,26,2.2,0.4,5.4
20,0,80.0,50.0,8668.69,3668.69,73.37,3731.56,36.51,0.98,0.7,JJSF,16,5,16,21,26,2.2,0.5,5.4
20,0,80.0,50.0,8668.69,3668.69,73.37,3731.56,36.51,0.98,0.7,JJSF,16,5,16,21,26,2.2,0.6,5.4
17,2,76.5,48.7,6632.23,1632.23,32.64,3222.01,36.65,0.51,0.2,JJSF,16,5,16,21,26,2.3,0.2,2.7
16,1,75.0,53.1,5407.54,407.54,8.15,3674.22,47.59,0.11,0.0,JJSF,16,5,16,21,26,2.3,0.3,0.8
16,0,75.0,55.0,6727.77,1727.77,34.56,3254.31,42.15,0.53,0.2,JJSF,16,5,16,21,26,2.3,0.4,2.9
16,0,75.0,55.0,6727.77,1727.77,34.56,3254.31,42.15,0.53,0.2,JJSF,16,5,16,21,26,2.3,0.5,2.9
16,0,75.0,55.0,6727.77,1727.77,34.56,3254.31,42.15,0.53,0.2,JJSF,16,5,16,21,26,2.3,0.6,2.9
13,2,69.2,68.5,5571.25,571.25,11.43,2670.27,36.34,0.21,0.0,JJSF,16,5,16,21,26,2.4,0.2,1.0
11,1,63.6,84.0,3755.08,-1244.92,-24.9,3916.08,55.39,-0.32,0.1,JJSF,16,5,16,21,26,2.4,0.3,-2.7
11,0,63.6,86.8,4671.87,-328.13,-6.56,3146.21,44.5,-0.1,0.0,JJSF,16,5,16,21,26,2.4,0.4,-0.6
