Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
41,6,73.2,22.0,8195.61,3195.61,63.91,4083.94,42.18,0.78,0.5,KN,16,5,16,21,26,1.5,0.2,4.9
37,2,73.0,24.6,7448.52,2448.52,48.97,4380.01,51.31,0.56,0.3,KN,16,5,16,21,26,1.5,0.3,3.9
36,1,72.2,25.4,7686.21,2686.21,53.72,4012.73,43.15,0.67,0.4,KN,16,5,16,21,26,1.5,0.4,4.2
35,0,71.4,26.1,7470.65,2470.65,49.41,4138.34,45.79,0.6,0.3,KN,16,5,16,21,26,1.5,0.5,3.9
35,0,71.4,26.1,7470.65,2470.65,49.41,4138.34,45.79,0.6,0.3,KN,16,5,16,21,26,1.5,0.6,3.9
39,6,71.8,22.3,8826.41,3826.41,76.53,3856.49,36.98,0.99,0.8,KN,16,5,16,21,26,1.6,0.2,5.6
36,2,72.2,25.1,8662.68,3662.68,73.25,4026.79,41.14,0.91,0.7,KN,16,5,16,21,26,1.6,0.3,5.4
35,1,71.4,25.8,8939.12,3939.12,78.78,3706.99,34.76,1.06,0.8,KN,16,5,16,21,26,1.6,0.4,5.7
34,0,70.6,26.6,8688.42,3688.42,73.77,3774.05,36.41,0.98,0.7,KN,16,5,16,21,26,1.6,0.5,5.4
34,0,70.6,26.6,8688.42,3688.42,73.77,3774.05,36.41,0.98,0.7,KN,16,5,16,21,26,1.6,0.6,5.4
34,6,67.6,23.8,5376.37,376.37,7.53,4502.7,57.58,0.08,0.0,KN,16,5,16,21,26,1.7,0.2,0.7
33,2,69.7,26.5,8934.8,3934.8,78.7,3919.56,39.91,1.0,0.8,KN,16,5,16,21,26,1.7,0.3,5.7
31,1,67.7,27.4,6686.19,1686.19,33.72,3901.46,49.89,0.43,0.1,KN,16,5,16,21,26,1.7,0.4,2.8
31,0,67.7,28.3,8961.35,3961.35,79.23,3690.32,35.49,1.07,0.8,KN,16,5,16,21,26,1.7,0.5,5.8
31,0,67.7,28.3,8961.35,3961.35,79.23,3690.32,35.49,1.07,0.8,KN,16,5,16,21,26,1.7,0.6,5.8
31,6,64.5,27.1,4793.87,-206.13,-4.12,4424.8,57.31,-0.05,0.0,KN,16,5,16,21,26,1.8,0.2,-0.4
31,2,67.7,29.4,8474.58,3474.58,69.49,3984.02,42.0,0.87,0.6,KN,16,5,16,21,26,1.8,0.3,5.2
29,1,65.5,30.6,6873.05,1873.05,37.46,3827.31,49.57,0.49,0.2,KN,16,5,16,21,26,1.8,0.4,3.1
29,0,65.5,31.5,9211.8,4211.8,84.24,3764.37,37.48,1.12,0.9,KN,16,5,16,21,26,1.8,0.5,6.0
29,0,65.5,31.5,9211.8,4211.8,84.24,3764.37,37.48,1.12,0.9,KN,16,5,16,21,26,1.8,0.6,6.0
29,5,69.0,30.1,8139.69,3139.69,62.79,4009.93,40.04,0.78,0.5,KN,16,5,16,21,26,1.9,0.2,4.8
29,2,69.0,31.7,10757.22,5757.22,115.14,3968.12,33.11,1.45,1.7,KN,16,5,16,21,26,1.9,0.3,7.6
27,1,66.7,33.1,7749.43,2749.43,54.99,3277.32,38.97,0.84,0.5,KN,16,5,16,21,26,1.9,0.4,4.3
27,0,66.7,34.1,10386.39,5386.39,107.73,3609.05,32.02,1.49,1.6,KN,16,5,16,21,26,1.9,0.5,7.3
27,0,66.7,34.1,10386.39,5386.39,107.73,3609.05,32.02,1.49,1.6,KN,16,5,16,21,26,1.9,0.6,7.3
28,5,64.3,32.3,10006.84,5006.84,100.14,3867.06,37.43,1.29,1.3,KN,16,5,16,21,26,2.0,0.2,6.9
26,2,65.4,33.8,10264.87,5264.87,105.3,5025.75,35.78,1.05,1.1,KN,16,5,16,21,26,2.0,0.3,7.2
26,1,65.4,35.6,13606.35,8606.35,172.13,4351.96,31.29,1.98,3.4,KN,16,5,16,21,26,2.0,0.4,10.1
25,0,64.0,37.0,13224.76,8224.76,164.5,4229.91,31.29,1.94,3.2,KN,16,5,16,21,26,2.0,0.5,9.8
25,0,64.0,37.0,13224.76,8224.76,164.5,4229.91,31.29,1.94,3.2,KN,16,5,16,21,26,2.0,0.6,9.8
27,5,66.7,34.3,11593.22,6593.22,131.86,4577.18,37.44,1.44,1.9,KN,16,5,16,21,26,2.1,0.2,8.4
25,2,68.0,36.1,12070.18,7070.18,141.4,5441.6,33.91,1.3,1.8,KN,16,5,16,21,26,2.1,0.3,8.8
25,1,68.0,37.9,15999.33,10999.33,219.99,4972.34,30.41,2.21,4.9,KN,16,5,16,21,26,2.1,0.4,11.8
24,0,66.7,39.5,15550.63,10550.63,211.01,4832.89,30.41,2.18,4.6,KN,16,5,16,21,26,2.1,0.5,11.5
24,0,66.7,39.5,15550.63,10550.63,211.01,4832.89,30.41,2.18,4.6,KN,16,5,16,21,26,2.1,0.6,11.5
19,4,63.2,39.6,5806.06,806.06,16.12,4527.72,56.57,0.18,0.0,KN,16,5,16,21,26,2.2,0.2,1.4
19,1,73.7,43.3,12897.97,7897.97,157.96,3717.56,28.82,2.12,3.3,KN,16,5,16,21,26,2.2,0.3,9.5
18,1,72.2,44.1,9437.9,4437.9,88.76,3646.54,38.64,1.22,1.1,KN,16,5,16,21,26,2.2,0.4,6.3
18,0,72.2,45.8,12130.12,7130.12,142.6,3994.16,32.93,1.79,2.6,KN,16,5,16,21,26,2.2,0.5,8.9
18,0,72.2,45.8,12130.12,7130.12,142.6,3994.16,32.93,1.79,2.6,KN,16,5,16,21,26,2.2,0.6,8.9
17,4,58.8,41.4,4919.97,-80.03,-1.6,4374.19,56.57,-0.02,0.0,KN,16,5,16,21,26,2.3,0.2,-0.2
17,1,70.6,46.8,11767.51,6767.51,135.35,3866.86,32.86,1.75,2.4,KN,16,5,16,21,26,2.3,0.3,8.6
16,1,68.8,47.9,8610.7,3610.7,72.21,3792.99,43.6,0.95,0.7,KN,16,5,16,21,26,2.3,0.4,5.4
16,0,68.8,49.8,11066.96,6066.96,121.34,4154.57,37.54,1.46,1.8,KN,16,5,16,21,26,2.3,0.5,7.9
16,0,68.8,49.8,11066.96,6066.96,121.34,4154.57,37.54,1.46,1.8,KN,16,5,16,21,26,2.3,0.6,7.9
14,3,71.4,46.5,7897.44,2897.44,57.95,3783.38,42.83,0.77,0.4,KN,16,5,16,21,26,2.4,0.2,4.5
14,1,78.6,49.4,12755.0,7755.0,155.1,3926.25,30.78,1.98,3.1,KN,16,5,16,21,26,2.4,0.3,9.4
13,1,76.9,50.9,9333.28,4333.28,86.67,3851.25,41.26,1.13,1.0,KN,16,5,16,21,26,2.4,0.4,6.2
13,0,76.9,53.3,11995.66,6995.66,139.91,4218.39,35.17,1.66,2.3,KN,16,5,16,21,26,2.4,0.5,8.8
13,0,76.9,53.3,11995.66,6995.66,139.91,4218.39,35.17,1.66,2.3,KN,16,5,16,21,26,2.4,0.6,8.8
13,5,46.2,57.8,4054.35,-945.65,-18.91,5658.72,67.51,-0.17,0.0,KN,16,5,16,21,26,2.5,0.2,-2.0
12,1,66.7,73.6,9155.25,4155.25,83.1,4233.37,44.63,0.98,0.8,KN,16,5,16,21,26,2.5,0.3,6.0
12,1,66.7,73.8,8610.21,3610.21,72.2,4546.06,47.93,0.79,0.6,KN,16,5,16,21,26,2.5,0.4,5.4
12,0,66.7,76.3,11066.33,6066.33,121.33,4529.92,40.93,1.34,1.6,KN,16,5,16,21,26,2.5,0.5,7.9
12,0,66.7,76.3,11066.33,6066.33,121.33,4529.92,40.93,1.34,1.6,KN,16,5,16,21,26,2.5,0.6,7.9
9,3,55.6,56.8,6074.05,1074.05,21.48,3583.49,46.77,0.3,0.1,KN,16,5,16,21,26,2.6,0.2,1.9
9,0,66.7,74.7,12383.36,7383.36,147.67,3235.83,26.13,2.28,3.4,KN,16,5,16,21,26,2.6,0.3,9.1
9,0,66.7,74.7,12383.36,7383.36,147.67,3235.83,26.13,2.28,3.4,KN,16,5,16,21,26,2.6,0.4,9.1
9,0,66.7,74.7,12383.36,7383.36,147.67,3235.83,26.13,2.28,3.4,KN,16,5,16,21,26,2.6,0.5,9.1
9,0,66.7,74.7,12383.36,7383.36,147.67,3235.83,26.13,2.28,3.4,KN,16,5,16,21,26,2.6,0.6,9.1
7,2,57.1,55.7,7197.5,2197.5,43.95,3022.16,41.71,0.73,0.3,KN,16,5,16,21,26,2.7,0.2,3.6
7,0,85.7,84.6,12745.04,7745.04,154.9,3059.69,24.01,2.53,3.9,KN,16,5,16,21,26,2.7,0.3,9.4
7,0,85.7,84.6,12745.04,7745.04,154.9,3059.69,24.01,2.53,3.9,KN,16,5,16,21,26,2.7,0.4,9.4
7,0,85.7,84.6,12745.04,7745.04,154.9,3059.69,24.01,2.53,3.9,KN,16,5,16,21,26,2.7,0.5,9.4
7,0,85.7,84.6,12745.04,7745.04,154.9,3059.69,24.01,2.53,3.9,KN,16,5,16,21,26,2.7,0.6,9.4
6,1,66.7,53.2,9570.16,4570.16,91.4,2964.27,30.97,1.54,1.4,KN,16,5,16,21,26,2.8,0.2,6.4
