Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
47,5,63.8,19.4,8726.8,3726.8,74.54,4621.79,42.32,0.81,0.6,LXFR,16,5,16,21,26,1.5,0.2,5.5
43,3,65.1,20.7,5284.56,284.56,5.69,5064.95,58.71,0.06,0.0,LXFR,16,5,16,21,26,1.5,0.3,0.5
42,0,64.3,21.9,6879.81,1879.81,37.6,4327.95,48.37,0.43,0.2,LXFR,16,5,16,21,26,1.5,0.4,3.1
42,0,64.3,21.9,6879.81,1879.81,37.6,4327.95,48.37,0.43,0.2,LXFR,16,5,16,21,26,1.5,0.5,3.1
42,0,64.3,21.9,6879.81,1879.81,37.6,4327.95,48.37,0.43,0.2,LXFR,16,5,16,21,26,1.5,0.6,3.1
44,5,61.4,19.8,9575.12,4575.12,91.5,4547.76,40.94,1.01,0.9,LXFR,16,5,16,21,26,1.6,0.2,6.4
40,2,62.5,21.5,6396.63,1396.63,27.93,4433.48,53.29,0.32,0.1,LXFR,16,5,16,21,26,1.6,0.3,2.4
39,0,61.5,22.5,7562.35,2562.35,51.25,4084.03,44.79,0.63,0.3,LXFR,16,5,16,21,26,1.6,0.4,4.1
39,0,61.5,22.5,7562.35,2562.35,51.25,4084.03,44.79,0.63,0.3,LXFR,16,5,16,21,26,1.6,0.5,4.1
39,0,61.5,22.5,7562.35,2562.35,51.25,4084.03,44.79,0.63,0.3,LXFR,16,5,16,21,26,1.6,0.6,4.1
43,5,60.5,19.7,11432.81,6432.81,128.66,3769.17,30.04,1.71,2.2,LXFR,16,5,16,21,26,1.7,0.2,8.3
39,2,61.5,21.4,7637.66,2637.66,52.75,4579.0,52.97,0.58,0.3,LXFR,16,5,16,21,26,1.7,0.3,4.2
38,0,60.5,22.4,9029.54,4029.54,80.59,4218.08,42.15,0.96,0.8,LXFR,16,5,16,21,26,1.7,0.4,5.8
38,0,60.5,22.4,9029.54,4029.54,80.59,4218.08,42.15,0.96,0.8,LXFR,16,5,16,21,26,1.7,0.5,5.8
