Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
45,7,53.3,19.8,2692.01,-2307.99,-46.16,5030.64,69.93,-0.46,0.2,MCS,16,5,16,21,26,1.5,0.2,-5.8
41,2,53.7,22.5,2792.28,-2207.72,-44.15,4936.8,69.6,-0.45,0.2,MCS,16,5,16,21,26,1.5,0.3,-5.4
40,2,52.5,22.6,1202.39,-3797.61,-75.95,6074.63,85.65,-0.63,0.5,MCS,16,5,16,21,26,1.5,0.4,-12.8
40,1,55.0,23.1,3086.32,-1913.68,-38.27,4709.78,66.4,-0.41,0.2,MCS,16,5,16,21,26,1.5,0.5,-4.5
40,1,55.0,23.1,3066.74,-1933.26,-38.67,4724.9,66.62,-0.41,0.2,MCS,16,5,16,21,26,1.5,0.6,-4.6
43,7,53.5,20.7,2704.66,-2295.34,-45.91,4766.19,72.16,-0.48,0.2,MCS,16,5,16,21,26,1.6,0.2,-5.7
39,2,53.8,23.6,2719.42,-2280.58,-45.61,4679.53,71.86,-0.49,0.2,MCS,16,5,16,21,26,1.6,0.3,-5.7
38,2,52.6,23.7,1171.01,-3828.99,-76.58,5520.45,84.78,-0.69,0.5,MCS,16,5,16,21,26,1.6,0.4,-13.0
38,1,55.3,24.3,3005.79,-1994.21,-39.88,4486.57,68.9,-0.44,0.2,MCS,16,5,16,21,26,1.6,0.5,-4.8
38,1,55.3,24.3,2986.72,-2013.28,-40.27,4499.42,69.1,-0.45,0.2,MCS,16,5,16,21,26,1.6,0.6,-4.8
40,7,55.0,20.8,3364.74,-1635.26,-32.71,4227.45,67.56,-0.39,0.1,MCS,16,5,16,21,26,1.7,0.2,-3.7
37,2,56.8,23.8,3223.53,-1776.47,-35.53,4566.88,70.32,-0.39,0.1,MCS,16,5,16,21,26,1.7,0.3,-4.1
36,2,55.6,23.9,1388.09,-3611.91,-72.24,5332.22,82.11,-0.68,0.5,MCS,16,5,16,21,26,1.7,0.4,-11.6
36,1,58.3,24.5,3562.99,-1437.01,-28.74,4363.91,66.53,-0.33,0.1,MCS,16,5,16,21,26,1.7,0.5,-3.2
36,1,58.3,24.5,3540.37,-1459.63,-29.19,4377.43,67.16,-0.33,0.1,MCS,16,5,16,21,26,1.7,0.6,-3.3
36,7,52.8,21.3,1963.11,-3036.89,-60.74,4365.72,72.65,-0.7,0.4,MCS,16,5,16,21,26,1.8,0.2,-8.6
33,2,54.5,24.6,1892.74,-3107.26,-62.15,4652.22,74.59,-0.67,0.4,MCS,16,5,16,21,26,1.8,0.3,-8.9
33,1,57.6,25.3,3621.75,-1378.25,-27.56,4157.37,64.93,-0.33,0.1,MCS,16,5,16,21,26,1.8,0.4,-3.0
33,1,57.6,25.3,3563.41,-1436.59,-28.73,4190.87,66.53,-0.34,0.1,MCS,16,5,16,21,26,1.8,0.5,-3.2
33,1,57.6,25.3,3540.8,-1459.2,-29.18,4203.85,67.16,-0.35,0.1,MCS,16,5,16,21,26,1.8,0.6,-3.3
31,6,51.6,24.8,4392.0,-608.0,-12.16,4395.31,54.45,-0.14,0.0,MCS,16,5,16,21,26,1.9,0.2,-1.2
29,2,48.3,28.4,1689.36,-3310.64,-66.21,4313.03,75.31,-0.77,0.5,MCS,16,5,16,21,26,1.9,0.3,-9.9
29,1,51.7,29.1,3232.6,-1767.4,-35.35,3803.37,64.2,-0.46,0.2,MCS,16,5,16,21,26,1.9,0.4,-4.1
29,1,51.7,29.2,3180.52,-1819.48,-36.39,3834.36,65.79,-0.47,0.2,MCS,16,5,16,21,26,1.9,0.5,-4.3
29,1,51.7,29.2,3160.34,-1839.66,-36.79,3846.37,66.41,-0.48,0.2,MCS,16,5,16,21,26,1.9,0.6,-4.3
27,6,44.4,26.6,1717.6,-3282.4,-65.65,4225.44,73.06,-0.78,0.5,MCS,16,5,16,21,26,2.0,0.2,-9.8
27,2,44.4,30.0,1445.72,-3554.28,-71.09,4691.04,78.15,-0.76,0.5,MCS,16,5,16,21,26,2.0,0.3,-11.2
27,1,48.1,30.8,2766.39,-2233.61,-44.67,3966.08,66.08,-0.56,0.3,MCS,16,5,16,21,26,2.0,0.4,-5.5
27,1,48.1,30.9,2721.83,-2278.17,-45.56,3998.88,66.62,-0.57,0.3,MCS,16,5,16,21,26,2.0,0.5,-5.7
26,1,46.2,31.2,1413.41,-3586.59,-71.73,4720.35,78.64,-0.76,0.5,MCS,16,5,16,21,26,2.0,0.6,-11.4
23,5,52.2,23.9,2095.38,-2904.62,-58.09,4677.99,71.11,-0.62,0.4,MCS,16,5,16,21,26,2.1,0.2,-8.0
23,2,52.2,27.0,1752.35,-3247.65,-64.95,4989.1,75.84,-0.65,0.4,MCS,16,5,16,21,26,2.1,0.3,-9.6
23,1,56.5,27.9,3353.12,-1646.88,-32.94,4246.47,64.55,-0.39,0.1,MCS,16,5,16,21,26,2.1,0.4,-3.8
22,1,54.5,28.2,2092.45,-2907.55,-58.15,4680.65,71.15,-0.62,0.4,MCS,16,5,16,21,26,2.1,0.5,-8.0
