Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
52,8,73.1,17.5,23294.18,18294.18,365.88,6045.53,25.95,3.03,11.1,MOD,16,5,16,21,26,1.5,0.2,15.9
45,3,71.1,20.4,14208.31,9208.31,184.17,4912.47,34.57,1.87,3.4,MOD,16,5,16,21,26,1.5,0.3,10.5
45,1,73.3,20.6,23962.42,18962.42,379.25,6218.96,25.95,3.05,11.6,MOD,16,5,16,21,26,1.5,0.4,16.2
44,1,72.7,20.7,16182.67,11182.67,223.65,4641.25,28.68,2.41,5.4,MOD,16,5,16,21,26,1.5,0.5,11.9
44,0,72.7,21.0,20481.2,15481.2,309.62,5315.48,25.95,2.91,9.0,MOD,16,5,16,21,26,1.5,0.6,14.5
48,8,75.0,18.6,20620.51,15620.51,312.41,5351.63,25.95,2.92,9.1,MOD,16,5,16,21,26,1.6,0.2,14.6
43,3,74.4,21.6,16148.44,11148.44,222.97,5197.41,32.19,2.14,4.8,MOD,16,5,16,21,26,1.6,0.3,11.9
43,1,76.7,21.7,27234.45,22234.45,444.69,7068.15,25.95,3.15,14.0,MOD,16,5,16,21,26,1.6,0.4,17.7
42,1,76.2,21.9,18392.39,13392.39,267.85,4924.84,26.78,2.72,7.3,MOD,16,5,16,21,26,1.6,0.5,13.3
42,0,76.2,22.3,23277.87,18277.87,365.56,6041.3,25.95,3.03,11.1,MOD,16,5,16,21,26,1.6,0.6,15.9
40,6,75.0,20.4,17300.82,12300.82,246.02,4373.2,25.28,2.81,6.9,MOD,16,5,16,21,26,1.7,0.2,12.7
39,2,76.9,22.1,28130.58,23130.58,462.61,7110.68,25.28,3.25,15.0,MOD,16,5,16,21,26,1.7,0.3,18.0
39,1,76.9,22.3,29951.46,24951.46,499.03,7570.95,25.28,3.3,16.5,MOD,16,5,16,21,26,1.7,0.4,18.8
38,1,76.3,22.7,20447.4,15447.4,308.95,5168.57,25.28,2.99,9.2,MOD,16,5,16,21,26,1.7,0.5,14.5
38,0,76.3,22.9,27151.47,22151.47,443.03,6863.18,25.28,3.23,14.3,MOD,16,5,16,21,26,1.7,0.6,17.6
37,6,75.7,20.9,16736.78,11736.78,234.74,5163.31,27.55,2.27,5.3,MOD,16,5,16,21,26,1.8,0.2,12.3
35,2,77.1,22.9,23915.42,18915.42,378.31,7377.92,27.55,2.56,9.7,MOD,16,5,16,21,26,1.8,0.3,16.2
35,1,77.1,23.1,23083.01,18083.01,361.66,7121.12,27.55,2.54,9.2,MOD,16,5,16,21,26,1.8,0.4,15.8
35,1,77.1,23.4,19944.25,14944.25,298.88,6152.81,27.55,2.43,7.3,MOD,16,5,16,21,26,1.8,0.5,14.2
35,0,77.1,23.5,26483.35,21483.35,429.67,8170.13,27.55,2.63,11.3,MOD,16,5,16,21,26,1.8,0.6,17.4
33,5,75.8,24.0,16548.56,11548.56,230.97,5105.24,27.55,2.26,5.2,MOD,16,5,16,21,26,1.9,0.2,12.2
32,2,75.0,25.8,17315.49,12315.49,246.31,5341.84,27.55,2.31,5.7,MOD,16,5,16,21,26,1.9,0.3,12.7
32,1,75.0,26.0,16712.81,11712.81,234.26,5155.91,27.55,2.27,5.3,MOD,16,5,16,21,26,1.9,0.4,12.3
32,1,75.0,26.3,14440.25,9440.25,188.8,4454.82,27.55,2.12,4.0,MOD,16,5,16,21,26,1.9,0.5,10.7
32,0,75.0,26.5,19174.75,14174.75,283.5,5915.42,27.55,2.4,6.8,MOD,16,5,16,21,26,1.9,0.6,13.8
30,5,73.3,25.0,19092.38,14092.38,281.85,4916.78,25.75,2.87,8.1,MOD,16,5,16,21,26,2.0,0.2,13.7
29,2,72.4,27.0,20140.95,15140.95,302.82,5186.82,25.75,2.92,8.8,MOD,16,5,16,21,26,2.0,0.3,14.3
