Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
34,9,64.7,17.2,5027.53,27.53,0.55,5066.88,73.08,0.01,0.0,MRVI,16,5,16,21,26,1.5,0.2,0.1
31,6,67.7,18.2,5973.22,973.22,19.46,6332.22,74.06,0.15,0.0,MRVI,16,5,16,21,26,1.5,0.3,3.3
29,3,65.5,21.3,5231.25,231.25,4.62,5611.43,74.29,0.04,0.0,MRVI,16,5,16,21,26,1.5,0.4,0.8
28,2,67.9,21.6,6646.55,1646.55,32.93,5085.95,67.33,0.32,0.1,MRVI,16,5,16,21,26,1.5,0.5,5.3
27,1,66.7,22.9,5627.56,627.56,12.55,5464.28,72.34,0.11,0.0,MRVI,16,5,16,21,26,1.5,0.6,2.2
32,9,62.5,16.1,4384.12,-615.88,-12.32,6103.35,79.34,-0.1,0.0,MRVI,16,5,16,21,26,1.6,0.2,-2.3
30,6,66.7,17.6,6231.67,1231.67,24.63,6419.64,73.97,0.19,0.0,MRVI,16,5,16,21,26,1.6,0.3,4.1
27,3,66.7,19.6,6285.53,1285.53,25.71,5693.9,71.42,0.23,0.1,MRVI,16,5,16,21,26,1.6,0.4,4.2
27,2,66.7,21.1,7209.97,2209.97,44.2,5358.84,67.22,0.41,0.2,MRVI,16,5,16,21,26,1.6,0.5,6.8
26,1,65.4,22.5,6104.61,1104.61,22.09,5759.47,72.25,0.19,0.0,MRVI,16,5,16,21,26,1.6,0.6,3.7
30,9,66.7,18.3,4012.65,-987.35,-19.75,6402.33,80.24,-0.15,0.0,MRVI,16,5,16,21,26,1.7,0.2,-3.9
28,6,71.4,20.0,6086.93,1086.93,21.74,7214.78,75.1,0.15,0.0,MRVI,16,5,16,21,26,1.7,0.3,3.6
25,3,72.0,22.5,5752.94,752.94,15.06,6012.06,72.67,0.13,0.0,MRVI,16,5,16,21,26,1.7,0.4,2.6
