Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
51,7,70.6,18.9,16494.25,11494.25,229.89,6716.02,31.86,1.71,3.9,NATR,16,5,16,21,26,1.5,0.2,12.1
46,2,71.7,21.4,14108.49,9108.49,182.17,7669.34,42.54,1.19,2.2,NATR,16,5,16,21,26,1.5,0.3,10.5
45,0,71.1,22.0,21075.1,16075.1,321.5,8576.58,31.85,1.87,6.0,NATR,16,5,16,21,26,1.5,0.4,14.8
45,0,71.1,22.0,21075.1,16075.1,321.5,8576.58,31.85,1.87,6.0,NATR,16,5,16,21,26,1.5,0.5,14.8
45,0,71.1,22.0,21075.1,16075.1,321.5,8576.58,31.85,1.87,6.0,NATR,16,5,16,21,26,1.5,0.6,14.8
44,5,70.5,22.9,24964.0,19964.0,399.28,11765.59,37.24,1.7,6.8,NATR,16,5,16,21,26,1.6,0.2,16.7
40,2,70.0,25.2,12117.89,7117.89,142.36,7128.08,46.48,1.0,1.4,NATR,16,5,16,21,26,1.6,0.3,8.9
39,0,69.2,26.0,18101.57,13101.57,262.03,8698.13,37.97,1.51,4.0,NATR,16,5,16,21,26,1.6,0.4,13.1
39,0,69.2,26.0,18101.57,13101.57,262.03,8698.13,37.97,1.51,4.0,NATR,16,5,16,21,26,1.6,0.5,13.1
39,0,69.2,26.0,18101.57,13101.57,262.03,8698.13,37.97,1.51,4.0,NATR,16,5,16,21,26,1.6,0.6,13.1
43,5,69.8,23.1,28088.91,23088.91,461.78,12328.79,34.68,1.87,8.6,NATR,16,5,16,21,26,1.7,0.2,18.0
40,2,70.0,25.2,14678.25,9678.25,193.56,7380.08,39.73,1.31,2.5,NATR,16,5,16,21,26,1.7,0.3,10.9
39,0,69.2,26.0,21926.19,16926.19,338.52,9815.0,35.37,1.72,5.8,NATR,16,5,16,21,26,1.7,0.4,15.3
39,0,69.2,26.0,21926.19,16926.19,338.52,9815.0,35.37,1.72,5.8,NATR,16,5,16,21,26,1.7,0.5,15.3
39,0,69.2,26.0,21926.19,16926.19,338.52,9815.0,35.37,1.72,5.8,NATR,16,5,16,21,26,1.7,0.6,15.3
40,5,70.0,25.1,23793.88,18793.88,375.88,10543.74,35.52,1.78,6.7,NATR,16,5,16,21,26,1.8,0.2,16.2
37,2,70.3,27.8,12551.67,7551.67,151.03,6397.76,40.86,1.18,1.8,NATR,16,5,16,21,26,1.8,0.3,9.2
36,0,69.4,28.7,18749.54,13749.54,274.99,8478.86,36.25,1.62,4.5,NATR,16,5,16,21,26,1.8,0.4,13.5
36,0,69.4,28.7,18749.54,13749.54,274.99,8478.86,36.25,1.62,4.5,NATR,16,5,16,21,26,1.8,0.5,13.5
36,0,69.4,28.7,18749.54,13749.54,274.99,8478.86,36.25,1.62,4.5,NATR,16,5,16,21,26,1.8,0.6,13.5
35,6,71.4,28.0,20189.25,15189.25,303.78,9469.02,38.09,1.6,4.9,NATR,16,5,16,21,26,1.9,0.2,14.3
33,2,69.7,32.0,10947.12,5947.12,118.94,7191.93,53.36,0.83,1.0,NATR,16,5,16,21,26,1.9,0.3,7.8
32,0,68.8,33.2,16352.68,11352.68,227.05,8277.41,41.11,1.37,3.1,NATR,16,5,16,21,26,1.9,0.4,12.1
32,0,68.8,33.2,16352.68,11352.68,227.05,8277.41,41.11,1.37,3.1,NATR,16,5,16,21,26,1.9,0.5,12.1
32,0,68.8,33.2,16352.68,11352.68,227.05,8277.41,41.11,1.37,3.1,NATR,16,5,16,21,26,1.9,0.6,12.1
32,6,68.8,29.2,11729.53,6729.53,134.59,6808.84,47.15,0.99,1.3,NATR,16,5,16,21,26,2.0,0.2,8.5
31,1,67.7,33.4,12810.68,7810.68,156.21,8523.2,54.04,0.92,1.4,NATR,16,5,16,21,26,2.0,0.3,9.5
31,0,67.7,33.6,19037.8,14037.8,280.76,10361.56,44.21,1.35,3.8,NATR,16,5,16,21,26,2.0,0.4,13.7
31,0,67.7,33.6,19037.8,14037.8,280.76,10361.56,44.21,1.35,3.8,NATR,16,5,16,21,26,2.0,0.5,13.7
31,0,67.7,33.6,19037.8,14037.8,280.76,10361.56,44.21,1.35,3.8,NATR,16,5,16,21,26,2.0,0.6,13.7
26,4,65.4,31.4,11151.66,6151.66,123.03,3855.68,28.08,1.6,2.0,NATR,16,5,16,21,26,2.1,0.2,8.0
26,2,65.4,33.3,12088.66,7088.66,141.77,5170.69,34.74,1.37,1.9,NATR,16,5,16,21,26,2.1,0.3,8.8
25,0,64.0,34.9,17760.67,12760.67,255.21,5487.56,25.1,2.33,5.9,NATR,16,5,16,21,26,2.1,0.4,12.9
25,0,64.0,34.9,17760.67,12760.67,255.21,5487.56,25.1,2.33,5.9,NATR,16,5,16,21,26,2.1,0.5,12.9
25,0,64.0,34.9,17760.67,12760.67,255.21,5487.56,25.1,2.33,5.9,NATR,16,5,16,21,26,2.1,0.6,12.9
23,4,65.2,35.5,8373.51,3373.51,67.47,4359.49,43.19,0.77,0.5,NATR,16,5,16,21,26,2.2,0.2,5.1
23,2,65.2,37.6,9077.08,4077.08,81.54,6260.83,51.54,0.65,0.5,NATR,16,5,16,21,26,2.2,0.3,5.9
22,0,63.6,39.6,13336.06,8336.06,166.72,4285.56,28.2,1.95,3.3,NATR,16,5,16,21,26,2.2,0.4,9.9
22,0,63.6,39.6,13336.06,8336.06,166.72,4285.56,28.2,1.95,3.3,NATR,16,5,16,21,26,2.2,0.5,9.9
22,0,63.6,39.6,13336.06,8336.06,166.72,4285.56,28.2,1.95,3.3,NATR,16,5,16,21,26,2.2,0.6,9.9
19,7,52.6,40.3,3429.13,-1570.87,-31.42,5254.23,67.33,-0.3,0.1,NATR,16,5,16,21,26,2.3,0.2,-3.6
18,2,61.1,44.4,6408.16,1408.16,28.16,5571.16,53.9,0.25,0.1,NATR,16,5,16,21,26,2.3,0.3,2.4
17,1,58.8,49.8,5660.76,660.76,13.22,6180.35,59.49,0.11,0.0,NATR,16,5,16,21,26,2.3,0.4,1.2
17,1,58.8,51.5,4666.76,-333.24,-6.66,6919.32,66.6,-0.05,0.0,NATR,16,5,16,21,26,2.3,0.5,-0.7
17,0,58.8,52.8,5076.71,76.71,1.53,6651.27,64.02,0.01,0.0,NATR,16,5,16,21,26,2.3,0.6,0.1
17,7,47.1,42.0,2608.05,-2391.95,-47.84,3754.48,63.53,-0.64,0.3,NATR,16,5,16,21,26,2.4,0.2,-6.1
16,2,56.2,46.2,5454.4,454.4,9.09,3651.53,44.99,0.12,0.0,NATR,16,5,16,21,26,2.4,0.3,0.8
15,1,53.3,54.9,4640.66,-359.34,-7.19,4059.09,51.65,-0.09,0.0,NATR,16,5,16,21,26,2.4,0.4,-0.7
15,1,53.3,56.9,3825.78,-1174.22,-23.48,4726.23,60.14,-0.25,0.1,NATR,16,5,16,21,26,2.4,0.5,-2.5
15,0,53.3,58.3,4161.86,-838.14,-16.76,4451.08,56.64,-0.19,0.0,NATR,16,5,16,21,26,2.4,0.6,-1.7
15,6,53.3,39.9,2927.65,-2072.35,-41.45,2921.68,54.7,-0.71,0.3,NATR,16,5,16,21,26,2.5,0.2,-5.0
15,3,60.0,49.5,4193.96,-806.04,-16.12,2656.14,45.27,-0.3,0.0,NATR,16,5,16,21,26,2.5,0.3,-1.7
13,0,53.8,70.4,4193.2,-806.8,-16.14,2596.94,43.17,-0.31,0.1,NATR,16,5,16,21,26,2.5,0.4,-1.7
13,0,53.8,70.4,4193.2,-806.8,-16.14,2596.94,43.17,-0.31,0.1,NATR,16,5,16,21,26,2.5,0.5,-1.7
13,0,53.8,70.4,4193.2,-806.8,-16.14,2596.94,43.17,-0.31,0.1,NATR,16,5,16,21,26,2.5,0.6,-1.7
13,4,61.5,42.0,5436.69,436.69,8.73,6322.93,58.46,0.07,0.0,NATR,16,5,16,21,26,2.6,0.2,0.8
13,3,61.5,44.5,4362.73,-637.27,-12.75,6637.35,65.01,-0.1,0.0,NATR,16,5,16,21,26,2.6,0.3,-1.3
12,0,66.7,57.1,5964.38,964.38,19.29,4519.93,48.07,0.21,0.0,NATR,16,5,16,21,26,2.6,0.4,1.7
12,0,66.7,57.1,5964.38,964.38,19.29,4519.93,48.07,0.21,0.0,NATR,16,5,16,21,26,2.6,0.5,1.7
12,0,66.7,57.1,5964.38,964.38,19.29,4519.93,48.07,0.21,0.0,NATR,16,5,16,21,26,2.6,0.6,1.7
8,3,50.0,51.2,4383.91,-616.09,-12.32,4112.52,48.4,-0.15,0.0,NATR,16,5,16,21,26,2.7,0.2,-1.3
8,2,62.5,55.9,5461.77,461.77,9.24,3502.68,39.07,0.13,0.0,NATR,16,5,16,21,26,2.7,0.3,0.9
7,0,57.1,75.0,4905.67,-94.33,-1.89,3350.91,40.58,-0.03,0.0,NATR,16,5,16,21,26,2.7,0.4,-0.2
7,0,57.1,75.0,4905.67,-94.33,-1.89,3350.91,40.58,-0.03,0.0,NATR,16,5,16,21,26,2.7,0.5,-0.2
7,0,57.1,75.0,4905.67,-94.33,-1.89,3350.91,40.58,-0.03,0.0,NATR,16,5,16,21,26,2.7,0.6,-0.2
7,3,42.9,30.1,3128.04,-1871.96,-37.44,2934.39,48.4,-0.64,0.2,NATR,16,5,16,21,26,2.8,0.2,-4.4
7,2,57.1,46.7,3802.7,-1197.3,-23.95,2438.71,39.07,-0.49,0.1,NATR,16,5,16,21,26,2.8,0.3,-2.6
6,1,50.0,77.2,3925.49,-1074.51,-21.49,3521.65,47.29,-0.31,0.1,NATR,16,5,16,21,26,2.8,0.4,-2.3
6,0,50.0,79.8,4336.64,-663.36,-13.27,3110.5,41.77,-0.21,0.0,NATR,16,5,16,21,26,2.8,0.5,-1.4
6,0,50.0,79.8,4336.64,-663.36,-13.27,3110.5,41.77,-0.21,0.0,NATR,16,5,16,21,26,2.8,0.6,-1.4
6,2,50.0,33.0,4198.02,-801.98,-16.04,1776.97,29.74,-0.45,0.1,NATR,16,5,16,21,26,2.9,0.2,-1.7
6,2,50.0,47.5,3352.92,-1647.08,-32.94,2150.26,39.07,-0.77,0.3,NATR,16,5,16,21,26,2.9,0.3,-3.8
5,1,40.0,84.2,3461.18,-1538.82,-30.78,3105.11,47.29,-0.5,0.2,NATR,16,5,16,21,26,2.9,0.4,-3.5
5,0,40.0,87.6,3935.91,-1064.09,-21.28,2665.43,40.59,-0.4,0.1,NATR,16,5,16,21,26,2.9,0.5,-2.3
5,0,40.0,87.6,3935.91,-1064.09,-21.28,2665.43,40.59,-0.4,0.1,NATR,16,5,16,21,26,2.9,0.6,-2.3
5,2,60.0,32.0,4557.54,-442.46,-8.85,1625.82,28.91,-0.27,0.0,NATR,16,5,16,21,26,3.0,0.2,-0.9
5,2,60.0,49.4,3640.06,-1359.94,-27.2,1961.4,37.87,-0.69,0.2,NATR,16,5,16,21,26,3.0,0.3,-3.0
4,1,50.0,95.8,3757.6,-1242.4,-24.85,2858.07,46.25,-0.43,0.1,NATR,16,5,16,21,26,3.0,0.4,-2.7
4,0,50.0,100.8,4647.8,-352.2,-7.04,2508.64,40.59,-0.14,0.0,NATR,16,5,16,21,26,3.0,0.5,-0.7
4,0,50.0,100.8,4647.8,-352.2,-7.04,2508.64,40.59,-0.14,0.0,NATR,16,5,16,21,26,3.0,0.6,-0.7
5,2,60.0,38.0,5063.02,63.02,1.26,1820.24,29.14,0.03,0.0,NATR,16,5,16,21,26,3.1,0.2,0.1
5,2,60.0,55.4,4043.79,-956.21,-19.12,2178.95,37.87,-0.44,0.1,NATR,16,5,16,21,26,3.1,0.3,-2.0
4,1,50.0,103.2,4174.36,-825.64,-16.51,3175.07,46.25,-0.26,0.0,NATR,16,5,16,21,26,3.1,0.4,-1.7
4,0,50.0,108.2,5163.3,163.3,3.27,2786.88,40.59,0.06,0.0,NATR,16,5,16,21,26,3.1,0.5,0.3
4,0,50.0,108.2,5163.3,163.3,3.27,2786.88,40.59,0.06,0.0,NATR,16,5,16,21,26,3.1,0.6,0.3
3,1,66.7,50.3,4323.25,-676.75,-13.53,1820.24,36.27,-0.37,0.1,NATR,16,5,16,21,26,3.2,0.2,-1.4
3,1,66.7,63.7,3981.87,-1018.13,-20.36,2072.84,41.3,-0.49,0.1,NATR,16,5,16,21,26,3.2,0.3,-2.2
48,6,75.0,18.3,22564.41,17564.41,351.29,8088.8,31.45,2.17,7.6,NATR,16,8,16,24,32,1.5,0.2,15.6
43,2,74.4,20.6,14876.25,9876.25,197.53,6825.22,40.25,1.45,2.9,NATR,16,8,16,24,32,1.5,0.3,11.0
42,0,73.8,21.2,22221.97,17221.97,344.44,7961.36,31.43,2.16,7.4,NATR,16,8,16,24,32,1.5,0.4,15.4
42,0,73.8,21.2,22221.97,17221.97,344.44,7961.36,31.43,2.16,7.4,NATR,16,8,16,24,32,1.5,0.5,15.4
42,0,73.8,21.2,22221.97,17221.97,344.44,7961.36,31.43,2.16,7.4,NATR,16,8,16,24,32,1.5,0.6,15.4
44,5,75.0,20.8,31637.17,26637.17,532.74,11776.73,32.66,2.26,12.0,NATR,16,8,16,24,32,1.6,0.2,19.4
39,2,71.8,23.1,16063.84,11063.84,221.28,7311.41,39.93,1.51,3.3,NATR,16,8,16,24,32,1.6,0.3,11.9
39,0,71.8,23.8,26182.5,21182.5,423.65,10216.23,34.24,2.07,8.8,NATR,16,8,16,24,32,1.6,0.4,17.2
39,0,71.8,23.8,26182.5,21182.5,423.65,10216.23,34.24,2.07,8.8,NATR,16,8,16,24,32,1.6,0.5,17.2
39,0,71.8,23.8,26182.5,21182.5,423.65,10216.23,34.24,2.07,8.8,NATR,16,8,16,24,32,1.6,0.6,17.2
40,5,72.5,21.7,27065.96,22065.96,441.32,9637.49,31.24,2.29,10.1,NATR,16,8,16,24,32,1.7,0.2,17.6
37,2,70.3,23.8,15506.67,10506.67,210.13,6217.05,35.18,1.69,3.6,NATR,16,8,16,24,32,1.7,0.3,11.5
