Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
14,2,71.4,17.9,,,,,0.0,999.0,,NB,16,5,16,21,26,1.5,0.2,
12,0,66.7,21.0,,,,,0.0,999.0,,NB,16,5,16,21,26,1.5,0.3,
12,0,66.7,21.0,,,,,0.0,999.0,,NB,16,5,16,21,26,1.5,0.4,
12,0,66.7,21.0,,,,,0.0,999.0,,NB,16,5,16,21,26,1.5,0.5,
12,0,66.7,21.0,,,,,0.0,999.0,,NB,16,5,16,21,26,1.5,0.6,
10,1,70.0,21.3,,,,,0.0,999.0,,NB,16,5,16,21,26,1.6,0.2,
9,0,66.7,23.8,,,,,0.0,999.0,,NB,16,5,16,21,26,1.6,0.3,
9,0,66.7,23.8,,,,,0.0,999.0,,NB,16,5,16,21,26,1.6,0.4,
9,0,66.7,23.8,,,,,0.0,999.0,,NB,16,5,16,21,26,1.6,0.5,
9,0,66.7,23.8,,,,,0.0,999.0,,NB,16,5,16,21,26,1.6,0.6,
9,1,66.7,21.7,,,,,0.0,999.0,,NB,16,5,16,21,26,1.7,0.2,
8,0,62.5,24.5,,,,,0.0,999.0,,NB,16,5,16,21,26,1.7,0.3,
8,0,62.5,24.5,,,,,0.0,999.0,,NB,16,5,16,21,26,1.7,0.4,
8,0,62.5,24.5,,,,,0.0,999.0,,NB,16,5,16,21,26,1.7,0.5,
8,0,62.5,24.5,,,,,0.0,999.0,,NB,16,5,16,21,26,1.7,0.6,
8,1,62.5,22.1,,,,,0.0,999.0,,NB,16,5,16,21,26,1.8,0.2,
8,1,75.0,22.6,,,,,0.0,999.0,,NB,16,5,16,21,26,1.8,0.3,
7,0,71.4,26.0,,,,,0.0,999.0,,NB,16,5,16,21,26,1.8,0.4,
7,0,71.4,26.0,,,,,0.0,999.0,,NB,16,5,16,21,26,1.8,0.5,
7,0,71.4,26.0,,,,,0.0,999.0,,NB,16,5,16,21,26,1.8,0.6,
7,1,71.4,21.1,,,,,0.0,999.0,,NB,16,5,16,21,26,1.9,0.2,
7,1,85.7,21.6,,,,,0.0,999.0,,NB,16,5,16,21,26,1.9,0.3,
6,0,83.3,25.5,,,,,0.0,999.0,,NB,16,5,16,21,26,1.9,0.4,
6,0,83.3,25.5,,,,,0.0,999.0,,NB,16,5,16,21,26,1.9,0.5,
6,0,83.3,25.5,,,,,0.0,999.0,,NB,16,5,16,21,26,1.9,0.6,
5,1,60.0,26.2,,,,,0.0,999.0,,NB,16,5,16,21,26,2.0,0.2,
