Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
45,2,71.1,18.4,12230.71,7230.71,144.61,3453.51,26.7,2.09,3.0,NKSH,16,5,16,21,26,1.5,0.2,9.0
44,2,72.7,19.1,7566.06,2566.06,51.32,2845.11,35.55,0.9,0.5,NKSH,16,5,16,21,26,1.5,0.3,4.1
43,0,72.1,19.6,11134.82,6134.82,122.7,3531.82,29.99,1.74,2.1,NKSH,16,5,16,21,26,1.5,0.4,8.0
43,0,72.1,19.6,11134.82,6134.82,122.7,3531.82,29.99,1.74,2.1,NKSH,16,5,16,21,26,1.5,0.5,8.0
43,0,72.1,19.6,11134.82,6134.82,122.7,3531.82,29.99,1.74,2.1,NKSH,16,5,16,21,26,1.5,0.6,8.0
39,2,66.7,19.9,10984.55,5984.55,119.69,2739.92,23.58,2.18,2.6,NKSH,16,5,16,21,26,1.6,0.2,7.8
37,1,70.3,20.5,9175.05,4175.05,83.5,3200.53,32.98,1.3,1.1,NKSH,16,5,16,21,26,1.6,0.3,6.0
37,0,70.3,21.0,10000.95,5000.95,100.02,2718.12,25.7,1.84,1.8,NKSH,16,5,16,21,26,1.6,0.4,6.9
37,0,70.3,21.0,10000.95,5000.95,100.02,2718.12,25.7,1.84,1.8,NKSH,16,5,16,21,26,1.6,0.5,6.9
37,0,70.3,21.0,10000.95,5000.95,100.02,2718.12,25.7,1.84,1.8,NKSH,16,5,16,21,26,1.6,0.6,6.9
37,2,64.9,20.2,11754.92,6754.92,135.1,2671.23,22.52,2.53,3.4,NKSH,16,5,16,21,26,1.7,0.2,8.6
35,1,68.6,20.8,9942.41,4942.41,98.85,3159.66,31.5,1.56,1.5,NKSH,16,5,16,21,26,1.7,0.3,6.8
35,0,68.6,21.4,10837.38,5837.38,116.75,2683.41,24.54,2.18,2.5,NKSH,16,5,16,21,26,1.7,0.4,7.7
35,0,68.6,21.4,10837.38,5837.38,116.75,2683.41,24.54,2.18,2.5,NKSH,16,5,16,21,26,1.7,0.5,7.7
35,0,68.6,21.4,10837.38,5837.38,116.75,2683.41,24.54,2.18,2.5,NKSH,16,5,16,21,26,1.7,0.6,7.7
35,2,68.6,20.1,12923.91,7923.91,158.48,2681.06,20.56,2.96,4.7,NKSH,16,5,16,21,26,1.8,0.2,9.5
33,1,72.7,20.8,10931.15,5931.15,118.62,3171.28,28.76,1.87,2.2,NKSH,16,5,16,21,26,1.8,0.3,7.8
33,0,72.7,21.4,11915.12,6915.12,138.3,2693.28,22.4,2.57,3.6,NKSH,16,5,16,21,26,1.8,0.4,8.7
33,0,72.7,21.4,11915.12,6915.12,138.3,2693.28,22.4,2.57,3.6,NKSH,16,5,16,21,26,1.8,0.5,8.7
33,0,72.7,21.4,11915.12,6915.12,138.3,2693.28,22.4,2.57,3.6,NKSH,16,5,16,21,26,1.8,0.6,8.7
32,2,71.9,20.4,15628.32,10628.32,212.57,2671.81,16.95,3.98,8.5,NKSH,16,5,16,21,26,1.9,0.2,11.6
30,1,76.7,21.2,13218.57,8218.57,164.37,3182.68,23.87,2.58,4.2,NKSH,16,5,16,21,26,1.9,0.3,9.8
30,0,76.7,21.8,14408.44,9408.44,188.17,2689.47,18.5,3.5,6.6,NKSH,16,5,16,21,26,1.9,0.4,10.7
30,0,76.7,21.8,14408.44,9408.44,188.17,2689.47,18.5,3.5,6.6,NKSH,16,5,16,21,26,1.9,0.5,10.7
30,0,76.7,21.8,14408.44,9408.44,188.17,2689.47,18.5,3.5,6.6,NKSH,16,5,16,21,26,1.9,0.6,10.7
28,2,67.9,22.2,10002.68,5002.68,100.05,2800.26,27.75,1.79,1.8,NKSH,16,5,16,21,26,2.0,0.2,6.9
26,1,73.1,23.3,8460.35,3460.35,69.21,3159.41,37.01,1.1,0.8,NKSH,16,5,16,21,26,2.0,0.3,5.2
26,0,73.1,24.0,9221.91,4221.91,84.44,2775.56,29.83,1.52,1.3,NKSH,16,5,16,21,26,2.0,0.4,6.1
26,0,73.1,24.0,9221.91,4221.91,84.44,2775.56,29.83,1.52,1.3,NKSH,16,5,16,21,26,2.0,0.5,6.1
26,0,73.1,24.0,9221.91,4221.91,84.44,2775.56,29.83,1.52,1.3,NKSH,16,5,16,21,26,2.0,0.6,6.1
21,2,61.9,31.1,7349.39,2349.39,46.99,2480.44,33.45,0.95,0.4,NKSH,16,5,16,21,26,2.1,0.2,3.8
20,2,65.0,33.1,5824.38,824.38,16.49,3259.81,51.64,0.25,0.0,NKSH,16,5,16,21,26,2.1,0.3,1.5
20,0,65.0,34.5,8183.36,3183.36,63.67,2377.67,28.8,1.34,0.9,NKSH,16,5,16,21,26,2.1,0.4,4.8
20,0,65.0,34.5,8183.36,3183.36,63.67,2377.67,28.8,1.34,0.9,NKSH,16,5,16,21,26,2.1,0.5,4.8
20,0,65.0,34.5,8183.36,3183.36,63.67,2377.67,28.8,1.34,0.9,NKSH,16,5,16,21,26,2.1,0.6,4.8
16,2,50.0,39.9,5458.1,458.1,9.16,2491.97,45.17,0.18,0.0,NKSH,16,5,16,21,26,2.2,0.2,0.8
15,2,53.3,43.1,4325.54,-674.46,-13.49,2903.87,52.64,-0.23,0.0,NKSH,16,5,16,21,26,2.2,0.3,-1.4
15,0,53.3,44.9,6077.46,1077.46,21.55,2148.72,35.04,0.5,0.1,NKSH,16,5,16,21,26,2.2,0.4,1.9
15,0,53.3,44.9,6077.46,1077.46,21.55,2148.72,35.04,0.5,0.1,NKSH,16,5,16,21,26,2.2,0.5,1.9
15,0,53.3,44.9,6077.46,1077.46,21.55,2148.72,35.04,0.5,0.1,NKSH,16,5,16,21,26,2.2,0.6,1.9
15,2,53.3,41.9,5206.45,206.45,4.13,2740.4,45.17,0.08,0.0,NKSH,16,5,16,21,26,2.3,0.2,0.4
