Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
38,6,73.7,19.8,5214.16,214.16,4.28,4895.37,68.65,0.04,0.0,NTB,16,5,16,21,26,1.5,0.2,0.4
35,2,77.1,21.8,4341.63,-658.37,-13.17,5305.82,74.4,-0.12,0.0,NTB,16,5,16,21,26,1.5,0.3,-1.4
35,1,80.0,22.2,5855.21,855.21,17.1,4874.15,68.35,0.18,0.0,NTB,16,5,16,21,26,1.5,0.4,1.6
35,1,80.0,22.2,6395.05,1395.05,27.9,4666.03,65.43,0.3,0.1,NTB,16,5,16,21,26,1.5,0.5,2.6
34,0,79.4,22.9,5624.21,624.21,12.48,4963.2,69.6,0.13,0.0,NTB,16,5,16,21,26,1.5,0.6,1.2
35,6,71.4,19.9,5146.77,146.77,2.94,4906.27,68.19,0.03,0.0,NTB,16,5,16,21,26,1.6,0.2,0.3
32,2,75.0,22.1,4393.51,-606.49,-12.13,5265.08,73.18,-0.12,0.0,NTB,16,5,16,21,26,1.6,0.3,-1.3
32,1,78.1,22.5,5925.18,925.18,18.5,4852.31,67.44,0.19,0.0,NTB,16,5,16,21,26,1.6,0.4,1.8
32,1,78.1,22.6,6471.47,1471.47,29.43,4636.32,64.44,0.32,0.1,NTB,16,5,16,21,26,1.6,0.5,2.7
31,0,77.4,23.3,5691.41,691.41,13.83,4944.73,68.73,0.14,0.0,NTB,16,5,16,21,26,1.6,0.6,1.3
29,6,65.5,23.6,3181.83,-1818.17,-36.36,4610.88,70.84,-0.39,0.1,NTB,16,5,16,21,26,1.7,0.2,-4.5
27,2,70.4,26.4,3574.27,-1425.73,-28.51,4626.18,71.07,-0.31,0.1,NTB,16,5,16,21,26,1.7,0.3,-3.4
27,1,74.1,26.9,4820.34,-179.66,-3.59,4389.74,67.44,-0.04,0.0,NTB,16,5,16,21,26,1.7,0.4,-0.4
26,1,73.1,27.5,4127.78,-872.22,-17.44,4334.6,66.59,-0.2,0.0,NTB,16,5,16,21,26,1.7,0.5,-2.0
26,0,73.1,28.0,4630.16,-369.84,-7.4,4473.35,68.73,-0.08,0.0,NTB,16,5,16,21,26,1.7,0.6,-0.8
27,5,66.7,26.0,4962.44,-37.56,-0.75,3968.33,60.09,-0.01,0.0,NTB,16,5,16,21,26,1.8,0.2,-0.1
26,2,69.2,28.2,4328.68,-671.32,-13.43,4622.89,70.0,-0.15,0.0,NTB,16,5,16,21,26,1.8,0.3,-1.5
25,1,72.0,29.2,5560.64,560.64,11.21,4058.92,61.46,0.14,0.0,NTB,16,5,16,21,26,1.8,0.4,1.1
25,1,72.0,29.4,4999.01,-0.99,-0.02,4316.02,65.35,-0.0,0.0,NTB,16,5,16,21,26,1.8,0.5,-0.0
25,0,72.0,30.0,5607.44,607.44,12.15,4462.05,67.56,0.14,0.0,NTB,16,5,16,21,26,1.8,0.6,1.2
25,5,64.0,27.4,5114.5,114.5,2.29,4223.42,60.09,0.03,0.0,NTB,16,5,16,21,26,1.9,0.2,0.2
24,1,70.8,30.7,6798.67,1798.67,35.97,4346.68,61.84,0.41,0.1,NTB,16,5,16,21,26,1.9,0.3,3.2
23,1,69.6,31.3,5900.74,900.74,18.01,4239.6,60.32,0.21,0.0,NTB,16,5,16,21,26,1.9,0.4,1.7
23,1,69.6,31.5,5304.77,304.77,6.1,4521.34,64.32,0.07,0.0,NTB,16,5,16,21,26,1.9,0.5,0.6
23,0,69.6,32.1,5950.4,950.4,19.01,4681.36,66.6,0.2,0.0,NTB,16,5,16,21,26,1.9,0.6,1.8
20,5,65.0,33.2,3580.73,-1419.27,-28.39,4662.94,64.35,-0.3,0.1,NTB,16,5,16,21,26,2.0,0.2,-3.4
19,1,68.4,37.9,4873.71,-126.29,-2.53,4223.75,57.21,-0.03,0.0,NTB,16,5,16,21,26,2.0,0.3,-0.3
19,1,68.4,38.1,4265.62,-734.38,-14.69,4617.83,62.55,-0.16,0.0,NTB,16,5,16,21,26,2.0,0.4,-1.6
19,1,68.4,38.3,3834.79,-1165.21,-23.3,4897.04,66.34,-0.24,0.1,NTB,16,5,16,21,26,2.0,0.5,-2.7
