Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
51,18,51.0,17.5,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.5,0.2,
45,9,57.8,22.0,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.5,0.3,
40,5,52.5,24.3,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.5,0.4,
39,1,53.8,26.3,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.5,0.5,
38,0,52.6,27.1,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.5,0.6,
45,16,51.1,20.6,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.6,0.2,
43,11,58.1,23.5,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.6,0.3,
37,4,51.4,27.0,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.6,0.4,
37,3,59.5,28.1,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.6,0.5,
34,1,55.9,30.4,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.6,0.6,
44,15,52.3,20.9,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.7,0.2,
40,10,55.0,24.4,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.7,0.3,
36,4,52.8,28.1,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.7,0.4,
36,3,58.3,29.2,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.7,0.5,
33,1,54.5,31.7,,,,,0.0,999.0,,NTLA,16,5,16,21,26,1.7,0.6,
41,14,58.5,22.8,7067.48,2067.48,41.35,5136.24,60.66,0.4,0.2,NTLA,16,5,16,21,26,1.8,0.2,3.5
35,10,57.1,25.2,2231.1,-2768.9,-55.38,3830.42,76.61,-0.72,0.4,NTLA,16,5,16,21,26,1.8,0.3,-7.7
32,4,56.2,30.6,3598.82,-1401.18,-28.02,5153.15,70.28,-0.27,0.1,NTLA,16,5,16,21,26,1.8,0.4,-3.2
