Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
37,17,51.4,12.1,3296.3,-1703.7,-34.07,4831.58,75.04,-0.35,0.1,NXXT,16,5,16,21,26,1.5,0.2,-8.5
33,11,63.6,14.6,6222.41,1222.41,24.45,5766.59,65.35,0.21,0.1,NXXT,16,5,16,21,26,1.5,0.3,4.7
28,5,67.9,18.3,7676.14,2676.14,53.52,6732.43,64.09,0.4,0.2,NXXT,16,5,16,21,26,1.5,0.4,9.5
28,5,67.9,19.0,3749.96,-1250.04,-25.0,5097.97,87.12,-0.25,0.1,NXXT,16,5,16,21,26,1.5,0.5,-5.9
24,2,62.5,22.5,1951.44,-3048.56,-60.97,5239.37,89.53,-0.58,0.4,NXXT,16,5,16,21,26,1.5,0.6,-18.1
32,16,46.9,13.4,5189.85,189.85,3.8,3989.41,69.24,0.05,0.0,NXXT,16,5,16,21,26,1.6,0.2,0.8
28,9,60.7,16.7,8623.13,3623.13,72.46,4359.59,50.56,0.83,0.6,NXXT,16,5,16,21,26,1.6,0.3,12.2
25,5,68.0,19.0,14743.43,9743.43,194.87,7844.72,53.21,1.24,2.4,NXXT,16,5,16,21,26,1.6,0.4,25.8
25,5,68.0,19.9,6853.06,1853.06,37.06,4954.38,72.29,0.37,0.1,NXXT,16,5,16,21,26,1.6,0.5,6.9
22,2,63.6,23.8,3971.71,-1028.29,-20.57,4596.81,88.05,-0.22,0.0,NXXT,16,5,16,21,26,1.6,0.6,-4.8
25,13,44.0,13.2,3909.27,-1090.73,-21.81,4265.87,83.09,-0.26,0.1,NXXT,16,5,16,21,26,1.7,0.2,-5.1
23,8,60.9,16.9,11665.16,6665.16,133.3,4451.56,38.16,1.5,2.0,NXXT,16,5,16,21,26,1.7,0.3,19.7
21,5,66.7,19.2,15684.4,10684.4,213.69,6922.55,44.14,1.54,3.3,NXXT,16,5,16,21,26,1.7,0.4,27.4
20,5,65.0,20.8,4148.93,-851.07,-17.02,4672.69,91.01,-0.18,0.0,NXXT,16,5,16,21,26,1.7,0.5,-3.9
19,1,63.2,24.4,7795.17,2795.17,55.9,4557.3,58.46,0.61,0.3,NXXT,16,5,16,21,26,1.7,0.6,9.9
22,13,40.9,16.9,973.67,-4026.33,-80.53,4615.14,87.94,-0.87,0.7,NXXT,16,5,16,21,26,1.8,0.2,-29.3
19,5,63.2,22.8,6486.69,1486.69,29.73,6907.66,62.1,0.22,0.1,NXXT,16,5,16,21,26,1.8,0.3,5.7
18,5,66.7,24.8,3848.63,-1151.37,-23.03,7301.29,74.48,-0.16,0.0,NXXT,16,5,16,21,26,1.8,0.4,-5.4
17,5,64.7,26.9,997.29,-4002.71,-80.05,4599.8,87.65,-0.87,0.7,NXXT,16,5,16,21,26,1.8,0.5,-28.9
16,1,62.5,31.6,2098.65,-2901.35,-58.03,4413.48,78.95,-0.66,0.4,NXXT,16,5,16,21,26,1.8,0.6,-16.8
19,10,47.4,17.1,2073.3,-2926.7,-58.53,4935.89,78.56,-0.59,0.3,NXXT,16,5,16,21,26,1.9,0.2,-17.0
16,6,62.5,28.2,3723.43,-1276.57,-25.53,3965.07,62.1,-0.32,0.1,NXXT,16,5,16,21,26,1.9,0.3,-6.1
16,6,62.5,30.9,1850.47,-3149.53,-62.99,4045.31,77.08,-0.78,0.5,NXXT,16,5,16,21,26,1.9,0.4,-19.0
15,5,60.0,31.5,637.76,-4362.24,-87.24,4833.45,92.1,-0.9,0.8,NXXT,16,5,16,21,26,1.9,0.5,-35.4
13,0,53.8,43.3,1517.5,-3482.5,-69.65,4261.71,81.21,-0.82,0.6,NXXT,16,5,16,21,26,1.9,0.6,-22.3
16,9,43.8,18.0,1813.08,-3186.92,-63.74,4311.56,70.4,-0.74,0.5,NXXT,16,5,16,21,26,2.0,0.2,-19.3
13,5,61.5,28.9,3796.42,-1203.58,-24.07,4303.99,55.74,-0.28,0.1,NXXT,16,5,16,21,26,2.0,0.3,-5.7
13,5,61.5,30.8,1959.92,-3040.08,-60.8,3782.98,65.87,-0.8,0.5,NXXT,16,5,16,21,26,2.0,0.4,-18.0
13,5,61.5,29.7,585.77,-4414.23,-88.28,4662.16,88.84,-0.95,0.8,NXXT,16,5,16,21,26,2.0,0.5,-36.5
12,0,58.3,39.8,2377.68,-2622.32,-52.45,3951.61,71.89,-0.66,0.3,NXXT,16,5,16,21,26,2.0,0.6,-14.6
13,6,53.8,20.2,5069.11,69.11,1.38,2974.37,50.91,0.02,0.0,NXXT,16,5,16,21,26,2.1,0.2,0.3
12,4,66.7,29.8,6520.39,1520.39,30.41,3962.39,49.69,0.38,0.1,NXXT,16,5,16,21,26,2.1,0.3,5.8
12,4,66.7,31.6,3852.58,-1147.42,-22.95,3575.69,60.29,-0.32,0.1,NXXT,16,5,16,21,26,2.1,0.4,-5.4
11,4,63.6,29.5,1435.68,-3564.32,-71.29,4364.44,83.16,-0.82,0.6,NXXT,16,5,16,21,26,2.1,0.5,-23.2
11,0,63.6,39.8,4100.12,-899.88,-18.0,3647.33,64.25,-0.25,0.0,NXXT,16,5,16,21,26,2.1,0.6,-4.1
9,4,55.6,20.6,5123.24,123.24,2.46,3406.55,39.94,0.04,0.0,NXXT,16,5,16,21,26,2.2,0.2,0.5
9,3,66.7,31.6,6513.8,1513.8,30.28,4993.91,43.4,0.3,0.1,NXXT,16,5,16,21,26,2.2,0.3,5.8
8,3,62.5,28.1,2636.82,-2363.18,-47.26,4333.82,63.15,-0.55,0.3,NXXT,16,5,16,21,26,2.2,0.4,-12.7
8,2,62.5,38.5,2777.3,-2222.7,-44.45,4689.61,67.44,-0.47,0.2,NXXT,16,5,16,21,26,2.2,0.5,-11.7
8,0,62.5,41.4,5349.37,349.37,6.99,6728.77,62.89,0.05,0.0,NXXT,16,5,16,21,26,2.2,0.6,1.4
9,3,66.7,28.6,9012.38,4012.38,80.25,5992.52,39.94,0.67,0.5,NXXT,16,5,16,21,26,2.3,0.2,13.3
9,3,66.7,31.3,7052.54,2052.54,41.05,5406.94,43.4,0.38,0.2,NXXT,16,5,16,21,26,2.3,0.3,7.6
8,3,62.5,27.9,2854.9,-2145.1,-42.9,4333.82,63.15,-0.49,0.2,NXXT,16,5,16,21,26,2.3,0.4,-11.2
8,2,62.5,38.2,3007.0,-1993.0,-39.86,4689.61,62.28,-0.42,0.2,NXXT,16,5,16,21,26,2.3,0.5,-10.2
8,0,62.5,41.1,5791.8,791.8,15.84,7285.28,62.89,0.11,0.0,NXXT,16,5,16,21,26,2.3,0.6,3.2
7,3,57.1,32.6,5228.81,228.81,4.58,3476.75,39.94,0.07,0.0,NXXT,16,5,16,21,26,2.4,0.2,1.0
7,3,57.1,35.9,4167.7,-832.3,-16.65,3195.24,43.4,-0.26,0.0,NXXT,16,5,16,21,26,2.4,0.3,-3.8
6,3,50.0,32.3,1670.93,-3329.07,-66.58,3519.86,70.4,-0.95,0.6,NXXT,16,5,16,21,26,2.4,0.4,-20.7
6,1,50.0,47.2,3054.76,-1945.24,-38.9,4594.16,60.06,-0.42,0.2,NXXT,16,5,16,21,26,2.4,0.5,-9.9
6,0,50.0,49.7,4425.79,-574.21,-11.48,4810.64,62.89,-0.12,0.0,NXXT,16,5,16,21,26,2.4,0.6,-2.6
4,2,50.0,51.2,5050.24,50.24,1.0,3358.01,39.94,0.01,0.0,NXXT,16,5,16,21,26,2.5,0.2,0.2
3,2,33.3,44.3,2832.98,-2167.02,-43.34,2808.35,49.78,-0.77,0.3,NXXT,16,5,16,21,26,2.5,0.3,-11.3
3,1,33.3,72.3,3226.51,-1773.49,-35.47,3948.53,55.03,-0.45,0.2,NXXT,16,5,16,21,26,2.5,0.4,-8.9
3,1,33.3,73.3,2865.51,-2134.49,-42.69,4309.54,60.06,-0.5,0.2,NXXT,16,5,16,21,26,2.5,0.5,-11.1
3,0,33.3,78.3,4151.6,-848.4,-16.97,4512.61,62.89,-0.19,0.0,NXXT,16,5,16,21,26,2.5,0.6,-3.9
34,16,50.0,12.2,3297.52,-1702.48,-34.05,4287.94,83.52,-0.4,0.1,NXXT,16,8,16,24,32,1.5,0.2,-8.4
29,10,62.1,16.0,3180.25,-1819.75,-36.4,4451.56,86.71,-0.41,0.1,NXXT,16,8,16,24,32,1.5,0.3,-9.1
26,5,69.2,18.4,7745.99,2745.99,54.92,6044.19,61.36,0.45,0.2,NXXT,16,8,16,24,32,1.5,0.4,9.7
26,5,69.2,19.3,3598.94,-1401.06,-28.02,4508.89,83.57,-0.31,0.1,NXXT,16,8,16,24,32,1.5,0.5,-6.7
24,2,66.7,22.0,3299.87,-1700.13,-34.0,4557.3,83.41,-0.37,0.1,NXXT,16,8,16,24,32,1.5,0.6,-8.4
30,15,46.7,13.5,6152.87,1152.87,23.06,4115.66,66.89,0.28,0.1,NXXT,16,8,16,24,32,1.6,0.2,4.5
26,8,57.7,17.1,7829.84,2829.84,56.6,4451.56,56.85,0.64,0.4,NXXT,16,8,16,24,32,1.6,0.3,10.0
23,5,65.2,19.5,11506.77,6506.77,130.14,5116.74,44.47,1.27,1.7,NXXT,16,8,16,24,32,1.6,0.4,19.3
23,5,65.2,20.5,4747.49,-252.51,-5.05,4473.29,87.13,-0.06,0.0,NXXT,16,8,16,24,32,1.6,0.5,-1.1
21,2,61.9,24.1,3351.73,-1648.27,-32.97,4557.3,88.77,-0.36,0.1,NXXT,16,8,16,24,32,1.6,0.6,-8.1
22,12,40.9,13.3,3868.93,-1131.07,-22.62,5222.41,79.81,-0.22,0.0,NXXT,16,8,16,24,32,1.7,0.2,-5.3
20,7,55.0,17.7,9368.82,4368.82,87.38,7507.39,70.12,0.58,0.5,NXXT,16,8,16,24,32,1.7,0.3,14.2
18,5,61.1,20.1,10796.25,5796.25,115.93,8675.32,70.18,0.67,0.8,NXXT,16,8,16,24,32,1.7,0.4,17.7
17,5,58.8,22.3,2314.16,-2685.84,-53.72,4753.15,90.57,-0.57,0.3,NXXT,16,8,16,24,32,1.7,0.5,-15.1
17,1,58.8,26.1,6388.82,1388.82,27.78,8664.68,79.89,0.16,0.0,NXXT,16,8,16,24,32,1.7,0.6,5.3
20,11,45.0,13.4,3442.75,-1557.25,-31.15,13499.77,79.68,-0.12,0.0,NXXT,16,8,16,24,32,1.8,0.2,-7.6
17,5,58.8,18.6,8591.91,3591.91,71.84,11104.67,58.69,0.32,0.2,NXXT,16,8,16,24,32,1.8,0.3,12.2
16,5,62.5,20.4,4548.0,-452.0,-9.04,10328.37,69.43,-0.04,0.0,NXXT,16,8,16,24,32,1.8,0.4,-2.0
15,5,60.0,22.8,1081.01,-3918.99,-78.38,4602.34,87.7,-0.85,0.7,NXXT,16,8,16,24,32,1.8,0.5,-27.7
15,0,60.0,27.3,4900.28,-99.72,-1.99,9867.77,75.6,-0.01,0.0,NXXT,16,8,16,24,32,1.8,0.6,-0.4
16,7,56.2,21.8,6726.01,1726.01,34.52,7126.03,57.94,0.24,0.1,NXXT,16,8,16,24,32,1.9,0.2,6.5
14,5,64.3,25.9,5910.82,910.82,18.22,5254.77,49.69,0.17,0.0,NXXT,16,8,16,24,32,1.9,0.3,3.6
14,5,64.3,28.8,2753.29,-2246.71,-44.93,4343.77,61.21,-0.52,0.2,NXXT,16,8,16,24,32,1.9,0.4,-11.9
14,5,64.3,28.0,808.19,-4191.81,-83.84,4505.22,85.85,-0.93,0.8,NXXT,16,8,16,24,32,1.9,0.5,-32.0
13,0,61.5,37.3,3061.81,-1938.19,-38.76,4237.06,68.04,-0.46,0.2,NXXT,16,8,16,24,32,1.9,0.6,-9.9
15,7,53.3,24.1,4841.32,-158.68,-3.17,5325.31,57.94,-0.03,0.0,NXXT,16,8,16,24,32,2.0,0.2,-0.7
13,5,61.5,28.9,4183.7,-816.3,-16.33,3836.6,49.69,-0.21,0.0,NXXT,16,8,16,24,32,2.0,0.3,-3.7
13,5,61.5,31.6,2063.15,-2936.85,-58.74,3679.75,64.07,-0.8,0.5,NXXT,16,8,16,24,32,2.0,0.4,-17.1
13,4,61.5,29.5,1280.73,-3719.27,-74.39,4417.08,84.17,-0.84,0.6,NXXT,16,8,16,24,32,2.0,0.5,-25.1
12,0,58.3,39.4,3378.55,-1621.45,-32.43,3647.33,66.35,-0.44,0.1,NXXT,16,8,16,24,32,2.0,0.6,-8.0
11,4,63.6,28.5,7451.97,2451.97,49.04,4003.6,46.61,0.61,0.3,NXXT,16,8,16,24,32,2.1,0.2,8.8
11,4,63.6,31.4,4576.86,-423.14,-8.46,4228.19,72.82,-0.1,0.0,NXXT,16,8,16,24,32,2.1,0.3,-1.9
11,4,63.6,33.8,2799.59,-2200.41,-44.01,4591.27,79.07,-0.48,0.2,NXXT,16,8,16,24,32,2.1,0.4,-11.6
10,3,60.0,32.3,1291.83,-3708.17,-74.16,5011.48,86.31,-0.74,0.5,NXXT,16,8,16,24,32,2.1,0.5,-24.9
10,0,60.0,42.0,3331.39,-1668.61,-33.37,4505.95,77.6,-0.37,0.1,NXXT,16,8,16,24,32,2.1,0.6,-8.2
9,4,55.6,30.2,4463.72,-536.28,-10.73,2968.02,39.94,-0.18,0.0,NXXT,16,8,16,24,32,2.2,0.2,-2.4
9,4,55.6,34.2,3229.86,-1770.14,-35.4,3452.33,60.5,-0.51,0.2,NXXT,16,8,16,24,32,2.2,0.3,-8.8
8,4,50.0,32.2,1065.34,-3934.66,-78.69,4234.85,80.13,-0.93,0.7,NXXT,16,8,16,24,32,2.2,0.4,-27.9
8,2,50.0,46.0,1428.13,-3571.87,-71.44,4136.48,78.27,-0.86,0.6,NXXT,16,8,16,24,32,2.2,0.5,-23.3
8,0,50.0,48.9,2750.72,-2249.28,-44.99,3518.06,63.95,-0.64,0.3,NXXT,16,8,16,24,32,2.2,0.6,-11.9
8,3,62.5,30.9,6566.16,1566.16,31.32,4365.98,39.94,0.36,0.1,NXXT,16,8,16,24,32,2.3,0.2,5.9
8,3,62.5,34.0,5138.28,138.28,2.77,3939.35,43.4,0.04,0.0,NXXT,16,8,16,24,32,2.3,0.3,0.6
7,3,57.1,30.4,2080.0,-2920.0,-58.4,3157.5,63.15,-0.92,0.5,NXXT,16,8,16,24,32,2.3,0.4,-17.0
7,2,57.1,42.3,2190.81,-2809.19,-56.18,3416.72,62.28,-0.82,0.5,NXXT,16,8,16,24,32,2.3,0.5,-16.0
7,0,57.1,45.6,4219.74,-780.26,-15.61,5307.85,62.89,-0.15,0.0,NXXT,16,8,16,24,32,2.3,0.6,-3.5
7,3,57.1,32.0,6412.27,1412.27,28.25,4263.65,39.94,0.33,0.1,NXXT,16,8,16,24,32,2.4,0.2,5.4
7,3,57.1,35.7,4281.9,-718.1,-14.36,3282.79,43.4,-0.22,0.0,NXXT,16,8,16,24,32,2.4,0.3,-3.2
6,3,50.0,31.8,1733.33,-3266.67,-65.33,3464.58,69.29,-0.94,0.6,NXXT,16,8,16,24,32,2.4,0.4,-20.1
6,2,50.0,45.7,1825.68,-3174.32,-63.49,3680.6,73.61,-0.86,0.5,NXXT,16,8,16,24,32,2.4,0.5,-19.2
6,0,50.0,49.8,4069.35,-930.65,-18.61,4423.21,62.89,-0.21,0.0,NXXT,16,8,16,24,32,2.4,0.6,-4.3
4,2,50.0,51.2,5050.24,50.24,1.0,3358.01,39.94,0.01,0.0,NXXT,16,8,16,24,32,2.5,0.2,0.2
3,2,33.3,44.3,2832.98,-2167.02,-43.34,2808.35,49.78,-0.77,0.3,NXXT,16,8,16,24,32,2.5,0.3,-11.3
3,1,33.3,72.3,3226.51,-1773.49,-35.47,3948.53,55.03,-0.45,0.2,NXXT,16,8,16,24,32,2.5,0.4,-8.9
3,1,33.3,73.3,2865.51,-2134.49,-42.69,4309.54,60.06,-0.5,0.2,NXXT,16,8,16,24,32,2.5,0.5,-11.1
3,0,33.3,78.3,4151.6,-848.4,-16.97,4512.61,62.89,-0.19,0.0,NXXT,16,8,16,24,32,2.5,0.6,-3.9
32,16,46.9,12.3,1826.62,-3173.38,-63.47,4397.85,83.8,-0.72,0.5,NXXT,16,10,16,26,36,1.5,0.2,-19.2
27,9,59.3,16.1,3146.07,-1853.93,-37.08,4625.02,88.13,-0.4,0.1,NXXT,16,10,16,26,36,1.5,0.3,-9.4
24,5,66.7,18.7,5058.54,58.54,1.17,4763.68,65.71,0.01,0.0,NXXT,16,10,16,26,36,1.5,0.4,0.2
24,5,66.7,19.5,2535.15,-2464.85,-49.3,4649.5,88.6,-0.53,0.3,NXXT,16,10,16,26,36,1.5,0.5,-13.4
21,2,61.9,23.3,1572.43,-3427.57,-68.55,4668.46,88.96,-0.73,0.5,NXXT,16,10,16,26,36,1.5,0.6,-21.7
