Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
54,13,66.7,16.6,3352.54,-1647.46,-32.95,7004.51,86.86,-0.24,0.1,OII,16,5,16,21,26,1.5,0.2,-3.8
47,7,63.8,18.8,1320.54,-3679.46,-73.59,7511.13,94.61,-0.49,0.4,OII,16,5,16,21,26,1.5,0.3,-12.0
45,3,68.9,20.7,2766.84,-2233.16,-44.66,7042.27,88.7,-0.32,0.1,OII,16,5,16,21,26,1.5,0.4,-5.5
45,3,68.9,20.7,1671.84,-3328.16,-66.56,7397.25,93.17,-0.45,0.3,OII,16,5,16,21,26,1.5,0.5,-10.0
44,1,68.2,21.8,3008.37,-1991.63,-39.83,7126.28,89.76,-0.28,0.1,OII,16,5,16,21,26,1.5,0.6,-4.8
50,13,66.0,17.4,3416.79,-1583.21,-31.66,7555.49,88.93,-0.21,0.1,OII,16,5,16,21,26,1.6,0.2,-3.6
42,5,66.7,20.9,4611.64,-388.36,-7.77,7062.26,84.43,-0.05,0.0,OII,16,5,16,21,26,1.6,0.3,-0.8
41,3,68.3,22.0,1788.23,-3211.77,-64.24,7859.63,93.96,-0.41,0.3,OII,16,5,16,21,26,1.6,0.4,-9.4
41,3,68.3,22.1,1782.8,-3217.2,-64.34,7861.16,93.98,-0.41,0.3,OII,16,5,16,21,26,1.6,0.5,-9.4
40,1,67.5,23.3,3208.02,-1791.98,-35.84,7532.29,90.05,-0.24,0.1,OII,16,5,16,21,26,1.6,0.6,-4.2
44,13,59.1,18.0,2009.8,-2990.2,-59.8,7705.71,88.73,-0.39,0.2,OII,16,5,16,21,26,1.7,0.2,-8.4
37,5,59.5,21.8,1860.6,-3139.4,-62.79,7826.14,91.54,-0.4,0.3,OII,16,5,16,21,26,1.7,0.3,-9.1
37,3,62.2,23.2,1333.35,-3666.65,-73.33,8031.09,93.94,-0.46,0.3,OII,16,5,16,21,26,1.7,0.4,-11.9
37,3,62.2,23.2,1329.29,-3670.71,-73.41,8032.67,93.96,-0.46,0.3,OII,16,5,16,21,26,1.7,0.5,-11.9
36,1,61.1,24.6,2391.97,-2608.03,-52.16,7670.42,89.72,-0.34,0.2,OII,16,5,16,21,26,1.7,0.6,-6.8
38,12,57.9,19.9,1618.51,-3381.49,-67.63,7633.89,91.06,-0.44,0.3,OII,16,5,16,21,26,1.8,0.2,-10.3
33,5,57.6,23.1,2117.69,-2882.31,-57.65,7476.52,90.59,-0.39,0.2,OII,16,5,16,21,26,1.8,0.3,-7.9
33,3,60.6,25.3,2047.67,-2952.33,-59.05,7502.2,90.9,-0.39,0.2,OII,16,5,16,21,26,1.8,0.4,-8.2
33,3,60.6,25.5,1632.59,-3367.41,-67.35,7654.46,92.74,-0.44,0.3,OII,16,5,16,21,26,1.8,0.5,-10.2
32,1,59.4,27.2,3119.61,-1880.39,-37.61,7302.44,88.48,-0.26,0.1,OII,16,5,16,21,26,1.8,0.6,-4.4
34,10,64.7,21.5,3122.89,-1877.11,-37.54,5668.69,82.94,-0.33,0.1,OII,16,5,16,21,26,1.9,0.2,-4.4
30,6,63.3,24.7,1801.74,-3198.26,-63.97,6736.51,89.69,-0.47,0.3,OII,16,5,16,21,26,1.9,0.3,-9.3
30,3,66.7,27.7,2170.81,-2829.19,-56.58,6728.48,89.58,-0.42,0.2,OII,16,5,16,21,26,1.9,0.4,-7.7
30,3,66.7,28.0,1730.78,-3269.22,-65.38,6887.09,91.69,-0.47,0.3,OII,16,5,16,21,26,1.9,0.5,-9.7
29,1,65.5,29.9,3307.22,-1692.78,-33.86,6645.6,88.48,-0.25,0.1,OII,16,5,16,21,26,1.9,0.6,-3.9
30,10,63.3,21.8,2833.57,-2166.43,-43.33,5404.9,84.86,-0.4,0.2,OII,16,5,16,21,26,2.0,0.2,-5.3
26,6,61.5,26.3,1521.43,-3478.57,-69.57,5705.54,89.59,-0.61,0.4,OII,16,5,16,21,26,2.0,0.3,-10.8
26,3,65.4,30.0,1825.53,-3174.47,-63.49,5745.27,90.21,-0.55,0.3,OII,16,5,16,21,26,2.0,0.4,-9.2
26,3,65.4,30.3,1455.48,-3544.52,-70.89,5871.67,92.19,-0.6,0.4,OII,16,5,16,21,26,2.0,0.5,-11.2
25,1,64.0,32.6,2781.18,-2218.82,-44.38,5658.17,88.84,-0.39,0.2,OII,16,5,16,21,26,2.0,0.6,-5.5
25,9,60.0,24.0,3229.38,-1770.62,-35.41,4780.51,77.54,-0.37,0.1,OII,16,5,16,21,26,2.1,0.2,-4.1
23,5,60.9,31.3,1944.35,-3055.65,-61.11,5328.07,86.42,-0.57,0.3,OII,16,5,16,21,26,2.1,0.3,-8.7
23,3,60.9,33.9,1436.27,-3563.73,-71.27,5591.1,90.69,-0.64,0.5,OII,16,5,16,21,26,2.1,0.4,-11.3
23,3,60.9,34.0,1180.58,-3819.42,-76.39,5693.29,92.35,-0.67,0.5,OII,16,5,16,21,26,2.1,0.5,-12.9
22,1,63.6,36.9,2625.13,-2374.87,-47.5,5550.64,90.03,-0.43,0.2,OII,16,5,16,21,26,2.1,0.6,-6.0
21,9,57.1,27.9,1910.71,-3089.29,-61.79,5092.42,84.89,-0.61,0.4,OII,16,5,16,21,26,2.2,0.2,-8.8
20,5,60.0,37.0,1696.56,-3303.44,-66.07,5182.24,86.39,-0.64,0.4,OII,16,5,16,21,26,2.2,0.3,-9.9
20,3,60.0,40.0,1253.23,-3746.77,-74.94,5481.16,91.37,-0.68,0.5,OII,16,5,16,21,26,2.2,0.4,-12.4
19,3,57.9,40.3,698.51,-4301.49,-86.03,5710.25,95.19,-0.75,0.6,OII,16,5,16,21,26,2.2,0.5,-17.2
19,1,63.2,43.8,2290.58,-2709.42,-54.19,5451.83,90.88,-0.5,0.3,OII,16,5,16,21,26,2.2,0.6,-7.2
19,8,57.9,27.7,5072.41,72.41,1.45,5318.58,75.94,0.01,0.0,OII,16,5,16,21,26,2.3,0.2,0.1
17,5,52.9,35.1,1806.56,-3193.44,-63.87,6358.93,90.79,-0.5,0.3,OII,16,5,16,21,26,2.3,0.3,-9.3
16,3,56.2,42.8,1711.7,-3288.3,-65.77,6392.8,91.27,-0.51,0.3,OII,16,5,16,21,26,2.3,0.4,-9.8
15,1,53.3,48.2,2295.68,-2704.32,-54.09,6184.29,88.3,-0.44,0.2,OII,16,5,16,21,26,2.3,0.5,-7.2
15,1,53.3,48.2,2295.68,-2704.32,-54.09,6184.29,88.3,-0.44,0.2,OII,16,5,16,21,26,2.3,0.6,-7.2
17,8,52.9,36.4,4167.29,-832.71,-16.65,5187.47,77.8,-0.16,0.0,OII,16,5,16,21,26,2.4,0.2,-1.7
16,5,50.0,47.5,2087.19,-2912.81,-58.26,6101.37,91.5,-0.48,0.3,OII,16,5,16,21,26,2.4,0.3,-8.0
15,3,53.3,56.5,1977.59,-3022.41,-60.45,6131.13,91.95,-0.49,0.3,OII,16,5,16,21,26,2.4,0.4,-8.5
14,1,50.0,63.3,2652.28,-2347.72,-46.95,5947.96,89.2,-0.39,0.2,OII,16,5,16,21,26,2.4,0.5,-5.9
14,1,50.0,63.3,2652.28,-2347.72,-46.95,5947.96,89.2,-0.39,0.2,OII,16,5,16,21,26,2.4,0.6,-5.9
11,6,45.5,37.9,2135.23,-2864.77,-57.3,4370.57,73.83,-0.66,0.4,OII,16,5,16,21,26,2.5,0.2,-7.8
11,3,45.5,52.9,2477.69,-2522.31,-50.45,4546.08,76.79,-0.55,0.3,OII,16,5,16,21,26,2.5,0.3,-6.5
10,2,50.0,64.5,1908.9,-3091.1,-61.82,4861.43,82.12,-0.64,0.4,OII,16,5,16,21,26,2.5,0.4,-8.8
10,1,50.0,67.1,2975.98,-2024.02,-40.48,4998.93,84.44,-0.4,0.2,OII,16,5,16,21,26,2.5,0.5,-4.9
10,1,50.0,67.1,2975.98,-2024.02,-40.48,4998.93,84.44,-0.4,0.2,OII,16,5,16,21,26,2.5,0.6,-4.9
9,6,33.3,55.4,2004.5,-2995.5,-59.91,4279.76,72.71,-0.7,0.4,OII,16,5,16,21,26,2.6,0.2,-8.4
8,2,50.0,84.1,2519.98,-2480.02,-49.6,4466.15,75.88,-0.56,0.3,OII,16,5,16,21,26,2.6,0.3,-6.4
8,2,50.0,92.1,2177.51,-2822.49,-56.45,4659.11,79.16,-0.61,0.3,OII,16,5,16,21,26,2.6,0.4,-7.7
