Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
49,8,75.5,19.5,6816.21,1816.21,36.32,4850.94,41.76,0.37,0.1,OI,16,5,16,21,26,1.5,0.2,3.0
45,2,77.8,21.7,8115.23,3115.23,62.3,8087.68,50.1,0.39,0.2,OI,16,5,16,21,26,1.5,0.3,4.8
45,1,77.8,22.1,9004.12,4004.12,80.08,7205.43,44.64,0.56,0.4,OI,16,5,16,21,26,1.5,0.4,5.8
45,1,77.8,22.1,7755.37,2755.37,55.11,6206.14,44.64,0.44,0.2,OI,16,5,16,21,26,1.5,0.5,4.3
44,1,77.3,22.2,5242.84,242.84,4.86,5009.27,53.29,0.05,0.0,OI,16,5,16,21,26,1.5,0.6,0.5
45,8,75.6,21.4,4562.46,-437.54,-8.75,5300.62,70.41,-0.08,0.0,OI,16,5,16,21,26,1.6,0.2,-0.9
41,1,75.6,24.8,8928.89,3928.89,78.58,4603.64,38.99,0.85,0.7,OI,16,5,16,21,26,1.6,0.3,5.7
41,1,75.6,24.8,9466.04,4466.04,89.32,4427.72,35.37,1.01,0.9,OI,16,5,16,21,26,1.6,0.4,6.3
40,1,75.0,25.0,6207.47,1207.47,24.15,4704.16,57.31,0.26,0.1,OI,16,5,16,21,26,1.6,0.5,2.1
40,0,75.0,25.4,8459.63,3459.63,69.19,4757.32,42.53,0.73,0.5,OI,16,5,16,21,26,1.6,0.6,5.2
42,7,73.8,22.2,4754.53,-245.47,-4.91,4351.17,62.37,-0.06,0.0,OI,16,5,16,21,26,1.7,0.2,-0.5
39,1,74.4,25.7,9300.93,4300.93,86.02,3975.41,32.32,1.08,0.9,OI,16,5,16,21,26,1.7,0.3,6.1
39,1,74.4,25.7,9860.46,4860.46,97.21,3965.66,30.41,1.23,1.2,OI,16,5,16,21,26,1.7,0.4,6.7
38,1,73.7,25.6,6299.25,1299.25,25.98,3715.18,44.6,0.35,0.1,OI,16,5,16,21,26,1.7,0.5,2.2
38,0,73.7,26.4,8812.12,3812.12,76.24,4119.62,35.35,0.93,0.7,OI,16,5,16,21,26,1.7,0.6,5.6
38,6,71.1,24.8,4965.06,-34.94,-0.7,4630.85,63.57,-0.01,0.0,OI,16,5,16,21,26,1.8,0.2,-0.1
37,2,75.7,27.3,9638.42,4638.42,92.77,4284.54,33.62,1.08,1.0,OI,16,5,16,21,26,1.8,0.3,6.5
36,1,75.0,28.1,9818.22,4818.22,96.36,4132.41,31.83,1.17,1.1,OI,16,5,16,21,26,1.8,0.4,6.7
35,1,74.3,28.1,6272.26,1272.26,25.45,4044.7,48.76,0.31,0.1,OI,16,5,16,21,26,1.8,0.5,2.2
35,0,74.3,28.9,8774.38,3774.38,75.49,4417.45,38.07,0.85,0.6,OI,16,5,16,21,26,1.8,0.6,5.5
33,7,66.7,27.6,3069.17,-1930.83,-38.62,5462.9,69.3,-0.35,0.1,OI,16,5,16,21,26,1.9,0.2,-4.6
32,3,71.9,31.4,5075.39,75.39,1.51,5078.84,56.81,0.01,0.0,OI,16,5,16,21,26,1.9,0.3,0.1
30,1,73.3,32.3,5338.91,338.91,6.78,4910.12,54.99,0.07,0.0,OI,16,5,16,21,26,1.9,0.4,0.6
29,1,72.4,32.4,3410.7,-1589.3,-31.79,4812.85,61.05,-0.33,0.1,OI,16,5,16,21,26,1.9,0.5,-3.6
29,0,72.4,33.4,4771.29,-228.71,-4.57,5226.23,65.49,-0.04,0.0,OI,16,5,16,21,26,1.9,0.6,-0.4
30,6,63.3,30.1,3045.16,-1954.84,-39.1,5734.02,69.58,-0.34,0.1,OI,16,5,16,21,26,2.0,0.2,-4.6
29,3,69.0,33.0,5012.01,12.01,0.24,5308.88,60.14,0.0,0.0,OI,16,5,16,21,26,2.0,0.3,0.0
28,1,71.4,33.5,5672.3,672.3,13.45,5132.52,54.1,0.13,0.0,OI,16,5,16,21,26,2.0,0.4,1.2
27,1,70.4,33.7,3623.68,-1376.32,-27.53,5030.85,61.05,-0.27,0.1,OI,16,5,16,21,26,2.0,0.5,-3.0
27,0,70.4,34.8,5069.23,69.23,1.38,5462.95,64.44,0.01,0.0,OI,16,5,16,21,26,2.0,0.6,0.1
25,7,56.0,36.4,1854.92,-3145.08,-62.9,6506.86,81.46,-0.48,0.3,OI,16,5,16,21,26,2.1,0.2,-9.1
24,5,62.5,41.9,2056.32,-2943.68,-58.87,6016.95,75.33,-0.49,0.3,OI,16,5,16,21,26,2.1,0.3,-8.2
22,1,63.6,45.0,2658.39,-2341.61,-46.83,5730.55,71.74,-0.41,0.2,OI,16,5,16,21,26,2.1,0.4,-5.9
22,1,63.6,45.2,2269.26,-2730.74,-54.61,6060.94,75.88,-0.45,0.2,OI,16,5,16,21,26,2.1,0.5,-7.3
22,0,63.6,46.5,3174.51,-1825.49,-36.51,5468.4,68.46,-0.33,0.1,OI,16,5,16,21,26,2.1,0.6,-4.3
24,7,54.2,40.1,2336.49,-2663.51,-53.27,6789.54,78.45,-0.39,0.2,OI,16,5,16,21,26,2.2,0.2,-7.0
22,5,59.1,48.7,2581.9,-2418.1,-48.36,6473.71,74.8,-0.37,0.2,OI,16,5,16,21,26,2.2,0.3,-6.1
20,1,60.0,52.8,2740.46,-2259.54,-45.19,6327.98,73.12,-0.36,0.2,OI,16,5,16,21,26,2.2,0.4,-5.6
20,1,60.0,53.0,2339.32,-2660.68,-53.21,6668.58,77.05,-0.4,0.2,OI,16,5,16,21,26,2.2,0.5,-7.0
20,0,60.0,54.5,3589.21,-1410.79,-28.22,5917.93,68.38,-0.24,0.1,OI,16,5,16,21,26,2.2,0.6,-3.1
19,6,52.6,46.3,2981.87,-2018.13,-40.36,5299.4,67.65,-0.38,0.2,OI,16,5,16,21,26,2.3,0.2,-4.8
18,5,50.0,55.9,1771.66,-3228.34,-64.57,6240.14,79.66,-0.52,0.3,OI,16,5,16,21,26,2.3,0.3,-9.5
17,1,52.9,61.8,2185.57,-2814.43,-56.29,5857.97,74.78,-0.48,0.3,OI,16,5,16,21,26,2.3,0.4,-7.6
17,1,52.9,62.1,1748.45,-3251.55,-65.03,6253.0,79.83,-0.52,0.3,OI,16,5,16,21,26,2.3,0.5,-9.6
17,0,52.9,63.8,3202.99,-1797.01,-35.94,5543.37,70.77,-0.32,0.1,OI,16,5,16,21,26,2.3,0.6,-4.2
16,5,56.2,49.5,3128.74,-1871.26,-37.43,4502.62,69.18,-0.42,0.2,OI,16,5,16,21,26,2.4,0.2,-4.4
15,4,60.0,54.8,3184.52,-1815.48,-36.31,4116.74,63.25,-0.44,0.2,OI,16,5,16,21,26,2.4,0.3,-4.2
14,2,64.3,58.5,2362.94,-2637.06,-52.74,4823.44,74.11,-0.55,0.3,OI,16,5,16,21,26,2.4,0.4,-6.9
14,2,64.3,62.6,1573.57,-3426.43,-68.53,5386.37,82.76,-0.64,0.4,OI,16,5,16,21,26,2.4,0.5,-10.5
14,0,64.3,66.7,3572.27,-1427.73,-28.55,5011.53,77.0,-0.28,0.1,OI,16,5,16,21,26,2.4,0.6,-3.2
14,5,50.0,52.5,2362.06,-2637.94,-52.76,4675.38,71.83,-0.56,0.3,OI,16,5,16,21,26,2.5,0.2,-6.9
13,4,53.8,58.8,2404.16,-2595.84,-51.92,4534.14,69.66,-0.57,0.3,OI,16,5,16,21,26,2.5,0.3,-6.8
12,2,58.3,63.5,1783.91,-3216.09,-64.32,4930.4,75.75,-0.65,0.4,OI,16,5,16,21,26,2.5,0.4,-9.4
12,2,58.3,68.2,1187.98,-3812.02,-76.24,5457.61,83.85,-0.7,0.5,OI,16,5,16,21,26,2.5,0.5,-12.9
12,0,58.3,73.2,2840.56,-2159.44,-43.19,4931.78,75.77,-0.44,0.2,OI,16,5,16,21,26,2.5,0.6,-5.3
12,5,50.0,54.0,2891.74,-2108.26,-42.17,4360.16,66.58,-0.48,0.2,OI,16,5,16,21,26,2.6,0.2,-5.1
11,4,54.5,61.6,2943.29,-2056.71,-41.13,4191.53,64.0,-0.49,0.2,OI,16,5,16,21,26,2.6,0.3,-5.0
10,1,70.0,70.2,4725.05,-274.95,-5.5,3990.96,50.5,-0.07,0.0,OI,16,5,16,21,26,2.6,0.4,-0.5
10,1,70.0,75.4,3933.24,-1066.76,-21.34,4419.6,67.18,-0.24,0.1,OI,16,5,16,21,26,2.6,0.5,-2.3
10,0,70.0,78.5,5133.89,133.89,2.68,3769.64,43.9,0.04,0.0,OI,16,5,16,21,26,2.6,0.6,0.3
10,3,60.0,62.4,5576.62,576.62,11.53,3317.71,50.34,0.17,0.0,OI,16,5,16,21,26,2.7,0.2,1.1
9,2,66.7,69.7,6006.28,1006.28,20.13,3068.76,43.23,0.33,0.1,OI,16,5,16,21,26,2.7,0.3,1.8
9,1,66.7,74.0,5669.93,669.93,13.4,3263.64,48.71,0.21,0.0,OI,16,5,16,21,26,2.7,0.4,1.2
9,1,66.7,79.8,4719.78,-280.22,-5.6,3814.17,58.24,-0.07,0.0,OI,16,5,16,21,26,2.7,0.5,-0.6
9,0,66.7,85.0,7302.99,2302.99,46.06,3470.64,40.21,0.66,0.3,OI,16,5,16,21,26,2.7,0.6,3.7
7,3,57.1,95.0,4243.1,-756.9,-15.14,3819.66,53.78,-0.2,0.0,OI,16,5,16,21,26,2.8,0.2,-1.6
7,2,57.1,100.1,3995.7,-1004.3,-20.09,4011.05,56.48,-0.25,0.1,OI,16,5,16,21,26,2.8,0.3,-2.1
7,1,57.1,119.9,4691.71,-308.29,-6.17,3986.37,56.13,-0.08,0.0,OI,16,5,16,21,26,2.8,0.4,-0.6
7,1,57.1,127.3,3905.49,-1094.51,-21.89,4508.48,63.48,-0.24,0.1,OI,16,5,16,21,26,2.8,0.5,-2.3
7,0,57.1,134.0,6043.02,1043.02,20.86,4367.99,61.16,0.24,0.1,OI,16,5,16,21,26,2.8,0.6,1.8
