Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
45,4,68.9,17.1,9435.35,4435.35,88.71,4752.96,38.89,0.93,0.8,OSBC,16,5,16,21,26,1.5,0.2,6.3
43,2,72.1,18.0,9285.07,4285.07,85.7,5183.78,42.0,0.83,0.7,OSBC,16,5,16,21,26,1.5,0.3,6.1
43,1,72.1,18.3,9771.23,4771.23,95.42,4918.57,41.59,0.97,0.9,OSBC,16,5,16,21,26,1.5,0.4,6.6
42,0,71.4,18.8,9267.0,4267.0,85.34,5175.35,46.14,0.82,0.7,OSBC,16,5,16,21,26,1.5,0.5,6.1
42,0,71.4,18.8,9267.0,4267.0,85.34,5175.35,46.14,0.82,0.7,OSBC,16,5,16,21,26,1.5,0.6,6.1
40,4,72.5,18.6,7556.24,2556.24,51.12,5350.5,51.91,0.48,0.2,OSBC,16,5,16,21,26,1.6,0.2,4.0
39,2,71.8,19.6,8542.28,3542.28,70.85,5518.25,48.03,0.64,0.5,OSBC,16,5,16,21,26,1.6,0.3,5.3
39,1,74.4,19.9,9819.71,4819.71,96.39,5294.07,44.02,0.91,0.9,OSBC,16,5,16,21,26,1.6,0.4,6.7
38,1,73.7,20.1,7105.25,2105.25,42.1,5757.63,55.86,0.37,0.2,OSBC,16,5,16,21,26,1.6,0.5,3.4
38,0,73.7,20.4,9412.74,4412.74,88.25,5501.8,47.72,0.8,0.7,OSBC,16,5,16,21,26,1.6,0.6,6.3
38,4,71.1,19.0,8641.66,3641.66,72.83,5583.38,51.73,0.65,0.5,OSBC,16,5,16,21,26,1.7,0.2,5.4
37,1,70.3,20.2,11244.38,6244.38,124.89,5758.44,44.03,1.08,1.3,OSBC,16,5,16,21,26,1.7,0.3,8.1
37,1,73.0,20.2,11770.85,6770.85,135.42,5524.5,40.35,1.23,1.7,OSBC,16,5,16,21,26,1.7,0.4,8.6
36,1,72.2,20.4,8517.04,3517.04,70.34,6008.24,55.86,0.59,0.4,OSBC,16,5,16,21,26,1.7,0.5,5.2
36,0,72.2,20.8,11283.02,6283.02,125.66,5741.27,43.75,1.09,1.4,OSBC,16,5,16,21,26,1.7,0.6,8.1
35,4,74.3,20.9,7458.85,2458.85,49.18,5143.6,52.67,0.48,0.2,OSBC,16,5,16,21,26,1.8,0.2,3.9
34,1,73.5,22.3,9954.67,4954.67,99.09,5300.04,47.79,0.93,0.9,OSBC,16,5,16,21,26,1.8,0.3,6.8
33,1,75.8,22.4,9067.58,4067.58,81.35,4663.97,46.17,0.87,0.7,OSBC,16,5,16,21,26,1.8,0.4,5.9
33,1,75.8,22.6,7540.15,2540.15,50.8,5523.28,56.56,0.46,0.2,OSBC,16,5,16,21,26,1.8,0.5,4.0
33,0,75.8,23.0,9988.88,4988.88,99.78,5284.7,47.49,0.94,0.9,OSBC,16,5,16,21,26,1.8,0.6,6.9
33,3,75.8,20.8,9686.02,4686.02,93.72,4780.8,46.27,0.98,0.9,OSBC,16,5,16,21,26,1.9,0.2,6.6
31,1,77.4,22.1,10613.38,5613.38,112.27,4258.41,37.34,1.32,1.5,OSBC,16,5,16,21,26,1.9,0.3,7.5
31,1,77.4,22.3,9648.53,4648.53,92.97,4763.5,45.95,0.98,0.9,OSBC,16,5,16,21,26,1.9,0.4,6.5
31,0,77.4,22.8,11691.74,6691.74,133.83,4934.47,39.28,1.36,1.8,OSBC,16,5,16,21,26,1.9,0.5,8.5
31,0,77.4,22.8,11691.74,6691.74,133.83,4934.47,39.28,1.36,1.8,OSBC,16,5,16,21,26,1.9,0.6,8.5
31,3,77.4,20.7,9591.68,4591.68,91.83,5013.23,48.71,0.92,0.8,OSBC,16,5,16,21,26,2.0,0.2,6.5
29,1,79.3,22.0,10510.02,5510.02,110.2,4465.44,42.49,1.23,1.4,OSBC,16,5,16,21,26,2.0,0.3,7.4
29,1,79.3,22.2,9554.56,4554.56,91.09,4995.09,48.54,0.91,0.8,OSBC,16,5,16,21,26,2.0,0.4,6.4
29,0,79.3,23.2,12350.67,7350.67,147.01,5174.37,41.9,1.42,2.1,OSBC,16,5,16,21,26,2.0,0.5,9.1
29,0,79.3,23.2,12350.67,7350.67,147.01,5174.37,41.9,1.42,2.1,OSBC,16,5,16,21,26,2.0,0.6,9.1
26,2,76.9,24.3,13186.14,8186.14,163.72,3258.48,24.71,2.51,4.1,OSBC,16,5,16,21,26,2.1,0.2,9.8
25,1,76.0,25.6,10610.06,5610.06,112.2,4284.66,38.64,1.31,1.5,OSBC,16,5,16,21,26,2.1,0.3,7.5
25,1,76.0,25.8,9645.51,4645.51,92.91,4842.9,46.45,0.96,0.9,OSBC,16,5,16,21,26,2.1,0.4,6.5
25,0,76.0,27.0,12468.23,7468.23,149.36,5031.86,38.61,1.48,2.2,OSBC,16,5,16,21,26,2.1,0.5,9.2
25,0,76.0,27.0,12468.23,7468.23,149.36,5031.86,38.61,1.48,2.2,OSBC,16,5,16,21,26,2.1,0.6,9.2
22,2,72.7,29.8,9435.35,4435.35,88.71,4283.83,36.36,1.04,0.9,OSBC,16,5,16,21,26,2.2,0.2,6.3
22,1,72.7,31.0,9231.28,4231.28,84.63,3779.39,37.44,1.12,0.9,OSBC,16,5,16,21,26,2.2,0.3,6.1
22,1,72.7,31.2,8392.07,3392.07,67.84,4271.8,46.45,0.79,0.5,OSBC,16,5,16,21,26,2.2,0.4,5.1
22,0,72.7,32.5,10847.98,5847.98,116.96,4438.48,37.42,1.32,1.5,OSBC,16,5,16,21,26,2.2,0.5,7.7
22,0,72.7,32.5,10847.98,5847.98,116.96,4438.48,37.42,1.32,1.5,OSBC,16,5,16,21,26,2.2,0.6,7.7
20,2,80.0,34.1,9799.43,4799.43,95.99,4318.85,36.36,1.11,1.1,OSBC,16,5,16,21,26,2.3,0.2,6.7
20,1,80.0,35.5,9957.9,4957.9,99.16,3690.79,36.27,1.34,1.3,OSBC,16,5,16,21,26,2.3,0.3,6.8
20,1,80.0,35.8,9052.64,4052.64,81.05,4000.94,43.25,1.01,0.8,OSBC,16,5,16,21,26,2.3,0.4,5.9
20,0,80.0,37.2,11701.86,6701.86,134.04,4337.17,36.27,1.55,2.1,OSBC,16,5,16,21,26,2.3,0.5,8.5
20,0,80.0,37.2,11701.86,6701.86,134.04,4337.17,36.27,1.55,2.1,OSBC,16,5,16,21,26,2.3,0.6,8.5
19,2,84.2,34.8,10465.6,5465.6,109.31,4108.09,36.36,1.33,1.5,OSBC,16,5,16,21,26,2.4,0.2,7.3
19,1,84.2,36.3,10634.84,5634.84,112.7,3715.33,34.94,1.52,1.7,OSBC,16,5,16,21,26,2.4,0.3,7.5
19,1,84.2,36.5,9668.04,4668.04,93.36,4199.39,43.44,1.11,1.0,OSBC,16,5,16,21,26,2.4,0.4,6.5
19,0,84.2,38.0,12497.36,7497.36,149.95,4363.25,34.91,1.72,2.6,OSBC,16,5,16,21,26,2.4,0.5,9.2
19,0,84.2,38.0,12497.36,7497.36,149.95,4363.25,34.91,1.72,2.6,OSBC,16,5,16,21,26,2.4,0.6,9.2
16,2,81.2,39.2,9067.43,4067.43,81.35,2621.6,28.91,1.55,1.3,OSBC,16,5,16,21,26,2.5,0.2,5.9
16,2,81.2,40.0,6773.67,1773.67,35.47,3985.89,47.52,0.44,0.2,OSBC,16,5,16,21,26,2.5,0.3,3.0
16,1,81.2,41.7,7531.19,2531.19,50.62,4254.95,50.73,0.59,0.3,OSBC,16,5,16,21,26,2.5,0.4,4.0
16,0,81.2,43.5,9735.16,4735.16,94.7,4048.37,41.59,1.17,1.1,OSBC,16,5,16,21,26,2.5,0.5,6.6
16,0,81.2,43.5,9735.16,4735.16,94.7,4048.37,41.59,1.17,1.1,OSBC,16,5,16,21,26,2.5,0.6,6.6
12,2,75.0,47.1,8831.08,3831.08,76.62,3218.38,35.84,1.19,0.9,OSBC,16,5,16,21,26,2.6,0.2,5.6
12,1,75.0,49.4,8973.89,3973.89,79.48,3495.32,38.95,1.14,0.9,OSBC,16,5,16,21,26,2.6,0.3,5.8
12,1,75.0,49.8,8158.08,3158.08,63.16,3941.09,46.92,0.8,0.5,OSBC,16,5,16,21,26,2.6,0.4,4.8
12,0,75.0,52.2,10545.52,5545.52,110.91,4053.78,38.44,1.37,1.5,OSBC,16,5,16,21,26,2.6,0.5,7.4
12,0,75.0,52.2,10545.52,5545.52,110.91,4053.78,38.44,1.37,1.5,OSBC,16,5,16,21,26,2.6,0.6,7.4
11,2,81.8,59.7,8771.33,3771.33,75.43,4326.74,38.59,0.87,0.7,OSBC,16,5,16,21,26,2.7,0.2,5.5
11,1,81.8,64.7,9394.26,4394.26,87.89,3483.92,35.19,1.26,1.1,OSBC,16,5,16,21,26,2.7,0.3,6.2
