Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,Ticker,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
50,7,62.0,21.3,4785.45,-214.55,-4.29,2768.11,46.77,-0.08,0.0,PCRX,16,5,16,21,26,1.5,0.2,-0.4
45,4,57.8,23.4,3150.45,-1849.55,-36.99,3056.01,55.8,-0.61,0.2,PCRX,16,5,16,21,26,1.5,0.3,-4.3
44,0,56.8,24.7,4927.66,-72.34,-1.45,3292.05,49.24,-0.02,0.0,PCRX,16,5,16,21,26,1.5,0.4,-0.1
44,0,56.8,24.7,4927.66,-72.34,-1.45,3292.05,49.24,-0.02,0.0,PCRX,16,5,16,21,26,1.5,0.5,-0.1
44,0,56.8,24.7,4927.66,-72.34,-1.45,3292.05,49.24,-0.02,0.0,PCRX,16,5,16,21,26,1.5,0.6,-0.1
44,5,61.4,22.7,6178.11,1178.11,23.56,3666.1,48.21,0.32,0.1,PCRX,16,5,16,21,26,1.6,0.2,2.1
40,4,57.5,24.4,3394.14,-1605.86,-32.12,4206.72,63.54,-0.38,0.1,PCRX,16,5,16,21,26,1.6,0.3,-3.7
39,0,56.4,25.8,5308.82,308.82,6.18,3790.69,52.83,0.08,0.0,PCRX,16,5,16,21,26,1.6,0.4,0.6
39,0,56.4,25.8,5308.82,308.82,6.18,3790.69,52.83,0.08,0.0,PCRX,16,5,16,21,26,1.6,0.5,0.6
39,0,56.4,25.8,5308.82,308.82,6.18,3790.69,52.83,0.08,0.0,PCRX,16,5,16,21,26,1.6,0.6,0.6
40,5,62.5,23.4,6549.45,1549.45,30.99,3458.82,43.66,0.45,0.1,PCRX,16,5,16,21,26,1.7,0.2,2.6
38,2,60.5,25.2,7841.14,2841.14,56.82,4763.36,49.09,0.6,0.3,PCRX,16,5,16,21,26,1.7,0.3,4.4
37,0,59.5,26.0,8853.31,3853.31,77.07,4302.15,40.17,0.9,0.7,PCRX,16,5,16,21,26,1.7,0.4,5.6
37,0,59.5,26.0,8853.31,3853.31,77.07,4302.15,40.17,0.9,0.7,PCRX,16,5,16,21,26,1.7,0.5,5.6
37,0,59.5,26.0,8853.31,3853.31,77.07,4302.15,40.17,0.9,0.7,PCRX,16,5,16,21,26,1.7,0.6,5.6
39,5,61.5,24.0,6093.55,1093.55,21.87,3665.93,44.67,0.3,0.1,PCRX,16,5,16,21,26,1.8,0.2,1.9
37,2,59.5,25.8,7295.33,2295.33,45.91,5062.38,48.22,0.45,0.2,PCRX,16,5,16,21,26,1.8,0.3,3.7
36,0,58.3,26.7,8237.05,3237.05,64.74,4551.48,41.09,0.71,0.5,PCRX,16,5,16,21,26,1.8,0.4,4.9
36,0,58.3,26.7,8237.05,3237.05,64.74,4551.48,41.09,0.71,0.5,PCRX,16,5,16,21,26,1.8,0.5,4.9
36,0,58.3,26.7,8237.05,3237.05,64.74,4551.48,41.09,0.71,0.5,PCRX,16,5,16,21,26,1.8,0.6,4.9
36,5,61.1,25.3,7673.76,2673.76,53.48,6383.31,53.96,0.42,0.2,PCRX,16,5,16,21,26,1.9,0.2,4.2
33,1,57.6,28.2,8501.56,3501.56,70.03,6729.76,52.72,0.52,0.4,PCRX,16,5,16,21,26,1.9,0.3,5.2
33,0,57.6,28.4,9427.57,4427.57,88.55,6072.4,47.57,0.73,0.6,PCRX,16,5,16,21,26,1.9,0.4,6.3
